function,samples,dimension,noise,nuisance_correlation,n_correlated_proxies,width_hidden,grid,k,lamb,probe_steps,method,top_m,screen_contains_all_true_vars_mean,screen_contains_all_true_vars_std,screen_true_var_recall_mean,screen_true_var_recall_std,screen_contains_all_interaction_endpoints_mean,screen_contains_all_interaction_endpoints_std,screen_interaction_endpoint_recall_mean,screen_interaction_endpoint_recall_std,screen_contains_true_interactions_mean,screen_contains_true_interactions_std,true_endpoint_rank_mean_mean,true_endpoint_rank_mean_std,true_endpoint_rank_worst_mean,true_endpoint_rank_worst_std,true_endpoint_score_mean_mean,true_endpoint_score_mean_std,max_nuisance_score_mean,max_nuisance_score_std,endpoint_minus_max_nuisance_mean,endpoint_minus_max_nuisance_std,num_support_evals
core_interaction_c025,512,100,0.05,0.0,0,16,5,3,0.001,75,edge_pair_hybrid,10,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.5,0.0,4.0,0.0,0.019892219714329116,0.00048567944697348853,0.016275612117587154,0.0002211286005228606,0.003616607596741962,0.0006015623240531971,30
core_interaction_c025,512,100,0.05,0.0,0,16,5,3,0.001,75,edge_pair_hybrid,20,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.5,0.0,4.0,0.0,0.019892219714329116,0.00048567944697348853,0.016275612117587154,0.0002211286005228606,0.003616607596741962,0.0006015623240531971,30
core_interaction_c025,512,100,0.05,0.0,0,16,5,3,0.001,75,edge_stability_var,4,0.8,0.40683810217248617,0.95,0.10170952554312157,0.8,0.40683810217248617,0.9,0.20341905108624309,0.8,0.40683810217248617,3.6,0.2034190510862431,4.2,0.4068381021724862,0.01857651338295093,0.0003720071805507447,0.016697410367280792,0.00028338812541773705,0.0018791030156701388,0.0005446239736122817,30
core_interaction_c025,512,100,0.05,0.0,0,16,5,3,0.001,75,edge_stability_var,6,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.6,0.2034190510862431,4.2,0.4068381021724862,0.01857651338295093,0.0003720071805507447,0.016697410367280792,0.00028338812541773705,0.0018791030156701388,0.0005446239736122817,30
core_interaction_c025,512,100,0.05,0.0,0,16,5,3,0.001,75,edge_stability_var,10,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.6,0.2034190510862431,4.2,0.4068381021724862,0.01857651338295093,0.0003720071805507447,0.016697410367280792,0.00028338812541773705,0.0018791030156701388,0.0005446239736122817,30
core_interaction_c025,512,100,0.05,0.0,0,16,5,3,0.001,75,edge_stability_var,20,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.6,0.2034190510862431,4.2,0.4068381021724862,0.01857651338295093,0.0003720071805507447,0.016697410367280792,0.00028338812541773705,0.0018791030156701388,0.0005446239736122817,30
core_interaction_c025,512,100,0.05,0.0,0,16,5,3,0.001,75,feature_edge_hybrid,4,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.5,0.0,4.0,0.0,0.019892219714329116,0.00048567944697348853,0.016275612117587154,0.0002211286005228606,0.003616607596741962,0.0006015623240531971,30
core_interaction_c025,512,100,0.05,0.0,0,16,5,3,0.001,75,feature_edge_hybrid,6,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.5,0.0,4.0,0.0,0.019892219714329116,0.00048567944697348853,0.016275612117587154,0.0002211286005228606,0.003616607596741962,0.0006015623240531971,30
core_interaction_c025,512,100,0.05,0.0,0,16,5,3,0.001,75,feature_edge_hybrid,10,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.5,0.0,4.0,0.0,0.019892219714329116,0.00048567944697348853,0.016275612117587154,0.0002211286005228606,0.003616607596741962,0.0006015623240531971,30
core_interaction_c025,512,100,0.05,0.0,0,16,5,3,0.001,75,feature_edge_hybrid,20,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.5,0.0,4.0,0.0,0.019892219714329116,0.00048567944697348853,0.016275612117587154,0.0002211286005228606,0.003616607596741962,0.0006015623240531971,30
core_interaction_c025,512,100,0.05,0.0,0,16,5,3,0.001,75,feature_stability_var,4,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.5,0.0,4.0,0.0,0.027616193660476924,0.0008920392357890995,0.01860205067964897,0.00020837149978995132,0.009014142980827953,0.0009623111465418101,30
core_interaction_c025,512,100,0.05,0.0,0,16,5,3,0.001,75,feature_stability_var,6,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.5,0.0,4.0,0.0,0.027616193660476924,0.0008920392357890995,0.01860205067964897,0.00020837149978995132,0.009014142980827953,0.0009623111465418101,30
core_interaction_c025,512,100,0.05,0.0,0,16,5,3,0.001,75,feature_stability_var,10,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.5,0.0,4.0,0.0,0.027616193660476924,0.0008920392357890995,0.01860205067964897,0.00020837149978995132,0.009014142980827953,0.0009623111465418101,30
core_interaction_c025,512,100,0.05,0.0,0,16,5,3,0.001,75,feature_stability_var,20,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.5,0.0,4.0,0.0,0.027616193660476924,0.0008920392357890995,0.01860205067964897,0.00020837149978995132,0.009014142980827953,0.0009623111465418101,30
core_interaction_c025,512,100,0.05,0.0,0,16,5,3,0.001,75,grad_stability_var,4,0.0,0.0,0.55,0.10170952554312156,0.0,0.0,0.1,0.20341905108624309,0.0,0.0,6.233333333333333,0.858359836662575,7.233333333333333,1.1043279539543758,0.012509616813153112,0.00018423738561219446,0.0138817482451966,0.00034244627013153194,-0.0013721314320434867,0.0004361544035309701,30
core_interaction_c025,512,100,0.05,0.0,0,16,5,3,0.001,75,grad_stability_var,6,0.23333333333333334,0.43018306715207627,0.7916666666666666,0.1326671576263081,0.23333333333333334,0.43018306715207627,0.5833333333333334,0.2653343152526162,0.23333333333333334,0.43018306715207627,6.233333333333333,0.858359836662575,7.233333333333333,1.1043279539543758,0.012509616813153112,0.00018423738561219446,0.0138817482451966,0.00034244627013153194,-0.0013721314320434867,0.0004361544035309701,30
core_interaction_c025,512,100,0.05,0.0,0,16,5,3,0.001,75,grad_stability_var,10,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,6.233333333333333,0.858359836662575,7.233333333333333,1.1043279539543758,0.012509616813153112,0.00018423738561219446,0.0138817482451966,0.00034244627013153194,-0.0013721314320434867,0.0004361544035309701,30
core_interaction_c025,512,100,0.05,0.0,0,16,5,3,0.001,75,grad_stability_var,20,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,6.233333333333333,0.858359836662575,7.233333333333333,1.1043279539543758,0.012509616813153112,0.00018423738561219446,0.0138817482451966,0.00034244627013153194,-0.0013721314320434867,0.0004361544035309701,30
