model,explain_method,seed,function,samples,dimension,noise,test_mse,train_mse,selected_variables,true_variables,variable_precision,variable_recall,variable_f1,formula,score_x0,score_x1,score_x2,score_x3,score_x4,score_x5,score_x6,score_x7,score_x8,score_x9,score_x10,score_x11,score_x12,score_x13,score_x14,score_x15,score_x16,score_x17,score_x18,score_x19
MLP,grad,2,core_interaction,2048,20,0.1,0.3969474732875824,0.00323680741712451,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,2.656160831451416,1.097447156906128,0.6649004220962524,0.6220241785049438,0.24254773557186127,0.345573365688324,0.2907848358154297,0.3068670928478241,0.3022092282772064,0.30653005838394165,0.30378568172454834,0.3075229525566101,0.26057669520378113,0.2815420627593994,0.27629560232162476,0.28567901253700256,0.2760804295539856,0.2891266942024231,0.3161793351173401,0.26518112421035767
MLP,perm,2,core_interaction,2048,20,0.1,0.3969474732875824,0.00323680741712451,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,0.9460463523864746,0.2171444147825241,0.30334100127220154,0.3154706060886383,0.002566218376159668,0.005496511701494455,0.0,0.004407376050949097,0.0,0.005259066820144653,0.0,0.0,0.007449199911206961,0.020296961069107056,0.014878451824188232,0.0,0.0,0.0,0.015011330135166645,0.006559491157531738
KAN,grad,3,core_interaction,2048,20,0.1,0.029667232185602188,0.005755083169788122,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,4.673454761505127,1.2071261405944824,0.6263577938079834,0.6054797768592834,0.11930961906909943,0.10259512811899185,0.14201641082763672,0.15009762346744537,0.17389845848083496,0.11333584040403366,0.12765513360500336,0.1335456669330597,0.16846877336502075,0.1309632658958435,0.1372448056936264,0.1284293830394745,0.15441977977752686,0.12335067987442017,0.16786761581897736,0.20349591970443726
KAN,perm,3,core_interaction,2048,20,0.1,0.029667232185602188,0.005755083169788122,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.445492148399353,0.2528599500656128,0.2973933815956116,0.3056517541408539,0.0,0.0,0.00030056387186050415,0.0,0.0,0.0008884810958988965,0.0,0.00038375271833501756,0.0004999886150471866,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLP,grad,3,core_interaction,2048,20,0.1,0.037760548293590546,0.004733702167868614,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,4.418038368225098,1.2083150148391724,0.5784034729003906,0.5669518709182739,0.06384250521659851,0.06399864703416824,0.0763944610953331,0.07561811804771423,0.06449814140796661,0.07094776630401611,0.055075403302907944,0.07628562301397324,0.07298147678375244,0.0717834010720253,0.06310569494962692,0.0627695620059967,0.06933698803186417,0.06639564037322998,0.07576768845319748,0.07292155921459198
MLP,perm,3,core_interaction,2048,20,0.1,0.037760548293590546,0.004733702167868614,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.4077016115188599,0.250780314207077,0.3047455847263336,0.31226956844329834,0.0008251741528511047,9.502718603471294e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035131722688674927,0.0,0.0,0.0012120530009269714,0.0
KAN,grad,4,core_interaction,2048,20,0.1,0.025220908224582672,0.006921043153852224,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,4.640340805053711,1.2264649868011475,0.6305837035179138,0.5918195247650146,0.13680726289749146,0.15126293897628784,0.12205082178115845,0.13292667269706726,0.12428569048643112,0.12789472937583923,0.12496982514858246,0.09169831871986389,0.11759606748819351,0.11553256213665009,0.1402515172958374,0.09233950823545456,0.08602746576070786,0.11808899790048599,0.10639963299036026,0.10105282068252563
KAN,perm,4,core_interaction,2048,20,0.1,0.025220908224582672,0.006921043153852224,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.4179607629776,0.2572602927684784,0.32155412435531616,0.3206601142883301,0.0,0.0006113878334872425,0.0,0.0,0.0004736166447401047,0.0005509313195943832,0.0001248319895239547,0.00035367472446523607,0.0,0.0005296394228935242,0.0,0.00027829906321130693,0.0009222651715390384,0.000521234527695924,0.0,0.0
MLP,grad,4,core_interaction,2048,20,0.1,0.20070616900920868,0.0035728670191019773,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,3.1889331340789795,1.1889954805374146,0.6272729635238647,0.6059010624885559,0.20569856464862823,0.22927626967430115,0.19114482402801514,0.1992969959974289,0.19550608098506927,0.20483671128749847,0.21698155999183655,0.19916003942489624,0.18235710263252258,0.19702079892158508,0.20526167750358582,0.23314058780670166,0.16278702020645142,0.18134908378124237,0.198652982711792,0.2032429277896881
MLP,perm,4,core_interaction,2048,20,0.1,0.20070616900920868,0.0035728670191019773,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.1352839469909668,0.26997414231300354,0.3158199191093445,0.3179040849208832,0.010511030443012714,0.0,0.002444356679916382,0.004322091583162546,0.0,0.0,0.007387916091829538,0.0,0.005826801061630249,0.0017072409391403198,0.0021255463361740112,0.004064321517944336,0.0,0.002962470054626465,0.0011638751020655036,0.003527532098814845
