function,dimension,noise,screen_mode,top_m,explain_method,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,screen_contains_all_true_vars_mean,screen_true_var_recall_mean,screen_contains_all_interaction_endpoints_mean,screen_interaction_endpoint_recall_mean,screen_contains_true_interactions_mean,variable_f1_mean,variable_f1_std,variable_auroc_mean,variable_auroc_std,variable_auprc_mean,variable_auprc_std,interaction_f1_mean,interaction_f1_std
core_interaction_c5,100,0.0,oracle_support,30,perm,0.00017178972678569455,0.00013276929504747628,0.13393281842630433,0.5155570775545585,1.0,1.0,1.0,1.0,1.0,0.9833333333333333,0.06454972243679027,0.999826388888889,0.0006723929420498847,0.9966666666666666,0.012909944487358068,0.9333333333333333,0.2581988897471611
core_interaction_c5,100,0.0,random,10,grad,0.13160279989242554,0.016077888392676598,3.960008382797241,0.800907652303285,0.0,0.13333333333333333,0.0,0.2,0.0,0.08333333333333333,0.1543033499620919,0.5185763888888889,0.08624761790644067,0.09496428571428571,0.10543377963326131,0.0,0.0
core_interaction_c5,100,0.0,random,10,perm,0.13160279989242554,0.016077888392676598,3.960008382797241,0.800907652303285,0.0,0.13333333333333333,0.0,0.2,0.0,0.08333333333333333,0.1543033499620919,0.5192708333333333,0.08737440719037834,0.1039920634920635,0.1321377769651244,0.0,0.0
core_interaction_c5,100,0.0,random,20,grad,0.0047482792443285385,0.0022475440723968166,6.3439706325531,1.8285485850930543,0.0,0.26666666666666666,0.06666666666666667,0.3,0.06666666666666667,0.13333333333333333,0.20845234695819798,0.5430555555555556,0.12827571206765895,0.15215110036162666,0.19614169023754188,0.06666666666666667,0.2581988897471611
core_interaction_c5,100,0.0,random,20,perm,0.0047482792443285385,0.0022475440723968166,6.3439706325531,1.8285485850930543,0.0,0.26666666666666666,0.06666666666666667,0.3,0.06666666666666667,0.11666666666666667,0.1599851183555461,0.5427083333333333,0.12855648646915352,0.13881212352032785,0.16549859293655406,0.06666666666666667,0.2581988897471611
core_interaction_c5,100,0.0,random,30,grad,1.2553226694459833e-05,1.2147579501693066e-05,5.780600229899089,1.268545219859528,0.0,0.3333333333333333,0.0,0.4,0.0,0.11666666666666667,0.12909944487358055,0.5314236111111111,0.10086478455307463,0.12719465585407613,0.10342307826095035,0.0,0.0
core_interaction_c5,100,0.0,random,30,perm,1.2553226694459833e-05,1.2147579501693066e-05,5.780600229899089,1.268545219859528,0.0,0.3333333333333333,0.0,0.4,0.0,0.1,0.1267731382092775,0.5324652777777777,0.10635543042270328,0.11419668294668295,0.09575130400615071,0.0,0.0
core_interaction_c5,100,0.0,rf,10,grad,9.95094425888965e-05,0.00011895014412677936,0.0002089090051110058,0.00024119584392463545,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
core_interaction_c5,100,0.0,rf,10,perm,9.95094425888965e-05,0.00011895014412677936,0.0002089090051110058,0.00024119584392463545,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
core_interaction_c5,100,0.0,rf,20,grad,0.00013188357709926398,0.00015746990852554855,0.0003919721784768626,0.00043251219295949476,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
