dataset,function,formula,c,noise,samples,test_samples,dimension,outer_seed,method,R,top_m,width_hidden,grid,lamb,probe_steps,num_ok_probes,probe_test_mse_mean,probe_test_mse_min,selected_screen_features,top_selection_variables,runtime_sec,screen_contains_all_true_vars,screen_true_var_recall,screen_true_var_f1,screen_contains_all_interaction_endpoints,screen_interaction_endpoint_recall,screen_contains_true_interactions,residual_top1_pair,residual_top_pair,residual_true_pair_rank_worst,residual_true_pair_score_mean,residual_max_false_pair_score
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.25,0.0,384,512,10,2000,feature_stability_var,20,4,16,5,0.001,75,20,0.0003929809307010146,0.00010912359721260145,"[0, 1, 2, 3]","[0, 2, 3, 1, 8, 7, 6, 4, 5, 9]",369.53928446769714,1,1.0,1.0,1,1.0,1,1,"[2, 3]",1.0,0.7513196468353271,0.3175298273563385
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.25,0.0,384,512,10,2000,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.0003929809307010146,0.00010912359721260145,"[0, 1, 2, 3]","[0, 2, 3, 1, 4, 6, 7, 8, 9, 5]",369.539589881897,1,1.0,1.0,1,1.0,1,1,"[2, 3]",1.0,0.7513196468353271,0.3175298273563385
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.25,0.0,384,512,10,2001,feature_stability_var,20,4,16,5,0.001,75,20,0.0006307994524831883,0.0002495225053280592,"[0, 1, 2, 3]","[0, 2, 3, 1, 9, 6, 5, 8, 4, 7]",328.9291615486145,1,1.0,1.0,1,1.0,1,1,"[2, 3]",1.0,0.7534154653549194,0.31966888904571533
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.25,0.0,384,512,10,2001,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.0006307994524831883,0.0002495225053280592,"[0, 1, 2, 3]","[0, 2, 3, 1, 9, 6, 5, 7, 4, 8]",328.92947268486023,1,1.0,1.0,1,1.0,1,1,"[2, 3]",1.0,0.7534154653549194,0.31966888904571533
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.25,0.0,384,512,10,2002,feature_stability_var,20,4,16,5,0.001,75,20,0.00040147780600818805,0.00016788228822406381,"[0, 1, 2, 3]","[0, 3, 2, 1, 7, 4, 8, 6, 5, 9]",328.877414226532,1,1.0,1.0,1,1.0,1,1,"[2, 3]",1.0,0.7602977156639099,0.3124057948589325
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.25,0.0,384,512,10,2002,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.00040147780600818805,0.00016788228822406381,"[0, 1, 2, 3]","[0, 2, 3, 1, 4, 8, 7, 9, 6, 5]",328.8777198791504,1,1.0,1.0,1,1.0,1,1,"[2, 3]",1.0,0.7602977156639099,0.3124057948589325
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.25,0.0,384,512,10,2003,feature_stability_var,20,4,16,5,0.001,75,20,0.00041764945854083635,0.00018405972514301538,"[0, 1, 2, 3]","[0, 2, 3, 1, 6, 5, 8, 9, 7, 4]",342.6564128398895,1,1.0,1.0,1,1.0,1,1,"[2, 3]",1.0,0.7721962928771973,0.3420359194278717
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.25,0.0,384,512,10,2003,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.00041764945854083635,0.00018405972514301538,"[0, 1, 2, 3]","[0, 2, 3, 1, 6, 5, 8, 7, 9, 4]",342.6567163467407,1,1.0,1.0,1,1.0,1,1,"[2, 3]",1.0,0.7721962928771973,0.3420359194278717
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.25,0.0,384,512,10,2004,feature_stability_var,20,4,16,5,0.001,75,20,0.0003245311760110781,0.00012529442028608173,"[0, 1, 2, 3]","[0, 3, 2, 1, 7, 9, 5, 6, 4, 8]",365.5595967769623,1,1.0,1.0,1,1.0,1,1,"[2, 3]",1.0,0.7906736731529236,0.4058719575405121
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.25,0.0,384,512,10,2004,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.0003245311760110781,0.00012529442028608173,"[0, 1, 2, 3]","[0, 3, 2, 1, 9, 7, 6, 4, 5, 8]",365.55990266799927,1,1.0,1.0,1,1.0,1,1,"[2, 3]",1.0,0.7906736731529236,0.4058719575405121
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.25,0.0,384,512,10,2005,feature_stability_var,20,4,16,5,0.001,75,20,0.0004125868799746968,0.0001795648131519556,"[0, 1, 2, 3]","[0, 3, 2, 1, 8, 7, 5, 4, 6, 9]",325.10589385032654,1,1.0,1.0,1,1.0,1,1,"[2, 3]",1.0,0.771327555179596,0.3632567822933197
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.25,0.0,384,512,10,2005,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.0004125868799746968,0.0001795648131519556,"[0, 1, 2, 3]","[0, 2, 3, 1, 4, 8, 7, 5, 6, 9]",325.1061968803406,1,1.0,1.0,1,1.0,1,1,"[2, 3]",1.0,0.771327555179596,0.3632567822933197
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.25,0.0,384,512,10,2006,feature_stability_var,20,4,16,5,0.001,75,20,0.0005552431139221881,0.00017484677664469928,"[0, 1, 2, 3]","[0, 2, 3, 1, 5, 9, 8, 6, 4, 7]",340.6894209384918,1,1.0,1.0,1,1.0,1,1,"[2, 3]",1.0,0.6961557865142822,0.2566283941268921
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.25,0.0,384,512,10,2006,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.0005552431139221881,0.00017484677664469928,"[0, 1, 2, 3]","[0, 2, 3, 1, 7, 8, 9, 5, 6, 4]",340.68972849845886,1,1.0,1.0,1,1.0,1,1,"[2, 3]",1.0,0.6961557865142822,0.2566283941268921
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.25,0.0,384,512,10,2007,feature_stability_var,20,4,16,5,0.001,75,20,0.00047755796040291896,0.00019055970187764615,"[0, 1, 2, 3]","[0, 3, 2, 1, 7, 9, 4, 8, 5, 6]",351.80616092681885,1,1.0,1.0,1,1.0,1,1,"[2, 3]",1.0,0.7776246666908264,0.3072204291820526
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.25,0.0,384,512,10,2007,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.00047755796040291896,0.00019055970187764615,"[0, 1, 2, 3]","[0, 2, 3, 1, 4, 9, 7, 6, 8, 5]",351.80646109580994,1,1.0,1.0,1,1.0,1,1,"[2, 3]",1.0,0.7776246666908264,0.3072204291820526
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.25,0.0,384,512,10,2008,feature_stability_var,20,4,16,5,0.001,75,20,0.0004489665963774314,0.00011530244228197262,"[0, 1, 2, 3]","[0, 2, 3, 1, 8, 7, 9, 4, 6, 5]",326.0243082046509,1,1.0,1.0,1,1.0,1,1,"[2, 3]",1.0,0.7548146843910217,0.3861001133918762
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.25,0.0,384,512,10,2008,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.0004489665963774314,0.00011530244228197262,"[0, 1, 2, 3]","[0, 2, 3, 1, 8, 7, 5, 6, 4, 9]",326.0246124267578,1,1.0,1.0,1,1.0,1,1,"[2, 3]",1.0,0.7548146843910217,0.3861001133918762
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.25,0.0,384,512,10,2009,feature_stability_var,20,4,16,5,0.001,75,20,0.00042234737338731065,0.00024172678240574896,"[0, 1, 2, 3]","[0, 3, 2, 1, 6, 8, 4, 7, 5, 9]",335.0998742580414,1,1.0,1.0,1,1.0,1,1,"[2, 3]",1.0,0.783536970615387,0.3470088541507721
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.25,0.0,384,512,10,2009,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.00042234737338731065,0.00024172678240574896,"[0, 1, 2, 3]","[0, 2, 3, 1, 6, 8, 7, 4, 5, 9]",335.10020446777344,1,1.0,1.0,1,1.0,1,1,"[2, 3]",1.0,0.783536970615387,0.3470088541507721
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.5,0.0,128,512,10,2000,feature_stability_var,20,4,16,5,0.001,75,20,0.01701663457788527,0.0010963554959744215,"[0, 1, 2, 3]","[0, 2, 3, 1, 8, 5, 7, 9, 4, 6]",369.3293447494507,1,1.0,1.0,1,1.0,1,1,"[2, 3]",1.0,0.7547192573547363,0.4560222327709198
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.5,0.0,128,512,10,2000,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.01701663457788527,0.0010963554959744215,"[0, 1, 2, 3]","[0, 2, 3, 1, 8, 5, 9, 4, 7, 6]",369.3296844959259,1,1.0,1.0,1,1.0,1,1,"[2, 3]",1.0,0.7547192573547363,0.4560222327709198
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.5,0.0,128,512,10,2001,feature_stability_var,20,4,16,5,0.001,75,20,0.05834033815190196,0.0043588364496827126,"[0, 2, 3, 9]","[0, 2, 3, 9, 1, 8, 5, 4, 6, 7]",383.32543754577637,0,0.75,0.75,1,1.0,1,1,"[2, 3]",1.0,0.6478357911109924,0.4066160023212433
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.5,0.0,128,512,10,2001,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.05834033815190196,0.0043588364496827126,"[0, 1, 2, 3]","[0, 2, 3, 1, 9, 4, 8, 5, 6, 7]",383.3257415294647,1,1.0,1.0,1,1.0,1,1,"[2, 3]",1.0,0.6478357911109924,0.4066160023212433
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.5,0.0,128,512,10,2002,feature_stability_var,20,4,16,5,0.001,75,20,0.05082835202338174,0.0016919570043683052,"[0, 1, 2, 3]","[0, 3, 2, 1, 8, 4, 9, 6, 7, 5]",382.8912534713745,1,1.0,1.0,1,1.0,1,1,"[2, 3]",1.0,0.6557025909423828,0.36275458335876465
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.5,0.0,128,512,10,2002,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.05082835202338174,0.0016919570043683052,"[0, 1, 2, 3]","[0, 3, 2, 1, 4, 8, 9, 6, 7, 5]",382.8915538787842,1,1.0,1.0,1,1.0,1,1,"[2, 3]",1.0,0.6557025909423828,0.36275458335876465
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.5,0.0,128,512,10,2003,feature_stability_var,20,4,16,5,0.001,75,20,0.019204518059268594,0.0019062208011746407,"[0, 1, 2, 3]","[0, 3, 2, 1, 9, 6, 8, 5, 7, 4]",356.56060433387756,1,1.0,1.0,1,1.0,1,1,"[2, 3]",1.0,0.7566940188407898,0.40494728088378906
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.5,0.0,128,512,10,2003,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.019204518059268594,0.0019062208011746407,"[0, 1, 2, 3]","[0, 3, 2, 1, 9, 6, 7, 5, 8, 4]",356.56090807914734,1,1.0,1.0,1,1.0,1,1,"[2, 3]",1.0,0.7566940188407898,0.40494728088378906
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.5,0.0,128,512,10,2004,feature_stability_var,20,4,16,5,0.001,75,20,0.025194663635920732,0.0030372554901987314,"[0, 1, 2, 3]","[0, 3, 2, 1, 9, 8, 5, 4, 6, 7]",357.56824707984924,1,1.0,1.0,1,1.0,1,1,"[2, 3]",1.0,0.7046412229537964,0.4221511483192444
diabetes,semisynthetic_real_covariates,sin(pi*x0)+x1^2+c*x2*x3 on tanh-standardized real covariates,0.5,0.0,128,512,10,2004,feature_edge_hybrid,20,4,16,5,0.001,75,20,0.025194663635920732,0.0030372554901987314,"[0, 1, 2, 3]","[0, 3, 2, 1, 9, 5, 8, 4, 6, 7]",357.5685567855835,1,1.0,1.0,1,1.0,1,1,"[2, 3]",1.0,0.7046412229537964,0.4221511483192444
