function,dimension,screen_mode,seed,true_min_score,endpoint_min_score,nuisance_max_score,support_score_gap,endpoint_score_gap
core_interaction,100,random,4,0.0,0.0,9.688607215881348,-9.688607215881348,-9.688607215881348
core_interaction,100,random,5,0.0,0.0,7.578031539916992,-7.578031539916992,-7.578031539916992
core_interaction,100,random,6,0.0,0.0,9.009550094604492,-9.009550094604492,-9.009550094604492
core_interaction,100,random,7,0.0,0.0,7.30940055847168,-7.30940055847168,-7.30940055847168
core_interaction,100,random,8,0.0,0.0,7.528712272644043,-7.528712272644043,-7.528712272644043
core_interaction,100,random,9,0.0,0.0,9.205705642700195,-9.205705642700195,-9.205705642700195
core_interaction,100,exclude_interaction,0,0.0,0.0,6.664860725402832,-6.664860725402832,-6.664860725402832
core_interaction,100,exclude_interaction,1,0.0,0.0,9.994344711303711,-9.994344711303711,-9.994344711303711
core_interaction,100,exclude_interaction,2,0.0,0.0,9.885135650634766,-9.885135650634766,-9.885135650634766
core_interaction,100,exclude_interaction,3,0.0,0.0,2.94307017326355,-2.94307017326355,-2.94307017326355
core_interaction,100,exclude_interaction,4,0.0,0.0,10.912055969238281,-10.912055969238281,-10.912055969238281
core_interaction,100,exclude_interaction,5,0.0,0.0,7.7655463218688965,-7.7655463218688965,-7.7655463218688965
core_interaction,100,exclude_interaction,6,0.0,0.0,8.112560272216797,-8.112560272216797,-8.112560272216797
core_interaction,100,exclude_interaction,7,0.0,0.0,9.561193466186523,-9.561193466186523,-9.561193466186523
core_interaction,100,exclude_interaction,8,0.0,0.0,10.146202087402344,-10.146202087402344,-10.146202087402344
core_interaction,100,exclude_interaction,9,0.0,0.0,8.53022575378418,-8.53022575378418,-8.53022575378418
core_interaction,20,raw,0,0.5846005082130432,0.5846005082130432,0.00368529767729342,0.5809152105357498,0.5809152105357498
core_interaction,20,raw,1,0.5779345035552979,0.5779345035552979,0.0039421864785254,0.5739923170767725,0.5739923170767725
core_interaction,20,raw,2,0.5499560832977295,0.5499560832977295,0.013388438150286674,0.5365676451474428,0.5365676451474428
core_interaction,20,raw,3,0.6083528995513916,0.6083528995513916,0.002859045984223485,0.6054938535671681,0.6054938535671681
core_interaction,20,raw,4,0.5873757600784302,0.5873757600784302,0.008222078904509544,0.5791536811739206,0.5791536811739206
core_interaction,20,raw,5,0.5851590037345886,0.5851590037345886,0.002621664199978113,0.5825373395346105,0.5825373395346105
core_interaction,20,raw,6,0.5554574728012085,0.5554574728012085,0.005848392844200134,0.5496090799570084,0.5496090799570084
core_interaction,20,raw,7,0.5738332271575928,0.5738332271575928,0.0031108129769563675,0.5707224141806364,0.5707224141806364
core_interaction,20,raw,8,0.5321861505508423,0.5321861505508423,0.009576630778610706,0.5226095197722316,0.5226095197722316
core_interaction,20,raw,9,0.5759617686271667,0.5759617686271667,0.006239048205316067,0.5697227204218507,0.5697227204218507
core_interaction,20,rf,0,0.5672590732574463,0.5672590732574463,0.0,0.5672590732574463,0.5672590732574463
core_interaction,20,rf,1,0.5810360908508301,0.5810360908508301,0.0,0.5810360908508301,0.5810360908508301
core_interaction,20,rf,2,0.5666927099227905,0.5666927099227905,0.0,0.5666927099227905,0.5666927099227905
core_interaction,20,rf,3,0.6052016019821167,0.6052016019821167,0.0,0.6052016019821167,0.6052016019821167
core_interaction,20,rf,4,0.593156099319458,0.593156099319458,0.0,0.593156099319458,0.593156099319458
core_interaction,20,rf,5,0.5891457796096802,0.5891457796096802,0.0,0.5891457796096802,0.5891457796096802
core_interaction,20,rf,6,0.57208251953125,0.57208251953125,0.0,0.57208251953125,0.57208251953125
core_interaction,20,rf,7,0.5764001607894897,0.5764001607894897,0.0,0.5764001607894897,0.5764001607894897
core_interaction,20,rf,8,0.5502964854240417,0.5502964854240417,0.0,0.5502964854240417,0.5502964854240417
core_interaction,20,rf,9,0.59262615442276,0.59262615442276,0.0,0.59262615442276,0.59262615442276
core_interaction,20,oracle_support,0,0.5641288757324219,0.5641288757324219,0.0,0.5641288757324219,0.5641288757324219
