function,dimension,noise,variant,opt,steps,lamb,update_grid_mode,explain_method,train_mse_mean,train_mse_std,train_mse_min,train_mse_max,test_mse_mean,test_mse_std,test_mse_min,test_mse_max,variable_f1_mean,variable_f1_std,variable_auroc_mean,variable_auroc_std,variable_auprc_mean,variable_auprc_std,interaction_f1_mean,interaction_f1_std,num_runs,num_failed
core_interaction,100,0.0,lbfgs_nogrid50,LBFGS,50,0.0,false,grad,5.398158320086416e-13,1.822720228629487e-13,4.0649154506820773e-13,7.475154393046801e-13,0.46865763266881305,0.03371124883032954,0.4392370879650116,0.5054421424865723,0.6666666666666666,0.14433756729740643,0.9348958333333334,0.09269516526332129,0.7713145607013532,0.18996406205582353,0.0,0.0,3,0
core_interaction,100,0.0,lbfgs_nogrid50,LBFGS,50,0.0,false,perm,5.398158320086416e-13,1.822720228629487e-13,4.0649154506820773e-13,7.475154393046801e-13,0.46865763266881305,0.03371124883032954,0.4392370879650116,0.5054421424865723,0.6666666666666666,0.14433756729740643,0.9105902777777778,0.13058106373887424,0.7701093340562032,0.21030018450973204,0.0,0.0,3,0
core_interaction_c5,100,0.0,default,LBFGS,50,0.0,default,grad,2.9709800360618505e-10,3.484935187226892e-10,9.150053631445942e-11,6.994714252250844e-10,2.6317670345306396,0.22101119362654495,2.4527878761291504,2.87880277633667,0.3333333333333333,0.14433756729740643,0.8758680555555557,0.029270339062651675,0.4294826810616284,0.07390947993135603,0.0,0.0,3,0
core_interaction_c5,100,0.0,default,LBFGS,50,0.0,default,perm,2.9709800360618505e-10,3.484935187226892e-10,9.150053631445942e-11,6.994714252250844e-10,2.6317670345306396,0.22101119362654495,2.4527878761291504,2.87880277633667,0.25,0.0,0.8836805555555557,0.026343734210926235,0.35777307487833804,0.1261755914005372,0.0,0.0,3,0
core_interaction_c5,100,0.0,lbfgs100,LBFGS,100,0.0,default,grad,2.88608257662896e-12,7.174857142485513e-13,2.074717351044364e-12,3.4368534494039205e-12,3.036590099334717,0.03901079023144182,3.010167360305786,3.0813961029052734,0.3333333333333333,0.14433756729740646,0.8489583333333334,0.05869493577908665,0.4198889227350326,0.06593703035494064,0.0,0.0,3,0
core_interaction_c5,100,0.0,lbfgs100,LBFGS,100,0.0,default,perm,2.88608257662896e-12,7.174857142485513e-13,2.074717351044364e-12,3.4368534494039205e-12,3.036590099334717,0.03901079023144182,3.010167360305786,3.0813961029052734,0.25,0.0,0.8315972222222222,0.053390709425978476,0.3336136729614991,0.11263438714614907,0.0,0.0,3,0
core_interaction_c5,100,0.0,lbfgs200,LBFGS,200,0.0,default,grad,2.1527401533836623e-12,1.5300563532943895e-12,8.862387820135487e-13,3.852786579355838e-12,2.8292688528696694,0.17312904606787852,2.6302614212036133,2.945225477218628,0.3333333333333333,0.14433756729740646,0.8489583333333334,0.0950788347058786,0.3844135802469135,0.0917409717235189,0.0,0.0,3,0
core_interaction_c5,100,0.0,lbfgs200,LBFGS,200,0.0,default,perm,2.1527401533836623e-12,1.5300563532943895e-12,8.862387820135487e-13,3.852786579355838e-12,2.8292688528696694,0.17312904606787852,2.6302614212036133,2.945225477218628,0.25,0.0,0.84375,0.06415981768101525,0.2693393707186811,0.1549113966931381,0.0,0.0,3,0
core_interaction_c5,100,0.0,lbfgs_nogrid100,LBFGS,100,0.0,false,grad,7.017191912897976e-13,2.683880208966835e-13,4.3217496638672803e-13,9.689358690390115e-13,1.9799145062764485,0.6502503960752283,1.248542308807373,2.4927284717559814,0.6666666666666666,0.14433756729740646,0.9288194444444443,0.010524614282102539,0.6876710454296662,0.16768280601463886,0.3333333333333333,0.5773502691896258,3,0
core_interaction_c5,100,0.0,lbfgs_nogrid100,LBFGS,100,0.0,false,perm,7.017191912897976e-13,2.683880208966835e-13,4.3217496638672803e-13,9.689358690390115e-13,1.9799145062764485,0.6502503960752283,1.248542308807373,2.4927284717559814,0.5833333333333334,0.28867513459481287,0.875,0.01135129933213722,0.6389701473802352,0.22482663617447213,0.3333333333333333,0.5773502691896258,3,0
