model,function,seed,samples,dimension,explain_method,variable_index,score,is_active
ORACLE,core_interaction,4,2048,20,perm,8,0.0,0
ORACLE,core_interaction,4,2048,20,perm,9,0.0,0
ORACLE,core_interaction,4,2048,20,perm,10,0.0,0
ORACLE,core_interaction,4,2048,20,perm,11,0.0,0
ORACLE,core_interaction,4,2048,20,perm,12,0.0,0
ORACLE,core_interaction,4,2048,20,perm,13,0.0,0
ORACLE,core_interaction,4,2048,20,perm,14,0.0,0
ORACLE,core_interaction,4,2048,20,perm,15,0.0,0
ORACLE,core_interaction,4,2048,20,perm,16,0.0,0
ORACLE,core_interaction,4,2048,20,perm,17,0.0,0
ORACLE,core_interaction,4,2048,20,perm,18,0.0,0
ORACLE,core_interaction,4,2048,20,perm,19,0.0,0
