function,seed,mc_rep,samples,test_samples,dimension,noise,update_grid,width_hidden,grid,lamb,steps,anova_points,anova_background,candidate_pairs,train_mse,test_mse,train_runtime_sec,score_runtime_sec,true_pair_score,max_false_pair_score,true_minus_max_false,true_pair_rank,true_pair_rank1,top_pair,top_pair_score
core_interaction_c025,5,6,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00032243860187008977,0.03126459941267967,20.29907751083374,42.456520318984985,0.0009467899799346924,0.04956546984612942,-0.048618679866194725,536,0,"(0, 1)",0.04956546984612942
core_interaction_c025,5,7,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00032243860187008977,0.03126459941267967,20.29907751083374,42.54690647125244,0.001080850139260292,0.03122962173074484,-0.030148771591484547,795,0,"(0, 1)",0.03122962173074484
core_interaction_c025,5,8,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00032243860187008977,0.03126459941267967,20.29907751083374,42.488009452819824,0.000771139282733202,0.021083383820950985,-0.020312244538217783,1053,0,"(0, 1)",0.021083383820950985
core_interaction_c025,5,9,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00032243860187008977,0.03126459941267967,20.29907751083374,42.47980284690857,0.00032876431941986084,0.035603972151875496,-0.035275207832455635,2012,0,"(0, 1)",0.035603972151875496
core_interaction_c025,6,0,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00041674321983009577,0.02249818667769432,21.492770671844482,42.546287059783936,0.0059902421198785305,0.013627665117383003,-0.007637422997504473,20,0,"(0, 1)",0.013627665117383003
core_interaction_c025,6,1,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00041674321983009577,0.02249818667769432,21.492770671844482,42.54615020751953,0.005288114072754979,0.011910258093848825,-0.006622144021093845,20,0,"(0, 1)",0.011910258093848825
core_interaction_c025,6,2,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00041674321983009577,0.02249818667769432,21.492770671844482,42.55411434173584,0.0026917317882180214,0.007955893874168396,-0.005264162085950375,54,0,"(0, 98)",0.007955893874168396
core_interaction_c025,6,3,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00041674321983009577,0.02249818667769432,21.492770671844482,42.58954572677612,0.0028351526707410812,0.014172927476465702,-0.01133777480572462,124,0,"(0, 1)",0.014172927476465702
core_interaction_c025,6,4,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00041674321983009577,0.02249818667769432,21.492770671844482,42.572511196136475,0.00335224368609488,0.016017609741538763,-0.012665366055443883,35,0,"(0, 1)",0.016017609741538763
core_interaction_c025,6,5,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00041674321983009577,0.02249818667769432,21.492770671844482,42.5706524848938,0.003208475187420845,0.011368311941623688,-0.008159836754202843,62,0,"(0, 1)",0.011368311941623688
core_interaction_c025,6,6,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00041674321983009577,0.02249818667769432,21.492770671844482,42.566187381744385,0.003467898815870285,0.009032899513840675,-0.00556500069797039,50,0,"(0, 75)",0.009032899513840675
core_interaction_c025,6,7,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00041674321983009577,0.02249818667769432,21.492770671844482,42.575801610946655,0.004996905103325844,0.01158645749092102,-0.006589552387595177,20,0,"(0, 1)",0.01158645749092102
core_interaction_c025,6,8,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00041674321983009577,0.02249818667769432,21.492770671844482,42.55363082885742,0.002712000161409378,0.022898569703102112,-0.020186569541692734,70,0,"(0, 1)",0.022898569703102112
core_interaction_c025,6,9,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00041674321983009577,0.02249818667769432,21.492770671844482,42.59283995628357,0.0030916333198547363,0.01180332899093628,-0.008711695671081543,51,0,"(0, 1)",0.01180332899093628
core_interaction_c025,7,0,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00036893849028274417,0.023209840059280396,19.548250198364258,42.376678705215454,0.0028561167418956757,0.01664211554452777,-0.013785998802632093,65,0,"(0, 1)",0.01664211554452777
core_interaction_c025,7,1,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00036893849028274417,0.023209840059280396,19.548250198364258,42.310813426971436,0.005532070994377136,0.023339650593698025,-0.01780757959932089,16,0,"(0, 1)",0.023339650593698025
core_interaction_c025,7,2,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00036893849028274417,0.023209840059280396,19.548250198364258,42.42978239059448,0.009008175460621715,0.01917766872793436,-0.010169493267312646,2,0,"(0, 1)",0.01917766872793436
core_interaction_c025,7,3,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00036893849028274417,0.023209840059280396,19.548250198364258,42.40293002128601,0.006723541766405106,0.01882163342088461,-0.012098091654479504,2,0,"(0, 1)",0.01882163342088461
core_interaction_c025,7,4,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00036893849028274417,0.023209840059280396,19.548250198364258,42.410197019577026,0.007230214774608612,0.03611898422241211,-0.028888769447803497,3,0,"(0, 1)",0.03611898422241211
core_interaction_c025,7,5,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00036893849028274417,0.023209840059280396,19.548250198364258,42.41424036026001,0.012825962156057358,0.03389422968029976,-0.0210682675242424,2,0,"(0, 1)",0.03389422968029976
core_interaction_c025,7,6,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00036893849028274417,0.023209840059280396,19.548250198364258,42.505412101745605,0.012402751948684454,0.0343489539809525,-0.021946202032268047,2,0,"(0, 1)",0.0343489539809525
core_interaction_c025,7,7,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00036893849028274417,0.023209840059280396,19.548250198364258,42.44170308113098,0.00800398737192154,0.043795064091682434,-0.035791076719760895,7,0,"(0, 1)",0.043795064091682434
core_interaction_c025,7,8,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00036893849028274417,0.023209840059280396,19.548250198364258,42.42141079902649,0.011321697384119034,0.03839112538844347,-0.027069428004324436,2,0,"(0, 1)",0.03839112538844347
core_interaction_c025,7,9,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.00036893849028274417,0.023209840059280396,19.548250198364258,42.42118835449219,0.010968605522066355,0.023007060401141644,-0.012038454879075289,3,0,"(0, 1)",0.023007060401141644
core_interaction_c025,8,0,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.0004082445229869336,0.022409263998270035,21.39799189567566,42.559850454330444,0.001126671675592661,0.019028062466531992,-0.01790139079093933,1017,0,"(0, 2)",0.019028062466531992
core_interaction_c025,8,1,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.0004082445229869336,0.022409263998270035,21.39799189567566,42.57008218765259,0.0018631545826792717,0.015856284648180008,-0.013993130065500736,289,0,"(0, 1)",0.015856284648180008
core_interaction_c025,8,2,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.0004082445229869336,0.022409263998270035,21.39799189567566,42.67148518562317,0.001131905708462,0.016146189998835325,-0.015014284290373325,554,0,"(0, 1)",0.016146189998835325
core_interaction_c025,8,3,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.0004082445229869336,0.022409263998270035,21.39799189567566,42.59308481216431,0.0009110544342547655,0.01594060310162604,-0.015029548667371273,1207,0,"(0, 1)",0.01594060310162604
core_interaction_c025,8,4,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.0004082445229869336,0.022409263998270035,21.39799189567566,42.610615730285645,0.0016592275351285934,0.02505526691675186,-0.023396039381623268,397,0,"(0, 1)",0.02505526691675186
core_interaction_c025,8,5,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.0004082445229869336,0.022409263998270035,21.39799189567566,42.70115518569946,0.0006368644535541534,0.01857260800898075,-0.017935743555426598,2189,0,"(0, 1)",0.01857260800898075
core_interaction_c025,8,6,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.0004082445229869336,0.022409263998270035,21.39799189567566,42.624919176101685,0.0006613880395889282,0.01963689923286438,-0.01897551119327545,2131,0,"(0, 1)",0.01963689923286438
core_interaction_c025,8,7,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.0004082445229869336,0.022409263998270035,21.39799189567566,42.70175242424011,0.0006476398557424545,0.015822486951947212,-0.015174847096204758,2155,0,"(0, 1)",0.015822486951947212
core_interaction_c025,8,8,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.0004082445229869336,0.022409263998270035,21.39799189567566,42.618021726608276,0.0006567304953932762,0.014163019135594368,-0.013506288640201092,1952,0,"(0, 1)",0.014163019135594368
core_interaction_c025,8,9,1024,2048,100,0.0,1,16,5,0.001,75,16,16,4950,0.0004082445229869336,0.022409263998270035,21.39799189567566,42.62142276763916,0.0010588141158223152,0.019512342754751444,-0.01845352863892913,1158,0,"(0, 1)",0.019512342754751444
