registry_version,split,task_id,task_family,adapter_family,adapter,seed,expression_mse,near_equivalence_pass_mse_lt_005,exact_like_pass_mse_lt_1e8,expression,eval_error
claimtransfer_v1_standard_formula_public,public,std_nested_polynomial_pair_d8_n2048_d16_n4096,standard_srbench_polynomial_highdim,symbolic_library,pysr_symbolic_regressor,53,0.0028738117082547964,1.0,0.0,x3/0.76199996 - 3.0446138*cos(x0*x1 + x2) + 2.4189942,
claimtransfer_v1_standard_formula_public,public,std_trig_mixed_two_pair_d8_n2048_d16_n4096,standard_compositional_pair_highdim,symbolic_library,pysr_symbolic_regressor,52,3.390924019889379e-07,1.0,0.0,(sin(x0*x1) - cos(-cos(x2*(-1.0023487)*x3) - 0.7312717) - 1*0.09750176)*3.1165164,
claimtransfer_v1_standard_formula_public,public,std_trig_mixed_two_pair_d8_n2048_d16_n4096,standard_compositional_pair_highdim,symbolic_library,pysr_symbolic_regressor,53,1.6771686657015697e-15,1.0,1.0,(sin(x0*x1) + cos(x2*x3) - 0.9433878)*3.0478208,
claimtransfer_v1_standard_formula_public,public,std_division_pair_d8_n2048_d16_n4096,standard_rational_pair_highdim,symbolic_library,pysr_symbolic_regressor,52,1.6560396131721207e-05,1.0,0.0,(-exp(x1*(-1.153205)) - 1.2086105)*(-0.34264392)*x0 + x2*1.5255933 - 1*0.003150987,
claimtransfer_v1_standard_formula_public,public,std_division_pair_d8_n2048_d16_n4096,standard_rational_pair_highdim,symbolic_library,pysr_symbolic_regressor,53,7.662367757629443e-12,1.0,1.0,(x0/(x1 - 1*(-2.0000043)) + x2 + 0.0072440873)*1.5032041,
claimtransfer_v1_standard_formula_public,public,std_feynman_kepler_d6_n2048_d16_n4096,standard_feynman_style_highdim,symbolic_library,pysr_symbolic_regressor,52,3.739913092992554e-06,1.0,0.0,sqrt((1.9183619*x0 + 0.5909647)/(x1 + 0.1953634))*(0.7750888*x0 + 0.109232776) - 1.5709702,
claimtransfer_v1_standard_formula_public,public,std_feynman_kepler_d6_n2048_d16_n4096,standard_feynman_style_highdim,symbolic_library,pysr_symbolic_regressor,53,5.4699361082286456e-06,1.0,0.0,(1.0600806*x0 + 0.3090893)*sqrt(x0/(x1 + 0.19922094) - 0.02733627) - 1.5352492,
claimtransfer_v1_standard_formula_public,public,std_affine_no_pair_d12_n2048_d20_n4096,standard_negative_control_highdim,symbolic_library,pysr_symbolic_regressor,52,8.858727620821007e-17,1.0,1.0,x0*0.6502332 - 1.5605597*(x4 + x7*(-0.25)) - 0.028011017,
claimtransfer_v1_standard_formula_public,public,std_affine_no_pair_d12_n2048_d20_n4096,standard_negative_control_highdim,symbolic_library,pysr_symbolic_regressor,53,1.4550603272197072e-10,1.0,1.0,log(1.01545423658786*exp(0.653418817939222*x0 - 1.5682197*x4 + 0.392067534090883*x7)),
claimtransfer_v1_standard_formula_public,public,std_nguyen1_poly_d6_n2048,standard_srbench_polynomial,symbolic_library,pysr_symbolic_regressor,54,8.700974488918251e-16,1.0,1.0,(x0*(x0*(x0 + 0.9999998)*0.59540325 + 0.5954031) - 1*0.20331746)*1.710813,
claimtransfer_v1_standard_formula_public,public,std_nguyen1_poly_d6_n2048,standard_srbench_polynomial,symbolic_library,pysr_symbolic_regressor,55,7.147210662430615e-16,1.0,1.0,1.0177815*x0*(x0*x0 + x0 + cos(2.1280771e-8)) - 0.33512026,
claimtransfer_v1_standard_formula_public,public,std_nguyen5_trig_d6_n2048,standard_srbench_trig,symbolic_library,pysr_symbolic_regressor,54,2.4384881624555424e-15,1.0,1.0,cos(x0)*sin(x0*x0)*6.078158 - 1*1.3396416,
claimtransfer_v1_standard_formula_public,public,std_nguyen5_trig_d6_n2048,standard_srbench_trig,symbolic_library,pysr_symbolic_regressor,55,6.334977941371339e-08,1.0,0.0,(cos(cos(x0*0.49788448)*(-3.4594014)) - 1*0.42912006)*cos(x0/((cos(x0*0.3917499)*0.33138275))),
claimtransfer_v1_standard_formula_public,public,std_keijzer_log_d6_n2048,standard_srbench_log,symbolic_library,pysr_symbolic_regressor,54,7.897937024290782e-07,1.0,0.0,(-x1 + cos(x0*1.1373203 + sin(x0 + x0)*0.13132255))/(-0.615971) - 1*(-1.231305),
claimtransfer_v1_standard_formula_public,public,std_keijzer_log_d6_n2048,standard_srbench_log,symbolic_library,pysr_symbolic_regressor,55,1.0896207181802902e-06,1.0,0.0,x1*1.626934 - sin(cos(x0)) - cos(sin(x0)*1.623485) + 1.3900536,
claimtransfer_v1_standard_formula_public,public,std_bilinear_product_d8_n2048,standard_pair_product,symbolic_library,pysr_symbolic_regressor,54,2.07736183959553e-16,1.0,1.0,x0*2.2362206*x1 + x2*0.11811032 + x2 - 0.012910426,
claimtransfer_v1_standard_formula_public,public,std_bilinear_product_d8_n2048,standard_pair_product,symbolic_library,pysr_symbolic_regressor,55,8.052725089474023e-18,1.0,1.0,x0*2.2600296*x1 + x2*1.1300148 + 0.008183161,
claimtransfer_v1_standard_formula_public,public,std_feynman_energy_d8_n2048,standard_feynman_style,symbolic_library,pysr_symbolic_regressor,54,4.290379808295236e-05,1.0,0.0,(x1 + x2*x3 + cos(x1 - 1*(-2.1451852)) - 1*(-0.49483415))*x0*0.6063963 - 1*1.3125259,
claimtransfer_v1_standard_formula_public,public,std_feynman_energy_d8_n2048,standard_feynman_style,symbolic_library,pysr_symbolic_regressor,55,7.942180751354547e-10,1.0,1.0,(x2*x3 + x1*1.318112/(2.6361766/x1))*0.60787255*x0 - 1.3372079,
