adapter_family,adapter,method,candidate_to_pair,fitted_pair_to_pruning,fitted_pair_to_readout,prediction_to_pair,support_to_prediction,symbolic_status_to_expression_quality,candidate_to_pair_source_passes,fitted_pair_to_pruning_source_passes,fitted_pair_to_readout_source_passes,prediction_to_pair_source_passes,support_to_prediction_source_passes,symbolic_status_to_expression_quality_source_passes,dominant_overclaim_edge,dominant_overclaim_risk
tree_gate,TreeGate-extra-path_pair_endpoint,tree_gate / TreeGate-extra-path_pair_endpoint,0.5253549695740365,,,0.6330275229357798,,,493.0,,,109.0,,,prediction_to_pair,0.6330275229357798
tree_gate,TreeGate-tree-gate,tree_gate / TreeGate-tree-gate,0.5572183098591549,,,0.6325581395348837,,,1136.0,,,215.0,,,prediction_to_pair,0.6325581395348837
ga2m_spline,ga2m_spline,ga2m_spline / ga2m_spline,,,,0.1781305114638448,0.532258064516129,,,,,567.0,62.0,,support_to_prediction,0.532258064516129
epim_pairverify,residual_rff_hsic_pair_screen,epim_pairverify / residual_rff_hsic_pair_screen,0.4285714285714285,,,,,,112.0,,,,,,candidate_to_pair,0.4285714285714285
sparse_spline_lasso,sparse_spline_lasso,sparse_spline_lasso / sparse_spline_lasso,,,,0.3780778395552025,0.2698170731707317,,,,,1259.0,656.0,,prediction_to_pair,0.3780778395552025
sparse_library,poly2_ridge,sparse_library / poly2_ridge,,,,0.1066666666666666,0.361344537815126,,,,,75.0,119.0,,support_to_prediction,0.361344537815126
pyKAN,pyKAN-scorergram,pyKAN / pyKAN-scorergram,,,,0.3252427184466019,,,,,,412.0,,,prediction_to_pair,0.3252427184466019
pyKAN,pyKAN-semisynthetic-feature_edge_hybrid,pyKAN / pyKAN-semisynthetic-feature_edge_hybrid,,,,0.3170731707317073,0.0,,,,,205.0,205.0,,prediction_to_pair,0.3170731707317073
pyKAN,pyKAN-semisynthetic-feature_stability_var,pyKAN / pyKAN-semisynthetic-feature_stability_var,,,,0.3170731707317073,0.0,,,,,205.0,205.0,,prediction_to_pair,0.3170731707317073
pyKAN,pyKAN,pyKAN / pyKAN,,0.2080506558118498,0.25599276345545,0.1016091954022988,0.101433882103027,,,2211.0,2211.0,2175.0,1883.0,,fitted_pair_to_readout,0.25599276345545
pyKAN,pyKAN-prune-symbolic,pyKAN / pyKAN-prune-symbolic,,,,,0.2551020408163265,,,,,,196.0,,support_to_prediction,0.2551020408163265
epim_pairverify,EPIM-PairVerify,epim_pairverify / EPIM-PairVerify,0.1538028169014084,,,0.1561253561253561,,,1775.0,,,1755.0,,,prediction_to_pair,0.1561253561253561
neural_blackbox,mlp_hessian,neural_blackbox / mlp_hessian,,,,0.1302083333333333,0.0476190476190476,,,,,4800.0,6300.0,,prediction_to_pair,0.1302083333333333
symbolic_library,oracle_symbolic,symbolic_library / oracle_symbolic,,,,0.0,0.0,0.0,,,,120.0,150.0,150.0,prediction_to_pair,0.0
symbolic_library,symbolic_library_oracle,symbolic_library / symbolic_library_oracle,,,,,,0.0,,,,,,240.0,symbolic_status_to_expression_quality,0.0
