model,explain_method,seed,function,samples,dimension,noise,test_mse,train_mse,selected_variables,true_variables,variable_precision,variable_recall,variable_f1,formula,score_x0,score_x1,score_x2,score_x3,score_x4,score_x5,score_x6,score_x7,score_x8,score_x9,score_x10,score_x11,score_x12,score_x13,score_x14,score_x15,score_x16,score_x17,score_x18,score_x19,selected_interactions,true_interactions,interaction_precision,interaction_recall,interaction_f1,source_file,lamb,setting,score_x20,score_x21,score_x22,score_x23,score_x24,score_x25,score_x26,score_x27,score_x28,score_x29,score_x30,score_x31,score_x32,score_x33,score_x34,score_x35,score_x36,score_x37,score_x38,score_x39,score_x40,score_x41,score_x42,score_x43,score_x44,score_x45,score_x46,score_x47,score_x48,score_x49,score_x50,score_x51,score_x52,score_x53,score_x54,score_x55,score_x56,score_x57,score_x58,score_x59,score_x60,score_x61,score_x62,score_x63,score_x64,score_x65,score_x66,score_x67,score_x68,score_x69,score_x70,score_x71,score_x72,score_x73,score_x74,score_x75,score_x76,score_x77,score_x78,score_x79,score_x80,score_x81,score_x82,score_x83,score_x84,score_x85,score_x86,score_x87,score_x88,score_x89,score_x90,score_x91,score_x92,score_x93,score_x94,score_x95,score_x96,score_x97,score_x98,score_x99,variable_auroc,variable_auprc,importance_scores,active_score_mean,active_score_median,inactive_score_mean,inactive_score_median,active_score_min,inactive_score_max
KAN,grad,4,core_interaction,1024,20,0.0,0.0001541540550533,5.883599442313425e-05,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,4.889243125915527,1.2344276905059814,0.6043494343757629,0.592835545539856,0.0109000336378812,0.005212455522269,0.0033081150613725,0.0034557934850454,0.0033126734197139,0.003349004779011,0.0027126255445182,0.0079664224758744,0.0048305178061127,0.0032327633816748,0.0030128068756312,0.0048820497468113,0.0050491727888584,0.0058042369782924,0.0038258670829236,0.004364158026874,,,,,,sweep.csv,,"core_interaction, d=20, n=1024, noise=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN,perm,4,core_interaction,1024,20,0.0,0.0001541540550533,5.883599442313425e-05,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.3955923318862915,0.2587610185146332,0.3453767597675323,0.3535967767238617,2.013781340792775e-06,1.6574971368754632e-06,2.6586105832393514e-06,0.0,1.2984189368125953e-07,0.0,8.208929216380056e-07,1.4082033885642886e-06,0.0,0.0,0.0,4.252263750004204e-07,0.0,0.0,0.0,0.0,,,,,,sweep.csv,,"core_interaction, d=20, n=1024, noise=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,grad,4,core_interaction,1024,20,0.0,1.80328106880188,0.0006083104526624,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.103923797607422,1.345932126045227,0.8892611861228943,0.878695011138916,0.670921802520752,0.5949087142944336,0.581626296043396,0.5500702857971191,0.5572922229766846,0.6437154412269592,0.6463785767555237,0.6780369877815247,0.5455659627914429,0.5571560859680176,0.5407507419586182,0.4944491982460022,0.4927994608879089,0.5565342307090759,0.6684134006500244,0.6384469270706177,,,,,,sweep.csv,,"core_interaction, d=20, n=1024, noise=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,perm,4,core_interaction,1024,20,0.0,1.80328106880188,0.0006083104526624,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,0.1773832589387893,0.2222060412168502,0.3560961782932281,0.2957049906253814,0.0241003427654504,0.0,0.0,0.0586866550147533,0.0,0.0066830716095864,0.0004106760025024,0.0,0.0,0.0,0.0,0.0,0.0,0.0286074876785278,0.0090639190748333,0.0,,,,,,sweep.csv,,"core_interaction, d=20, n=1024, noise=0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN,grad,0,core_interaction,1024,20,0.01,0.0002792202576529,0.0001039301860146,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,4.826379776000977,1.1973364353179932,0.5889268517494202,0.595618724822998,0.0083731198683381,0.0047769504599273,0.0106813451275229,0.0088191516697406,0.007790639065206,0.0056556928902864,0.0091782733798027,0.0072962548583745,0.006959275342524,0.0100234141573309,0.006480636075139,0.0078426199033856,0.0080345794558525,0.0065491525456309,0.0054689110256731,0.0066853007301688,,,,,,sweep.csv,,"core_interaction, d=20, n=1024, noise=0.01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN,perm,0,core_interaction,1024,20,0.01,0.0002792202576529,0.0001039301860146,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.394121170043945,0.2415433526039123,0.3309919238090515,0.3274446427822113,0.0,0.0,5.72623685002327e-06,1.3096529301037665e-06,0.0,0.0,1.6794850807855255e-06,1.960104100362514e-06,4.001407887699315e-06,1.353813132709547e-07,0.0,1.2395321391522884e-06,0.0,4.650442861020565e-06,1.5269228015313274e-06,0.0,,,,,,sweep.csv,,"core_interaction, d=20, n=1024, noise=0.01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,grad,0,core_interaction,1024,20,0.01,1.5074588060379028,0.0006794348009862,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.602410912513733,1.2333130836486816,0.8751999139785767,0.8574357032775879,0.4643291234970093,0.4488074481487274,0.5305964946746826,0.5360794067382812,0.5263161659240723,0.5413713455200195,0.6231209635734558,0.5020803213119507,0.5034300088882446,0.4785422682762146,0.5011581182479858,0.6299349665641785,0.3678987026214599,0.586627721786499,0.5081751942634583,0.5848243236541748,,,,,,sweep.csv,,"core_interaction, d=20, n=1024, noise=0.01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLP,perm,0,core_interaction,1024,20,0.01,1.5074588060379028,0.0006794348009862,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,0.4566986858844757,0.2683637142181396,0.3284993171691894,0.3802697956562042,0.0511581487953662,0.0134233636781573,0.0,0.0489217042922973,0.0335258245468139,0.0,0.0296410713344812,0.0076563754118978,0.019973874092102,0.0,0.0084073143079876,0.0664248839020729,0.0,0.0608766861259937,0.018296280875802,0.0,,,,,,sweep.csv,,"core_interaction, d=20, n=1024, noise=0.01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN,grad,1,core_interaction,1024,20,0.01,0.0003145039372611,0.0001280087890336,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,4.788743495941162,1.2179561853408811,0.5838566422462463,0.5821348428726196,0.0066463500261306,0.0080996956676244,0.0078057562932372,0.0061052539385855,0.0115554686635732,0.0070216432213783,0.0068169222213327,0.0051480312831699,0.0059091532602906,0.0070131141692399,0.008544098585844,0.0105194430798292,0.0082850959151983,0.0110199470072984,0.00664634257555,0.006753958761692,,,,,,sweep.csv,,"core_interaction, d=20, n=1024, noise=0.01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN,perm,1,core_interaction,1024,20,0.01,0.0003145039372611,0.0001280087890336,"[0, 1, 2, 3]","[0, 1, 2, 3]",1.0,1.0,1.0,sin(2*pi*x0) + x1^2 + x2*x3,1.4241498708724976,0.2562204599380493,0.3190723359584808,0.3076858222484588,5.634394710796187e-06,0.0,1.7371881995131844e-06,3.939436282962561e-06,1.542095560580492e-06,0.0,4.130609795538476e-06,6.533528448926518e-06,0.0,0.0,0.0,0.0,2.4336623027920723e-06,2.4288310669362545e-06,7.080768114064995e-07,2.504801841496373e-06,,,,,,sweep.csv,,"core_interaction, d=20, n=1024, noise=0.01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
