model,explain_method,seed,function,samples,dimension,noise,variable_index,score,is_active,source_file
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,69,0.3696773052215576,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,70,0.5516465306282043,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,71,0.4735342860221863,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,72,0.4821339845657348,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,73,0.4615263938903808,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,74,0.3656134009361267,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,75,0.4002910554409027,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,76,0.5064452290534973,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,77,0.7961368560791016,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,78,0.3678219318389892,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,79,0.7289806008338928,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,80,0.6218055486679077,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,81,0.507179856300354,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,82,0.477408230304718,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,83,0.5272044539451599,0,core_d100_nonoracle_scores.csv
KAN,grad,0,core_d100_nonoracle_scores,1024,100,0.0,84,0.28336301445961,0,core_d100_nonoracle_scores.csv
