function,screen_mode,seed,trial,status,error,screen_score_type,effective_dim,hidden,depth,activation,lr,weight_decay,dropout,best_val_mse,best_epoch,epochs_run,final_train_mse,final_val_mse
core_interaction_c5,rf,4,18,ok,,rf,20,64,3,tanh,0.0002546344505300795,0.0001,0.0,0.226451575756073,357,1058,0.0040438007563352585,0.3609718084335327
core_interaction_c5,rf,4,19,ok,,rf,20,256,2,gelu,0.0016892209084201763,0.001,0.0,0.1901979148387909,58,759,2.110070454364177e-05,0.3800119459629059
core_interaction_c5,rf,4,20,ok,,rf,20,128,3,silu,0.00021695550569439067,0.0,0.0,0.18302059173583984,273,974,0.021499821916222572,0.2669268250465393
core_interaction_c5,rf,4,21,ok,,rf,20,128,3,gelu,7.485564954353444e-05,1e-05,0.0,0.19139228761196136,636,1337,0.04081166163086891,0.22023780643939972
core_interaction_c5,rf,4,22,ok,,rf,20,512,3,gelu,0.008403696956846014,0.01,0.0,0.17161411046981812,49,750,0.00023597686958964914,0.3146262466907501
core_interaction_c5,rf,4,23,ok,,rf,20,64,2,gelu,0.00022945747209788313,0.01,0.0,0.20087453722953796,474,1175,0.03930702805519104,0.2595772445201874
core_interaction_c5,rf,4,24,ok,,rf,20,256,2,gelu,0.00028134390180753314,0.001,0.0,0.18586784601211548,194,895,0.004008305259048939,0.32027631998062134
core_interaction_c5,rf,4,25,ok,,rf,20,128,4,softplus,4.042688174926485e-05,0.0,0.0,0.17249523103237152,3309,4010,0.09360009431838989,0.17898164689540863
core_interaction_c5,rf,4,26,ok,,rf,20,64,3,tanh,0.005277400572095736,1e-06,0.0,0.2296825498342514,51,752,2.6801809660526033e-09,0.3464634120464325
core_interaction_c5,rf,4,27,ok,,rf,20,512,3,gelu,8.026001032218288e-05,0.01,0.0,0.1726553589105606,175,876,0.029573986306786537,0.23089507222175598
core_interaction_c5,rf,4,28,ok,,rf,20,64,2,tanh,0.0010017904410486072,0.0001,0.0,0.23963963985443115,189,890,1.7237774954992346e-05,0.35053128004074097
core_interaction_c5,rf,4,29,ok,,rf,20,64,3,softplus,0.0002568852406415542,0.0,0.0,0.1639799177646637,784,1485,0.08103489875793457,0.18599556386470795
core_interaction_c5,rf,4,30,ok,,rf,20,128,2,softplus,0.0007974504876117123,1e-06,0.0,0.17383435368537903,362,1063,0.07227448374032974,0.19817374646663666
core_interaction_c5,rf,4,31,ok,,rf,20,128,4,tanh,4.390788643108206e-05,1e-05,0.0,0.23326686024665833,757,1458,0.01271656434983015,0.3239169716835022
core_interaction_c5,rf,4,32,ok,,rf,20,512,2,silu,4.157616426238186e-05,1e-05,0.0,0.1665140688419342,720,1421,0.0833335816860199,0.18007560074329376
core_interaction_c5,rf,4,33,ok,,rf,20,512,4,silu,2.542365754105851e-05,1e-05,0.0,0.16792811453342438,401,1102,0.07749094069004059,0.20305977761745453
core_interaction_c5,rf,4,34,ok,,rf,20,64,3,gelu,0.0030979093061972458,1e-06,0.0,0.1992308497428894,57,758,2.6348402570874896e-06,0.4125436246395111
core_interaction_c5,rf,4,35,ok,,rf,20,512,3,softplus,1.4097493658074689e-05,0.0,0.0,0.1873561143875122,4999,5000,0.12436328828334808,0.1873561143875122
core_interaction_c5,rf,4,36,ok,,rf,20,512,2,gelu,3.426184752886528e-05,0.01,0.0,0.1710437685251236,716,1417,0.07683941721916199,0.18553274869918823
core_interaction_c5,rf,4,37,ok,,rf,20,256,3,silu,0.00034020866085467246,1e-06,0.0,0.17615701258182526,93,794,0.011725378222763538,0.3029661476612091
core_interaction_c5,rf,4,38,ok,,rf,20,64,2,softplus,0.00014273325534046676,0.0001,0.0,0.1757502555847168,3248,3949,0.08415647596120834,0.18285825848579407
core_interaction_c5,rf,4,39,ok,,rf,20,64,3,tanh,3.298109682269115e-05,0.0001,0.0,0.21942324936389923,2516,3217,0.07965321838855743,0.23716525733470917
core_interaction_c5,rf,4,40,ok,,rf,20,512,4,gelu,8.1180619191179e-05,0.001,0.0,0.17706575989723206,141,842,0.017508352175354958,0.2637563943862915
core_interaction_c5,rf,4,41,ok,,rf,20,512,2,silu,0.005062036212009895,0.001,0.0,0.17007534205913544,36,737,2.333540805921075e-06,0.33842548727989197
core_interaction_c5,rf,4,42,ok,,rf,20,256,2,silu,0.00042253626053776155,1e-05,0.0,0.17547067999839783,158,859,0.0036030439659953117,0.3311236798763275
core_interaction_c5,rf,4,43,ok,,rf,20,64,2,tanh,0.0006135010059432599,1e-06,0.0,0.2086307853460312,242,943,0.0012741107493638992,0.354204922914505
core_interaction_c5,rf,4,44,ok,,rf,20,128,2,gelu,3.5616245556759916e-05,0.001,0.0,0.19138433039188385,2036,2737,0.07352366298437119,0.19713415205478668
core_interaction_c5,rf,4,45,ok,,rf,20,128,4,tanh,2.6684502188233107e-05,0.01,0.0,0.24729622900485992,1416,2117,0.017781194299459457,0.2827965319156647
core_interaction_c5,rf,4,46,ok,,rf,20,64,4,tanh,1.891861949451268e-05,1e-06,0.0,0.8836194276809692,156,857,0.8787797689437866,0.8920667767524719
core_interaction_c5,rf,4,47,ok,,rf,20,64,2,softplus,9.895948057620257e-05,0.0,0.0,0.1892639845609665,3808,4509,0.08937142789363861,0.19203658401966095
correlated_proxy,rf,4,0,ok,,rf,20,256,4,silu,1.7914823299257556e-05,0.0,0.0,0.7591765522956848,1121,1822,0.4465399980545044,0.8022964000701904
correlated_proxy,rf,4,1,ok,,rf,20,64,4,softplus,1.5540752200368223e-05,0.0,0.0,0.908769428730011,4999,5000,0.8335824608802795,0.908769428730011
correlated_proxy,rf,4,2,ok,,rf,20,128,3,silu,3.0544560507230864e-05,1e-06,0.0,0.7502536773681641,1460,2161,0.4367108643054962,0.7953683733940125
correlated_proxy,rf,4,3,ok,,rf,20,256,3,tanh,0.0002794146184773966,0.001,0.0,0.9145759344100952,52,753,3.696085332194343e-05,1.222246527671814
correlated_proxy,rf,4,4,ok,,rf,20,128,4,gelu,0.0010504201033051015,0.01,0.0,0.7373157739639282,48,749,0.0001614789362065494,1.7648831605911255
