function,screen_mode,seed,trial,status,error,screen_score_type,effective_dim,hidden,depth,activation,lr,weight_decay,dropout,best_val_mse,best_epoch,epochs_run,final_train_mse,final_val_mse
correlated_proxy,raw,0,1,ok,,none,100,256,3,silu,0.0001628864218306143,1e-05,0.0,0.9272885322570801,26,327,3.009078541893473e-10,1.2680399417877197
correlated_proxy,raw,0,2,ok,,none,100,256,2,silu,9.598620869000392e-05,1e-06,0.0,0.9619565010070801,55,356,0.017343707382678986,1.092387080192566
correlated_proxy,raw,0,3,ok,,none,100,256,2,silu,0.0004980526006541371,0.0001,0.0,0.9188109040260315,10,311,1.4981896612198398e-08,1.2676564455032349
correlated_proxy,raw,0,4,ok,,none,100,256,3,silu,1.9184923341462762e-05,0.0,0.0,0.9463117122650146,198,499,0.5823037028312683,1.0092605352401733
correlated_proxy,raw,0,5,ok,,none,100,64,4,silu,0.0004744706423087509,0.0,0.0,0.9644784331321716,23,324,3.87532745662611e-05,1.7567665576934814
correlated_proxy,raw,0,6,ok,,none,100,256,3,tanh,0.0015222625056265408,0.0001,0.0,0.9834699034690857,8,309,4.122288373764604e-06,1.0687878131866455
correlated_proxy,raw,0,7,ok,,none,100,256,2,tanh,0.00029814623208444097,0.0,0.0,0.9469948410987854,8,309,2.169262547369044e-09,1.0781471729278564
correlated_proxy,raw,0,8,ok,,none,100,128,3,tanh,0.0008215375471085865,0.0001,0.0,0.9615325331687927,5,306,5.4018848459236324e-05,1.2376441955566406
correlated_proxy,raw,0,9,ok,,none,100,64,2,tanh,0.00022712882139568514,1e-06,0.0,0.9586178660392761,72,373,0.08861242979764938,1.2361301183700562
correlated_proxy,raw,0,10,ok,,none,100,256,3,tanh,0.000244404467348001,1e-06,0.0,0.9250015020370483,8,309,3.530666390361148e-06,1.1220176219940186
correlated_proxy,raw,0,11,ok,,none,100,256,3,tanh,2.2937377831132477e-05,1e-05,0.0,0.9500188231468201,60,361,0.5604509711265564,0.9952467679977417
pairwise_interaction,raw,0,0,ok,,none,100,256,4,silu,1.7914823299257556e-05,0.0,0.0,0.9790034890174866,116,417,0.5675531029701233,1.188687801361084
pairwise_interaction,raw,0,1,ok,,none,100,128,4,tanh,5.964904448910374e-05,1e-06,0.0,1.0631917715072632,41,342,0.06595893204212189,1.4276140928268433
pairwise_interaction,raw,0,2,ok,,none,100,64,2,silu,0.002951752681894105,0.0,0.0,0.9607789516448975,2,303,2.3720798481008387e-07,1.4103968143463135
pairwise_interaction,raw,0,3,ok,,none,100,128,4,silu,5.0733795997245775e-05,1e-05,0.0,0.9928447604179382,85,386,0.19715000689029694,1.419785499572754
pairwise_interaction,raw,0,4,ok,,none,100,128,2,tanh,1.5580583373110808e-05,0.0,0.0,1.0054203271865845,426,727,0.7230810523033142,1.0244009494781494
pairwise_interaction,raw,0,5,ok,,none,100,64,4,silu,0.0010121371681172072,0.0001,0.0,0.9690943956375122,10,311,2.2679431666006167e-08,1.4025057554244995
pairwise_interaction,raw,0,6,ok,,none,100,256,4,tanh,0.001574303347324391,0.0,0.0,0.9886911511421204,0,301,1.2248267921677325e-05,1.0913575887680054
pairwise_interaction,raw,0,7,ok,,none,100,256,4,tanh,0.0001237681675634879,0.0001,0.0,0.9916130900382996,8,309,2.151812200645864e-10,1.2236742973327637
pairwise_interaction,raw,0,8,ok,,none,100,64,2,silu,0.002861838060841382,1e-05,0.0,1.0473453998565674,5,306,0.0006350318435579538,1.2451063394546509
pairwise_interaction,raw,0,9,ok,,none,100,128,2,tanh,1.073227623336431e-05,0.0,0.0,1.082632064819336,592,893,0.7463250160217285,1.0894891023635864
pairwise_interaction,raw,0,10,ok,,none,100,256,3,tanh,5.131144202670227e-05,0.0001,0.0,0.9837128520011902,21,322,0.10221590101718903,1.1331593990325928
pairwise_interaction,raw,0,11,ok,,none,100,128,4,silu,3.275270906752485e-05,1e-06,0.0,0.9434848427772522,160,461,0.4641205072402954,1.1685099601745605
