model,function,screen_mode,dimension,samples,noise,variable_method,interaction_method,hidden,depth,activation,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,effective_dim_mean,screen_contains_all_true_vars_mean,screen_true_var_recall_mean,screen_contains_all_interaction_endpoints_mean,screen_interaction_endpoint_recall_mean,screen_contains_true_interactions_mean,variable_f1_mean,variable_f1_std,variable_auroc_mean,variable_auroc_std,variable_auprc_mean,variable_auprc_std,interaction_f1_mean,interaction_f1_std,true_interaction_score_mean_mean,true_interaction_score_mean_std,max_nontrue_interaction_score_mean,max_nontrue_interaction_score_std
MLP,correlated_proxy,exclude_interaction,100,1024,0.0,grad,fd,256,2,silu,0.9200897812843323,0.11099201668117967,1.0203834374745686,0.031848496974962816,20.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.08333333333333333,0.14433756729740646,0.44748263888888884,0.08945922139787169,0.12000000000000001,0.1385640646055102,0.0,0.0,0.0,0.0,0.13551248299578825,0.21395477660598528
MLP,correlated_proxy,oracle_support,100,1024,0.0,grad,fd,256,2,silu,0.58738245566686,0.1186118849584376,0.828926146030426,0.07550177334397151,20.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.14433756729740646,0.9939236111111112,0.005421005206943075,0.8277777777777778,0.16171462633407768,1.0,0.0,0.7578583061695099,0.6075717199155296,0.2719717025756836,0.10564486462127123
MLP,correlated_proxy,random,100,1024,0.0,grad,fd,256,2,silu,0.9030647476514181,0.07689091107448978,0.975214958190918,0.06446961118591578,20.0,0.0,0.3333333333333333,0.0,0.5,0.0,0.0,0.0,0.5850694444444445,0.07969700265599414,0.09472222222222222,0.03298077442210055,0.0,0.0,0.0,0.0,0.016787671173612278,0.006885816838294346
MLP,correlated_proxy,raw,100,1024,0.0,grad,fd,256,2,silu,0.8313800493876139,0.016155622414606427,0.9830182194709778,0.06483051906733646,100.0,1.0,1.0,1.0,1.0,1.0,0.25,0.0,0.6753472222222223,0.09376205555203332,0.25649320794444636,0.06670879520119864,0.0,0.0,0.004181056283414364,0.00268288808146813,0.0096089206635952,0.0008670190825603639
MLP,correlated_proxy,rf,100,1024,0.0,grad,fd,256,2,silu,0.5530347526073456,0.05427072938207031,0.7625212669372559,0.013812181595994762,20.0,1.0,1.0,1.0,1.0,1.0,0.75,0.0,0.9809027777777778,0.01954571223819045,0.8027777777777777,0.0024056261216234324,1.0,0.0,0.8544302384058634,0.42609637275549705,0.43994008501370746,0.09401493623546653
MLP,pairwise_interaction,exclude_interaction,100,1024,0.0,grad,fd,128,4,silu,0.997836152712504,0.0059499133210169025,1.008171061674754,0.04120715895462981,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39690721649484545,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.004613023949787021,0.0012432917562628378
MLP,pairwise_interaction,oracle_support,100,1024,0.0,grad,fd,128,4,silu,0.7653769056002299,0.09821124668922562,0.8916263580322266,0.020582983296602186,20.0,1.0,1.0,1.0,1.0,1.0,0.7777777777777777,0.3849001794597505,0.9805269186712486,0.033728366241318364,0.8317460317460318,0.29142442159095394,0.6666666666666666,0.5773502691896258,0.2715950997856756,0.25437734393700695,0.09930663617948692,0.07952256484679841
MLP,pairwise_interaction,random,100,1024,0.0,grad,fd,128,4,silu,0.999944806098938,0.0027930689707670784,1.0092958211898804,0.04244176231062408,20.0,0.0,0.1111111111111111,0.0,0.16666666666666666,0.0,0.0,0.0,0.44673539518900346,0.08630493714690278,0.03320261437908497,0.00554709082162582,0.0,0.0,0.0,0.0,0.00421428307890892,0.0005685358973044294
MLP,pairwise_interaction,raw,100,1024,0.0,grad,fd,128,4,silu,0.86583145459493,0.03902687376618181,0.9880728522936503,0.03728176372022566,100.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.0,0.7296678121420389,0.2057364333158918,0.4247404816798701,0.10180333756347229,0.0,0.0,0.007641598892708619,0.0050235759058647675,0.010270972270518541,0.0036700027810260376
MLP,pairwise_interaction,rf,100,1024,0.0,grad,fd,128,4,silu,0.7110536694526672,0.011311956672911638,0.8617681264877319,0.03264091591672312,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.3747443954149882,0.054495730669651396,0.14248440166314444,0.01035038451287757
