model,explain_method,function,samples,noise,mean_test_mse,std_test_mse,mean_variable_f1,std_variable_f1
MLP,grad,core_interaction,256,0.0,3.2435839653015135,0.4440551802922799,0.6,0.13693063937629152
MLP,grad,core_interaction,256,0.01,3.256367015838623,0.45125613461430525,0.6,0.13693063937629152
MLP,grad,core_interaction,256,0.05,3.2045970439910887,0.44004994910655826,0.5,0.25
MLP,grad,core_interaction,256,0.1,3.250325155258179,0.46222039141523025,0.5,0.25
MLP,grad,core_interaction,512,0.0,1.9680059671401977,0.08100469650682221,0.95,0.11180339887498948
MLP,grad,core_interaction,512,0.01,1.9398324012756347,0.1331037224612148,0.95,0.11180339887498948
MLP,grad,core_interaction,512,0.05,1.9805196046829223,0.10972394342356569,0.9,0.13693063937629152
MLP,grad,core_interaction,512,0.1,2.0027488231658936,0.12820417305657583,0.85,0.13693063937629152
MLP,grad,core_interaction,1024,0.0,1.7692875385284423,0.19694975061158213,1.0,0.0
MLP,grad,core_interaction,1024,0.01,1.767464518547058,0.18322596910470654,1.0,0.0
MLP,grad,core_interaction,1024,0.05,1.7771642208099365,0.14189202224491884,1.0,0.0
MLP,grad,core_interaction,1024,0.1,1.8776997327804565,0.09703951604696066,1.0,0.0
MLP,grad,core_interaction,2048,0.0,0.11106886523775754,0.11966843487844869,1.0,0.0
MLP,grad,core_interaction,2048,0.01,0.1178633492905646,0.11470906131070172,1.0,0.0
MLP,grad,core_interaction,2048,0.05,0.14374062549322839,0.12279811890960012,1.0,0.0
MLP,grad,core_interaction,2048,0.1,0.18434015661478037,0.14753448667106528,1.0,0.0
MLP,perm,core_interaction,256,0.0,3.2435839653015135,0.4440551802922799,0.95,0.11180339887498947
MLP,perm,core_interaction,256,0.01,3.256367015838623,0.45125613461430525,0.95,0.11180339887498947
MLP,perm,core_interaction,256,0.05,3.2045970439910887,0.44004994910655826,0.95,0.11180339887498947
MLP,perm,core_interaction,256,0.1,3.250325155258179,0.46222039141523025,0.95,0.11180339887498947
MLP,perm,core_interaction,512,0.0,1.9680059671401977,0.08100469650682221,1.0,0.0
MLP,perm,core_interaction,512,0.01,1.9398324012756347,0.1331037224612148,1.0,0.0
MLP,perm,core_interaction,512,0.05,1.9805196046829223,0.10972394342356569,1.0,0.0
MLP,perm,core_interaction,512,0.1,2.0027488231658936,0.12820417305657583,1.0,0.0
MLP,perm,core_interaction,1024,0.0,1.7692875385284423,0.19694975061158213,1.0,0.0
MLP,perm,core_interaction,1024,0.01,1.767464518547058,0.18322596910470654,1.0,0.0
MLP,perm,core_interaction,1024,0.05,1.7771642208099365,0.14189202224491884,1.0,0.0
MLP,perm,core_interaction,1024,0.1,1.8776997327804565,0.09703951604696066,0.95,0.1118033988749895
MLP,perm,core_interaction,2048,0.0,0.11106886523775754,0.11966843487844869,1.0,0.0
MLP,perm,core_interaction,2048,0.01,0.1178633492905646,0.11470906131070172,1.0,0.0
MLP,perm,core_interaction,2048,0.05,0.14374062549322839,0.12279811890960012,1.0,0.0
MLP,perm,core_interaction,2048,0.1,0.18434015661478037,0.14753448667106528,1.0,0.0
