function,seed,mc_rep,samples,test_samples,dimension,noise,update_grid,width_hidden,grid,lamb,steps,anova_points,anova_background,candidate_pairs,train_mse,test_mse,train_runtime_sec,score_runtime_sec,true_pair_score,max_false_pair_score,true_minus_max_false,true_pair_rank,true_pair_rank1,top_pair,top_pair_score
core_interaction_c025,1,4,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.00016783269529696554,0.00025298044783994555,18.032922983169556,42.05240082740784,0.10867964290082455,0.002746311016380787,0.10593333188444376,1,1,"(2, 3)",0.10867964290082455
core_interaction_c025,1,5,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.00016783269529696554,0.00025298044783994555,18.032922983169556,41.95328712463379,0.10743100545369089,0.002667258493602276,0.10476374696008861,1,1,"(2, 3)",0.10743100545369089
core_interaction_c025,1,6,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.00016783269529696554,0.00025298044783994555,18.032922983169556,41.96115827560425,0.10224956180900335,0.0032032420858740807,0.09904631972312927,1,1,"(2, 3)",0.10224956180900335
core_interaction_c025,1,7,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.00016783269529696554,0.00025298044783994555,18.032922983169556,41.9709997177124,0.056280041579157114,0.003086209762841463,0.05319383181631565,1,1,"(2, 3)",0.056280041579157114
core_interaction_c025,1,8,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.00016783269529696554,0.00025298044783994555,18.032922983169556,41.95071887969971,0.07853637728840113,0.003190765157341957,0.07534561213105917,1,1,"(2, 3)",0.07853637728840113
core_interaction_c025,1,9,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.00016783269529696554,0.00025298044783994555,18.032922983169556,41.96019124984741,0.08281322382390499,0.004122177138924599,0.07869104668498039,1,1,"(2, 3)",0.08281322382390499
core_interaction_c025,2,0,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.0005189856747165322,0.022975414991378784,18.09803342819214,42.06708383560181,0.0019027888774871826,0.014176161959767342,-0.012273373082280159,266,0,"(0, 42)",0.014176161959767342
core_interaction_c025,2,1,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.0005189856747165322,0.022975414991378784,18.09803342819214,42.08366537094116,0.0030449572950601578,0.011537233367562294,-0.008492276072502136,94,0,"(0, 20)",0.011537233367562294
core_interaction_c025,2,2,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.0005189856747165322,0.022975414991378784,18.09803342819214,42.007936000823975,0.002123129554092884,0.013287920504808426,-0.011164790950715542,208,0,"(0, 20)",0.013287920504808426
core_interaction_c025,2,3,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.0005189856747165322,0.022975414991378784,18.09803342819214,42.09225344657898,0.0025768857449293137,0.009549763053655624,-0.006972877308726311,150,0,"(0, 20)",0.009549763053655624
core_interaction_c025,2,4,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.0005189856747165322,0.022975414991378784,18.09803342819214,41.98676681518555,0.003070354461669922,0.013011294417083263,-0.009940939955413342,121,0,"(0, 99)",0.013011294417083263
core_interaction_c025,2,5,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.0005189856747165322,0.022975414991378784,18.09803342819214,41.96820521354675,0.003227666951715946,0.011242782697081566,-0.00801511574536562,107,0,"(0, 99)",0.011242782697081566
core_interaction_c025,2,6,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.0005189856747165322,0.022975414991378784,18.09803342819214,42.179465770721436,0.004238743335008621,0.011009125038981438,-0.0067703817039728165,54,0,"(0, 11)",0.011009125038981438
core_interaction_c025,2,7,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.0005189856747165322,0.022975414991378784,18.09803342819214,42.01178503036499,0.0029404619708657265,0.010033242404460907,-0.0070927804335951805,111,0,"(0, 99)",0.010033242404460907
core_interaction_c025,2,8,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.0005189856747165322,0.022975414991378784,18.09803342819214,41.98809504508972,0.0015554279088974,0.008619215339422226,-0.007063787430524826,322,0,"(0, 20)",0.008619215339422226
core_interaction_c025,2,9,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.0005189856747165322,0.022975414991378784,18.09803342819214,42.10935401916504,0.0022420398890972137,0.015422288328409195,-0.013180248439311981,173,0,"(0, 20)",0.015422288328409195
core_interaction_c025,3,0,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.0008599453140050173,0.02510163187980652,18.134623050689697,42.24809193611145,0.00018591247498989105,0.01610945351421833,-0.01592354103922844,1304,0,"(0, 49)",0.01610945351421833
core_interaction_c025,3,1,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.0008599453140050173,0.02510163187980652,18.134623050689697,42.320510387420654,0.00015303678810596466,0.020541585981845856,-0.02038854919373989,1388,0,"(0, 42)",0.020541585981845856
core_interaction_c025,3,2,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.0008599453140050173,0.02510163187980652,18.134623050689697,42.11852478981018,0.0001585632562637329,0.015143546741455793,-0.01498498348519206,1659,0,"(0, 49)",0.015143546741455793
core_interaction_c025,3,3,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.0008599453140050173,0.02510163187980652,18.134623050689697,42.26037073135376,0.0001025395467877388,0.015672728419303894,-0.015570188872516155,2774,0,"(0, 49)",0.015672728419303894
core_interaction_c025,3,4,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.0008599453140050173,0.02510163187980652,18.134623050689697,42.12871980667114,0.00011366233229637146,0.015003829263150692,-0.01489016693085432,2075,0,"(0, 70)",0.015003829263150692
core_interaction_c025,3,5,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.0008599453140050173,0.02510163187980652,18.134623050689697,42.28982329368591,0.00013248436152935028,0.015880651772022247,-0.015748167410492897,2138,0,"(0, 70)",0.015880651772022247
core_interaction_c025,3,6,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.0008599453140050173,0.02510163187980652,18.134623050689697,42.14393639564514,0.0001698676496744156,0.014116005972027779,-0.013946138322353363,1267,0,"(0, 86)",0.014116005972027779
core_interaction_c025,3,7,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.0008599453140050173,0.02510163187980652,18.134623050689697,42.243749380111694,0.0002029668539762497,0.012243039906024933,-0.012040073052048683,971,0,"(0, 42)",0.012243039906024933
core_interaction_c025,3,8,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.0008599453140050173,0.02510163187980652,18.134623050689697,42.164572954177856,9.654555469751358e-05,0.015715970657765865,-0.015619425103068352,2792,0,"(0, 70)",0.015715970657765865
core_interaction_c025,3,9,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.0008599453140050173,0.02510163187980652,18.134623050689697,42.2533905506134,0.00018055737018585205,0.01440800167620182,-0.014227444306015968,1142,0,"(0, 36)",0.01440800167620182
core_interaction_c025,4,0,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.0001638356625335291,0.00024293096794281155,17.72076654434204,42.00462341308594,0.11116589419543743,0.004917314276099205,0.10624857991933823,1,1,"(2, 3)",0.11116589419543743
core_interaction_c025,4,1,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.0001638356625335291,0.00024293096794281155,17.72076654434204,42.11904549598694,0.05567656084895134,0.00459524430334568,0.05108131654560566,1,1,"(2, 3)",0.05567656084895134
core_interaction_c025,4,2,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.0001638356625335291,0.00024293096794281155,17.72076654434204,41.919270277023315,0.09451949805952609,0.0022237044759094715,0.09229579358361661,1,1,"(2, 3)",0.09451949805952609
core_interaction_c025,4,3,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.0001638356625335291,0.00024293096794281155,17.72076654434204,41.912965059280396,0.09504083171486855,0.004484901204705238,0.09055593051016331,1,1,"(2, 3)",0.09504083171486855
core_interaction_c025,4,4,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.0001638356625335291,0.00024293096794281155,17.72076654434204,42.02887439727783,0.07092070300132036,0.003394101280719042,0.06752660172060132,1,1,"(2, 3)",0.07092070300132036
core_interaction_c025,4,5,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.0001638356625335291,0.00024293096794281155,17.72076654434204,41.8940863609314,0.0977401037234813,0.0037449724040925503,0.09399513131938875,1,1,"(2, 3)",0.0977401037234813
core_interaction_c025,4,6,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.0001638356625335291,0.00024293096794281155,17.72076654434204,41.92310547828674,0.11091658193618059,0.0032179635018110275,0.10769861843436956,1,1,"(2, 3)",0.11091658193618059
core_interaction_c025,4,7,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.0001638356625335291,0.00024293096794281155,17.72076654434204,42.06861901283264,0.11609248025342822,0.0037426771596074104,0.11234980309382081,1,1,"(2, 3)",0.11609248025342822
core_interaction_c025,4,8,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.0001638356625335291,0.00024293096794281155,17.72076654434204,41.958922386169434,0.11267799884080887,0.005105003714561462,0.1075729951262474,1,1,"(2, 3)",0.11267799884080887
core_interaction_c025,4,9,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.0001638356625335291,0.00024293096794281155,17.72076654434204,42.07681131362915,0.10531057277694345,0.00552341528236866,0.09978715749457479,1,1,"(2, 3)",0.10531057277694345
core_interaction_c025,5,0,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.0009464273462072015,0.005362872965633869,17.82717514038086,42.246330976486206,0.08610029704868793,0.005246388725936413,0.08085390832275152,1,1,"(2, 3)",0.08610029704868793
core_interaction_c025,5,1,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.0009464273462072015,0.005362872965633869,17.82717514038086,42.20743274688721,0.10827695950865746,0.007135357707738876,0.10114160180091858,1,1,"(2, 3)",0.10827695950865746
core_interaction_c025,5,2,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.0009464273462072015,0.005362872965633869,17.82717514038086,42.1437714099884,0.08097752742469311,0.005636401474475861,0.07534112595021725,1,1,"(2, 3)",0.08097752742469311
core_interaction_c025,5,3,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.0009464273462072015,0.005362872965633869,17.82717514038086,42.10388708114624,0.07324512070044875,0.004757244605571032,0.06848787609487772,1,1,"(2, 3)",0.07324512070044875
core_interaction_c025,5,4,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.0009464273462072015,0.005362872965633869,17.82717514038086,42.31767559051514,0.05171395232900977,0.0042112828232347965,0.047502669505774975,1,1,"(2, 3)",0.05171395232900977
core_interaction_c025,5,5,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.0009464273462072015,0.005362872965633869,17.82717514038086,42.118927001953125,0.08348611555993557,0.006568841636180878,0.07691727392375469,1,1,"(2, 3)",0.08348611555993557
core_interaction_c025,5,6,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.0009464273462072015,0.005362872965633869,17.82717514038086,42.21620774269104,0.08680770546197891,0.007260346785187721,0.07954735867679119,1,1,"(2, 3)",0.08680770546197891
core_interaction_c025,5,7,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.0009464273462072015,0.005362872965633869,17.82717514038086,42.097084760665894,0.08025635313242674,0.005975772626698017,0.07428058050572872,1,1,"(2, 3)",0.08025635313242674
core_interaction_c025,5,8,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.0009464273462072015,0.005362872965633869,17.82717514038086,42.22581100463867,0.1168040158227086,0.0058821020647883415,0.11092191375792027,1,1,"(2, 3)",0.1168040158227086
core_interaction_c025,5,9,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.0009464273462072015,0.005362872965633869,17.82717514038086,42.15584135055542,0.07896152138710022,0.0046556852757930756,0.07430583611130714,1,1,"(2, 3)",0.07896152138710022
core_interaction_c025,6,0,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.00016231728659477085,0.00027163841878063977,18.34637999534607,42.10450506210327,0.07627947395667434,0.003110012039542198,0.07316946191713214,1,1,"(2, 3)",0.07627947395667434
core_interaction_c025,6,1,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.00016231728659477085,0.00027163841878063977,18.34637999534607,42.20506811141968,0.10505551868118346,0.0019107351545244455,0.10314478352665901,1,1,"(2, 3)",0.10505551868118346
core_interaction_c025,6,2,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.00016231728659477085,0.00027163841878063977,18.34637999534607,42.038400650024414,0.08279709378257394,0.0021215202286839485,0.08067557355388999,1,1,"(2, 3)",0.08279709378257394
core_interaction_c025,6,3,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.00016231728659477085,0.00027163841878063977,18.34637999534607,42.133336305618286,0.09676799084991217,0.0037964656949043274,0.09297152515500784,1,1,"(2, 3)",0.09676799084991217
core_interaction_c025,6,4,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.00016231728659477085,0.00027163841878063977,18.34637999534607,41.98917102813721,0.07429528841748834,0.0027583411429077387,0.0715369472745806,1,1,"(2, 3)",0.07429528841748834
core_interaction_c025,6,5,1024,2048,100,0.0,0,16,5,0.001,75,16,16,4950,0.00016231728659477085,0.00027163841878063977,18.34637999534607,42.029197454452515,0.06618931610137224,0.0024884995073080063,0.06370081659406424,1,1,"(2, 3)",0.06618931610137224
