function,interaction_strength,screen_mode,n,d,top_m,test_mse_mean,variable_f1_mean,explain_interaction_endpoint_recall_mean,interaction_f1_mean,true_interaction_mean_score_margin_mean,support_contains_all_true_mean,support_contains_interaction_endpoints_mean,num_runs
core_interaction_c05,0.5,ss_kan_pair,512,100,8,0.0003095266394666,1.0,1.0,1.0,0.3672163683921098,1.0,1.0,10
core_interaction_c05,0.5,ss_kan_pair,512,100,10,0.0003074123960686,1.0,1.0,1.0,0.3124270386993885,1.0,1.0,10
core_interaction_c05,0.5,ss_kan_pair,1024,100,4,0.0002675721902051,1.0,1.0,0.9,0.3212861239910126,1.0,1.0,10
core_interaction_c05,0.5,ss_kan_pair,1024,100,5,0.000514130135707,1.0,1.0,1.0,0.3599034462124109,1.0,1.0,10
core_interaction_c05,0.5,ss_kan_pair,1024,100,6,0.0002942487757536,1.0,1.0,0.8,0.2620348440483212,1.0,1.0,10
core_interaction_c05,0.5,ss_kan_pair,1024,100,8,0.0002598553459392,1.0,1.0,0.9,0.3803537653759122,1.0,1.0,10
core_interaction_c05,0.5,ss_kan_pair,1024,100,10,0.0003099248526268,1.0,1.0,0.9,0.3439215682446956,1.0,1.0,10
core_interaction_c05,0.5,ss_kan_variable,512,50,4,0.0003433358448091,1.0,1.0,1.0,0.3681844927370548,1.0,1.0,10
core_interaction_c05,0.5,ss_kan_variable,512,50,5,0.0004627462360076,1.0,1.0,0.9,0.3400410393252969,1.0,1.0,10
core_interaction_c05,0.5,ss_kan_variable,512,50,6,0.0003314525922178,1.0,1.0,1.0,0.2767079591751099,1.0,1.0,10
core_interaction_c05,0.5,ss_kan_variable,512,50,8,0.0002275817081681,1.0,1.0,1.0,0.4082790859974921,1.0,1.0,10
core_interaction_c05,0.5,ss_kan_variable,512,50,10,0.0007095397799275,1.0,1.0,1.0,0.4388342152349651,1.0,1.0,10
core_interaction_c05,0.5,ss_kan_variable,1024,50,4,0.000423012561805,1.0,1.0,1.0,0.3564111910760402,1.0,1.0,10
core_interaction_c05,0.5,ss_kan_variable,1024,50,5,0.0004364963911939,1.0,1.0,0.9,0.263218205422163,1.0,1.0,10
core_interaction_c05,0.5,ss_kan_variable,1024,50,6,0.0003109511759248,1.0,1.0,1.0,0.3085052683949471,1.0,1.0,10
core_interaction_c05,0.5,ss_kan_variable,1024,50,8,0.0002370122747379,1.0,1.0,1.0,0.4422511115670204,1.0,1.0,10
core_interaction_c05,0.5,ss_kan_variable,1024,50,10,0.0005257632248685,1.0,1.0,1.0,0.3936958568170666,1.0,1.0,10
core_interaction_c05,0.5,ss_kan_variable,512,100,4,0.0002996780720422,1.0,1.0,1.0,0.4049734091386199,1.0,1.0,10
core_interaction_c05,0.5,ss_kan_variable,512,100,5,0.0004261989764927,1.0,1.0,0.8,0.315868803486228,1.0,1.0,10
core_interaction_c05,0.5,ss_kan_variable,512,100,6,0.0002934201605967,1.0,1.0,0.9,0.3398047976195812,1.0,1.0,10
core_interaction_c05,0.5,ss_kan_variable,512,100,8,0.0002833775899489,1.0,1.0,1.0,0.3619227990508079,1.0,1.0,10
core_interaction_c05,0.5,ss_kan_variable,512,100,10,0.0003190517993061,1.0,1.0,1.0,0.3202352903783321,1.0,1.0,10
core_interaction_c05,0.5,ss_kan_variable,1024,100,4,0.000266581372125,1.0,1.0,1.0,0.3583423368632793,1.0,1.0,10
core_interaction_c05,0.5,ss_kan_variable,1024,100,5,0.0005074292712379,1.0,1.0,1.0,0.357002267614007,1.0,1.0,10
core_interaction_c05,0.5,ss_kan_variable,1024,100,6,0.000292977427307,1.0,1.0,0.8,0.2680444112978876,1.0,1.0,10
core_interaction_c05,0.5,ss_kan_variable,1024,100,8,0.0002690992478164,1.0,1.0,0.9,0.3785656997002661,1.0,1.0,10
core_interaction_c05,0.5,ss_kan_variable,1024,100,10,0.0003091518679866,1.0,1.0,0.9,0.339584818854928,1.0,1.0,10
core_interaction_c1,1.0,ss_kan_pair,512,50,4,0.0006284819421125,1.0,1.0,1.0,0.7757651098072529,1.0,1.0,10
core_interaction_c1,1.0,ss_kan_pair,512,50,5,0.0004567703406792,1.0,1.0,1.0,0.881832205504179,1.0,1.0,10
core_interaction_c1,1.0,ss_kan_pair,512,50,6,0.0002978890857775,1.0,1.0,1.0,0.8641661200672388,1.0,1.0,10
core_interaction_c1,1.0,ss_kan_pair,512,50,8,0.0003575805953005,1.0,1.0,1.0,0.9648577397223562,1.0,1.0,10
core_interaction_c1,1.0,ss_kan_pair,512,50,10,0.0005911777392611,1.0,1.0,1.0,0.8803045831620693,1.0,1.0,10
core_interaction_c1,1.0,ss_kan_pair,1024,50,4,0.0005782670370535,1.0,1.0,1.0,0.8271734993904829,1.0,1.0,10
core_interaction_c1,1.0,ss_kan_pair,1024,50,5,0.0002840015440597,1.0,1.0,1.0,0.9007687360979616,1.0,1.0,10
core_interaction_c1,1.0,ss_kan_pair,1024,50,6,0.0002470635925419,1.0,1.0,1.0,0.8917923836037517,1.0,1.0,10
core_interaction_c1,1.0,ss_kan_pair,1024,50,8,0.000313828990329,1.0,1.0,1.0,0.8967854090034961,1.0,1.0,10
core_interaction_c1,1.0,ss_kan_pair,1024,50,10,0.0003128326672594,1.0,1.0,1.0,0.9136240422725678,1.0,1.0,10
core_interaction_c1,1.0,ss_kan_pair,512,100,4,0.3326757678529247,0.775,0.55,0.1,-32.72123361229897,0.1,0.1,10
core_interaction_c1,1.0,ss_kan_pair,512,100,5,0.0310933028464205,0.975,0.95,0.9,-1.6684008311480285,0.9,0.9,10
core_interaction_c1,1.0,ss_kan_pair,512,100,6,0.0003173362798406,1.0,1.0,1.0,0.9400855470448732,1.0,1.0,10
core_interaction_c1,1.0,ss_kan_pair,512,100,8,0.0002917987207183,1.0,1.0,1.0,0.9177860401570797,1.0,1.0,10
core_interaction_c1,1.0,ss_kan_pair,512,100,10,0.0003067534300498,1.0,1.0,1.0,0.9371372669935226,1.0,1.0,10
core_interaction_c1,1.0,ss_kan_pair,1024,100,4,0.0003434473270317,1.0,1.0,1.0,0.8950939372181892,1.0,1.0,10
core_interaction_c1,1.0,ss_kan_pair,1024,100,5,0.0002986865831189,1.0,1.0,1.0,0.8690433530136943,1.0,1.0,10
core_interaction_c1,1.0,ss_kan_pair,1024,100,6,0.0002492272193194,1.0,1.0,1.0,0.9060634396970272,1.0,1.0,10
core_interaction_c1,1.0,ss_kan_pair,1024,100,8,0.0002812413018546,1.0,1.0,1.0,0.7830879919230938,1.0,1.0,10
core_interaction_c1,1.0,ss_kan_pair,1024,100,10,0.0002643865867867,1.0,1.0,1.0,0.8962722800672054,1.0,1.0,10
core_interaction_c1,1.0,ss_kan_variable,512,50,4,0.0006389058005879,1.0,1.0,1.0,0.7725288674235344,1.0,1.0,10
core_interaction_c1,1.0,ss_kan_variable,512,50,5,0.0004626392255886,1.0,1.0,1.0,0.8856177300214767,1.0,1.0,10
