function,interaction_strength,screen_mode,dimension,samples,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,effective_dim_mean,screen_contains_all_true_vars_mean,screen_true_var_recall_mean,screen_contains_all_interaction_endpoints_mean,screen_interaction_endpoint_recall_mean,screen_contains_true_interactions_mean,explain_contains_all_interaction_endpoints_mean,explain_interaction_endpoint_recall_mean,selected_interaction_endpoint_recall_mean,selected_interaction_contains_all_endpoints_mean,variable_f1_mean,variable_f1_std,variable_auroc_mean,variable_auroc_std,variable_auprc_mean,variable_auprc_std,interaction_f1_mean,interaction_f1_std,true_interaction_score_mean_mean,true_interaction_score_mean_std,max_nontrue_interaction_score_mean,max_nontrue_interaction_score_std,true_interaction_mean_score_margin_mean,true_interaction_mean_score_margin_std,true_interaction_beats_all_false_mean,num_runs
core_interaction_c025,0.25,rf,100,256,0.007194460649043261,0.0017264668324222722,0.0190626554191112,0.004008648622012406,4.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.7447916666666666,0.0,0.52,0.0,0.0,0.0,0.0,0.0,2.0244449377059937,0.6589076977147149,-2.0244449377059937,0.6589076977147149,0.0,5
core_interaction_c025,0.25,ss_kan_variable,100,256,0.007160927820950747,0.0014265546153525357,0.020131354220211506,0.005158487846670633,4.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.7447916666666666,0.0,0.52,0.0,0.0,0.0,0.0,0.0,2.7545802354812623,0.8146856677718572,-2.7545802354812623,0.8146856677718572,0.0,5
core_interaction_c05,0.5,exclude_interaction,100,256,0.00764359196182336,0.014152320763337639,3.0033968329429626,1.3333075093222093,4.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.11180339887498948,0.5059895833333333,0.05997786502147873,0.088,0.10733126291998991,0.0,0.0,0.0,0.0,75.76902542114257,26.792728626535595,-75.76902542114257,26.792728626535595,0.0,5
core_interaction_c05,0.5,oracle_support,100,256,0.00021931746450712,5.705911492837971e-05,0.00039177611761256,0.00018159142908891272,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.6,1.0,0.0,1.0,0.0,1.0,0.0,0.6,0.5477225575051662,0.5897476196289062,0.01240906581562782,0.49536098837852477,0.3550258066980479,0.09438663125038148,0.3494080866862866,0.6,5
core_interaction_c05,0.5,random,100,256,0.00741835641674696,0.004549371875519064,3.3993616580963133,1.5921070733167684,4.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.11180339887498948,0.5059895833333333,0.05997786502147873,0.088,0.10733126291998991,0.0,0.0,0.0,0.0,107.27833786010743,39.78413256986704,-107.27833786010743,39.78413256986704,0.0,5
core_interaction_c05,0.5,raw,100,256,8.613297395637564e-05,4.961747427021358e-05,0.1829196900129318,0.07160985283538761,100.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.7328125,0.08040509550818631,0.5607850879238387,0.03995273618119193,0.0,0.0,0.00898234434425824,0.007332672492657008,1.867638921737671,0.5344911726781936,-1.8586565773934125,0.5294844329761564,0.0,5
core_interaction_c05,0.5,rf,100,256,0.00665801363065834,0.004220735884482123,0.15337337851524352,0.047463775099422935,4.0,0.0,0.55,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.55,0.1118033988749895,0.7700520833333333,0.05795075435708806,0.5513333333333333,0.12210196103621304,0.0,0.0,0.0,0.0,13.742723083496093,3.480046080668893,-13.742723083496093,3.480046080668893,0.0,5
core_interaction_c05,0.5,ss_kan_variable,100,256,0.008383531449362635,0.00497440893187609,0.1497341975569725,0.03777794624046598,4.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.7447916666666666,0.0,0.52,0.0,0.0,0.0,0.0,0.0,10.831096363067626,3.8799534797018547,-10.831096363067626,3.8799534797018547,0.0,5
core_interaction_c1,1.0,exclude_interaction,100,256,0.0020767799811437,0.0019273736226268052,3.322309470176697,1.2837690896465919,4.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.11180339887498948,0.5059895833333333,0.05997786502147873,0.088,0.10733126291998991,0.0,0.0,0.0,0.0,74.27300262451172,29.988014385816054,-74.27300262451172,29.988014385816054,0.0,5
core_interaction_c1,1.0,oracle_support,100,256,0.00040700871613802,0.00022648925217237897,0.00082512781955296,0.00037549180639877527,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.1182726621627808,0.041260028646843507,0.3691566035151481,0.25323997908658513,0.7491160586476326,0.2554515210477603,1.0,5
core_interaction_c1,1.0,random,100,256,0.00298703545704476,0.0017329200424489356,3.712319016456604,1.4384229789783518,4.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.11180339887498948,0.5059895833333333,0.05997786502147873,0.088,0.10733126291998991,0.0,0.0,0.0,0.0,88.3716827392578,20.951461970371223,-88.3716827392578,20.951461970371223,0.0,5
core_interaction_c1,1.0,raw,100,256,3.700005363498349e-05,1.0005509940733318e-05,0.5852651715278625,0.27496371907835504,100.0,1.0,1.0,1.0,1.0,1.0,0.0,0.1,0.0,0.0,0.55,0.11180339887498947,0.7770833333333333,0.09977051576479014,0.5987470248803057,0.09911732485282906,0.0,0.0,0.01855439003556962,0.019379348342327195,1.4141021847724913,0.5767542620892859,-1.3955477947369217,0.5605821904753762,0.0,5
core_interaction_c1,1.0,rf,100,256,0.005306950805243039,0.005164707000128007,0.7126063227653503,0.12680807530066288,4.0,0.0,0.7,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.7,0.11180339887498948,0.846875,0.05853295457119297,0.6828333333333333,0.1402473014198689,0.0,0.0,0.0,0.0,37.649079132080075,13.760162730794264,-37.649079132080075,13.760162730794264,0.0,5
core_interaction_c1,1.0,ss_kan_variable,100,256,0.0019590262556448577,0.0010916308403969416,0.7200397610664367,0.14163664691100983,4.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.7447916666666666,0.0,0.52,0.0,0.0,0.0,0.0,0.0,34.467416000366214,16.548404230917342,-34.467416000366214,16.548404230917342,0.0,5
