row_type,model,function,seed,samples,test_samples,dimension,noise,kan_width,kan_grid,kan_k,kan_steps,kan_lamb,target,variable,hidden,pair,baseline_mse,ablated_mse,delta_mse,synergy,is_true_active,is_true_interaction,formula,true_variables,true_interactions
shared_hidden_pair_edges,KAN,correlated_proxy,0,512,2048,100,0.05,8,5,3,50,0.0,"x1,x5->h6",,6,"(1, 5)",2.1118412017822266,2.075652599334717,-0.036188602447509766,0.0015435218811035156,,0,sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,"[0, 1, 2, 3]","[(2, 3)]"
shared_hidden_pair_edges,KAN,correlated_proxy,0,512,2048,100,0.05,8,5,3,50,0.0,"x1,x5->h7",,7,"(1, 5)",2.1118412017822266,2.1113879680633545,-0.0004532337188720703,0.00015878677368164062,,0,sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,"[0, 1, 2, 3]","[(2, 3)]"
feature_pair_path,KAN,correlated_proxy,0,512,2048,100,0.05,8,5,3,50,0.0,"x0,x1",,,"(0, 1)",2.1118412017822266,2.1750574111938477,0.0632162094116211,-0.0011191368103027344,,0,sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,"[0, 1, 2, 3]","[(2, 3)]"
shared_hidden_pair_edges,KAN,correlated_proxy,0,512,2048,100,0.05,8,5,3,50,0.0,"x0,x1->h0",,0,"(0, 1)",2.1118412017822266,2.214585304260254,0.10274410247802734,-0.00022602081298828125,,0,sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,"[0, 1, 2, 3]","[(2, 3)]"
shared_hidden_pair_edges,KAN,correlated_proxy,0,512,2048,100,0.05,8,5,3,50,0.0,"x0,x1->h1",,1,"(0, 1)",2.1118412017822266,2.1242971420288086,0.012455940246582031,-0.0016684532165527344,,0,sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,"[0, 1, 2, 3]","[(2, 3)]"
shared_hidden_pair_edges,KAN,correlated_proxy,0,512,2048,100,0.05,8,5,3,50,0.0,"x0,x1->h2",,2,"(0, 1)",2.1118412017822266,2.1163806915283203,0.00453948974609375,-0.00028896331787109375,,0,sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,"[0, 1, 2, 3]","[(2, 3)]"
shared_hidden_pair_edges,KAN,correlated_proxy,0,512,2048,100,0.05,8,5,3,50,0.0,"x0,x1->h3",,3,"(0, 1)",2.1118412017822266,2.1110711097717285,-0.0007700920104980469,-0.003883838653564453,,0,sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,"[0, 1, 2, 3]","[(2, 3)]"
shared_hidden_pair_edges,KAN,correlated_proxy,0,512,2048,100,0.05,8,5,3,50,0.0,"x0,x1->h4",,4,"(0, 1)",2.1118412017822266,2.1378509998321533,0.026009798049926758,-0.0030777454376220703,,0,sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,"[0, 1, 2, 3]","[(2, 3)]"
shared_hidden_pair_edges,KAN,correlated_proxy,0,512,2048,100,0.05,8,5,3,50,0.0,"x0,x1->h5",,5,"(0, 1)",2.1118412017822266,2.144538640975952,0.032697439193725586,0.004802227020263672,,0,sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,"[0, 1, 2, 3]","[(2, 3)]"
shared_hidden_pair_edges,KAN,correlated_proxy,0,512,2048,100,0.05,8,5,3,50,0.0,"x0,x1->h6",,6,"(0, 1)",2.1118412017822266,2.088390827178955,-0.023450374603271484,-0.00138092041015625,,0,sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,"[0, 1, 2, 3]","[(2, 3)]"
shared_hidden_pair_edges,KAN,correlated_proxy,0,512,2048,100,0.05,8,5,3,50,0.0,"x0,x1->h7",,7,"(0, 1)",2.1118412017822266,2.107358932495117,-0.004482269287109375,0.0005102157592773438,,0,sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,"[0, 1, 2, 3]","[(2, 3)]"
feature_path,KAN,correlated_proxy,1,512,2048,100,0.05,8,5,3,50,0.0,x0,0,,,1.7966303825378418,1.9101980924606323,0.11356770992279053,,1,,sin(2*pi*x0) + x1^2 + x2*x3 with x4~x0 and x5~x1 proxies,"[0, 1, 2, 3]","[(2, 3)]"
