function,dimension,noise,row_type,target,variable,hidden,pair,is_true_active,is_true_interaction,baseline_mse_mean,baseline_mse_std,baseline_mse_min,baseline_mse_max,ablated_mse_mean,ablated_mse_std,ablated_mse_min,ablated_mse_max,delta_mse_mean,delta_mse_std,delta_mse_min,delta_mse_max,synergy_mean,synergy_std,synergy_min,synergy_max
correlated_proxy,100,0.05,shared_hidden_pair_edges,"x2,x3->h7",,7,"(2, 3)",,1,1.9290091594060261,0.16355003559307413,1.7966303825378418,2.1118412017822266,1.9072644710540771,0.18800392621998818,1.779470443725586,2.123138427734375,-0.021744688351949055,0.035556672097052794,-0.059371352195739746,0.011297225952148438,-0.0014393329620361328,0.0038131339606349234,-0.00572049617767334,0.0015921592712402344
correlated_proxy,100,0.05,single_edge,x0->h0,0,0,,1,,1.9290091594060261,0.16355003559307413,1.7966303825378418,2.1118412017822266,1.9605974356333415,0.22210710925257518,1.79036283493042,2.2118372917175293,0.03158827622731527,0.05935535552807582,-0.006267547607421875,0.09999608993530273,,,,
correlated_proxy,100,0.05,single_edge,x0->h1,0,1,,1,,1.9290091594060261,0.16355003559307413,1.7966303825378418,2.1118412017822266,1.9626328547795613,0.13901049676565327,1.8802735805511475,2.1231298446655273,0.033623695373535156,0.04721726741067931,0.001717686653137207,0.08786475658416748,,,,
correlated_proxy,100,0.05,single_edge,x0->h2,0,2,,1,,1.9290091594060261,0.16355003559307413,1.7966303825378418,2.1118412017822266,1.9327009916305542,0.1640285392718415,1.7995785474777222,2.1159420013427734,0.0036918322245279946,0.0006451043976743738,0.002948164939880371,0.004100799560546875,,,,
correlated_proxy,100,0.05,single_edge,x0->h3,0,3,,1,,1.9290091594060261,0.16355003559307413,1.7966303825378418,2.1118412017822266,1.9298263390858967,0.1625652522773413,1.798699140548706,2.111715793609619,0.0008171796798706055,0.0011292464952492238,-0.00012540817260742188,0.002068758010864258,,,,
correlated_proxy,100,0.05,single_edge,x0->h4,0,4,,1,,1.9290091594060261,0.16355003559307413,1.7966303825378418,2.1118412017822266,1.9370051225026448,0.17320816695849778,1.8034398555755615,2.132711410522461,0.007995963096618652,0.012323911517048942,-0.0036917924880981445,0.020870208740234375,,,,
correlated_proxy,100,0.05,single_edge,x0->h5,0,5,,1,,1.9290091594060261,0.16355003559307413,1.7966303825378418,2.1118412017822266,1.9353874524434407,0.18451727635669102,1.7816689014434814,2.140014410018921,0.006378293037414551,0.02157094622322229,-0.014961481094360352,0.028173208236694336,,,,
correlated_proxy,100,0.05,single_edge,x0->h6,0,6,,1,,1.9290091594060261,0.16355003559307413,1.7966303825378418,2.1118412017822266,1.958013375600179,0.14678302348961375,1.8196046352386475,2.111937999725342,0.029004216194152832,0.032346714924582305,9.679794311523438e-05,0.0639415979385376,,,,
correlated_proxy,100,0.05,single_edge,x0->h7,0,7,,1,,1.9290091594060261,0.16355003559307413,1.7966303825378418,2.1118412017822266,1.939902941385905,0.14519286125013386,1.8376717567443848,2.1060948371887207,0.010893781979878744,0.026155524111793775,-0.005746364593505859,0.04104137420654297,,,,
correlated_proxy,100,0.05,single_edge,x1->h0,1,0,,1,,1.9290091594060261,0.16355003559307413,1.7966303825378418,2.1118412017822266,1.9288151264190674,0.1668027024114691,1.7925009727478027,2.1148152351379395,-0.00019403298695882162,0.0036133502650894313,-0.0041294097900390625,0.0029740333557128906,,,,
correlated_proxy,100,0.05,single_edge,x1->h1,1,1,,1,,1.9290091594060261,0.16355003559307413,1.7966303825378418,2.1118412017822266,1.9287775754928589,0.16651497781000338,1.7933037281036377,2.1146769523620605,-0.00023158391316731772,0.003081296132262984,-0.0033266544342041016,0.0028357505798339844,,,,
correlated_proxy,100,0.05,single_edge,x1->h2,1,2,,1,,1.9290091594060261,0.16355003559307413,1.7966303825378418,2.1118412017822266,1.9296268224716187,0.16355857790610545,1.797528624534607,2.1125688552856445,0.0006176630655924479,0.0003488315245435236,0.00022709369659423828,0.0008982419967651367,,,,
correlated_proxy,100,0.05,single_edge,x1->h3,1,3,,1,,1.9290091594060261,0.16355003559307413,1.7966303825378418,2.1118412017822266,1.9234285354614258,0.1740242792929686,1.77528977394104,2.1150803565979004,-0.005580623944600423,0.013680863851382811,-0.021340608596801758,0.003239154815673828,,,,
correlated_proxy,100,0.05,single_edge,x1->h4,1,4,,1,,1.9290091594060261,0.16355003559307413,1.7966303825378418,2.1118412017822266,1.9321743249893188,0.16803944514346988,1.7962572574615479,2.120058536529541,0.003165165583292643,0.004490865294116578,-0.0003731250762939453,0.008217334747314453,,,,
correlated_proxy,100,0.05,single_edge,x1->h5,1,5,,1,,1.9290091594060261,0.16355003559307413,1.7966303825378418,2.1118412017822266,1.926632285118103,0.1663143377199844,1.7893240451812744,2.111563205718994,-0.0023768742879231772,0.004284688232883878,-0.007306337356567383,0.00045371055603027344,,,,
correlated_proxy,100,0.05,single_edge,x1->h6,1,6,,1,,1.9290091594060261,0.16355003559307413,1.7966303825378418,2.1118412017822266,1.9238288799921672,0.1483166852360114,1.8039038181304932,2.089674949645996,-0.00518027941385905,0.015234166317713455,-0.02216625213623047,0.007273435592651367,,,,
correlated_proxy,100,0.05,single_edge,x1->h7,1,7,,1,,1.9290091594060261,0.16355003559307413,1.7966303825378418,2.1118412017822266,1.923196832338969,0.16825151363277766,1.7910170555114746,2.1125950813293457,-0.005812327067057292,0.006667934140320354,-0.012577533721923828,0.0007538795471191406,,,,
correlated_proxy,100,0.05,single_edge,x2->h0,2,0,,1,,1.9290091594060261,0.16355003559307413,1.7966303825378418,2.1118412017822266,1.9275555610656738,0.16458786253509974,1.7959890365600586,2.1121110916137695,-0.0014535983403523762,0.002242782360962468,-0.0039893388748168945,0.00026988983154296875,,,,
correlated_proxy,100,0.05,single_edge,x2->h1,2,1,,1,,1.9290091594060261,0.16355003559307413,1.7966303825378418,2.1118412017822266,1.928835153579712,0.16440307184594516,1.7954587936401367,2.1125123500823975,-0.00017400582631429037,0.0009307771121717203,-0.0011715888977050781,0.0006711483001708984,,,,
correlated_proxy,100,0.05,single_edge,x2->h2,2,2,,1,,1.9290091594060261,0.16355003559307413,1.7966303825378418,2.1118412017822266,1.9296701749165852,0.16208266823775672,1.8009653091430664,2.111696243286133,0.000661015510559082,0.0033445687294257546,-0.0022069215774536133,0.004334926605224609,,,,
correlated_proxy,100,0.05,single_edge,x2->h3,2,3,,1,,1.9290091594060261,0.16355003559307413,1.7966303825378418,2.1118412017822266,1.9314432938893635,0.159810755941853,1.796682357788086,2.1079983711242676,0.0024341344833374023,0.007747754801489602,-0.0038428306579589844,0.01109325885772705,,,,
correlated_proxy,100,0.05,single_edge,x2->h4,2,4,,1,,1.9290091594060261,0.16355003559307413,1.7966303825378418,2.1118412017822266,1.928998311360677,0.16350412006325632,1.7968541383743286,2.1118481159210205,-1.0848045349121094e-05,0.00024397039555624538,-0.000263214111328125,0.0002237558364868164,,,,
correlated_proxy,100,0.05,single_edge,x2->h5,2,5,,1,,1.9290091594060261,0.16355003559307413,1.7966303825378418,2.1118412017822266,1.9293276468912761,0.16334160072202852,1.7971192598342896,2.1119272708892822,0.0003184874852498372,0.00020844487689324545,8.606910705566406e-05,0.0004888772964477539,,,,
