row_type,model,function,seed,samples,test_samples,dimension,noise,kan_width,kan_grid,kan_k,kan_steps,kan_lamb,target,variable,hidden,pair,baseline_mse,ablated_mse,delta_mse,synergy,is_true_active,is_true_interaction,formula,true_variables,true_interactions
single_edge,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,x1->h7,1,7,,3.930838647647761e-05,0.06564605981111526,0.06560675142463879,,1,,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
single_edge,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,x2->h0,2,0,,3.930838647647761e-05,3.9405298593919724e-05,9.691211744211614e-08,,1,,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
single_edge,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,x2->h1,2,1,,3.930838647647761e-05,4.467438338906504e-05,5.365996912587434e-06,,1,,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
single_edge,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,x2->h2,2,2,,3.930838647647761e-05,4.300613727536984e-05,3.69775079889223e-06,,1,,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
single_edge,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,x2->h3,2,3,,3.930838647647761e-05,0.06526458263397217,0.06522527424749569,,1,,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
single_edge,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,x2->h4,2,4,,3.930838647647761e-05,0.38329094648361206,0.3832516380971356,,1,,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
single_edge,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,x2->h5,2,5,,3.930838647647761e-05,3.970993930124678e-05,4.015528247691691e-07,,1,,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
single_edge,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,x2->h6,2,6,,3.930838647647761e-05,4.2931598727591336e-05,3.6232122511137277e-06,,1,,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
single_edge,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,x2->h7,2,7,,3.930838647647761e-05,0.05312731862068176,0.053088010234205285,,1,,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
single_edge,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,x3->h0,3,0,,3.930838647647761e-05,3.9321748772636056e-05,1.3362296158447862e-08,,1,,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
single_edge,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,x3->h1,3,1,,3.930838647647761e-05,4.839320172322914e-05,9.084815246751532e-06,,1,,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
single_edge,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,x3->h2,3,2,,3.930838647647761e-05,4.468305633054115e-05,5.374669854063541e-06,,1,,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
single_edge,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,x3->h3,3,3,,3.930838647647761e-05,0.07849769294261932,0.07845838455614285,,1,,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
single_edge,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,x3->h4,3,4,,3.930838647647761e-05,0.36751478910446167,0.3674754807179852,,1,,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
single_edge,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,x3->h5,3,5,,3.930838647647761e-05,3.985431249020621e-05,5.459260137286037e-07,,1,,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
single_edge,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,x3->h6,3,6,,3.930838647647761e-05,4.393177368910983e-05,4.623387212632224e-06,,1,,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
single_edge,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,x3->h7,3,7,,3.930838647647761e-05,0.06786011159420013,0.06782080320772366,,1,,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
single_edge,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,x4->h0,4,0,,3.930838647647761e-05,3.932369872927666e-05,1.531225279904902e-08,,0,,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
single_edge,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,x4->h1,4,1,,3.930838647647761e-05,4.008326504845172e-05,7.748785719741136e-07,,0,,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
single_edge,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,x4->h2,4,2,,3.930838647647761e-05,3.937523433705792e-05,6.684786058031023e-08,,0,,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
single_edge,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,x4->h3,4,3,,3.930838647647761e-05,6.030189251760021e-05,2.09935060411226e-05,,0,,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
single_edge,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,x4->h4,4,4,,3.930838647647761e-05,4.113489922019653e-05,1.8265127437189221e-06,,0,,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
single_edge,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,x4->h5,4,5,,3.930838647647761e-05,3.935002678190358e-05,4.1640305425971746e-08,,0,,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
single_edge,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,x4->h6,4,6,,3.930838647647761e-05,4.4783559133065864e-05,5.475172656588256e-06,,0,,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
single_edge,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,x4->h7,4,7,,3.930838647647761e-05,5.1835249905707315e-05,1.2526863429229707e-05,,0,,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
single_edge,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,x5->h0,5,0,,3.930838647647761e-05,3.931188985006884e-05,3.5033735912293196e-09,,0,,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
single_edge,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,x5->h1,5,1,,3.930838647647761e-05,3.961425682064146e-05,3.0587034416384995e-07,,0,,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
single_edge,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,x5->h2,5,2,,3.930838647647761e-05,3.927249417756684e-05,-3.589229891076684e-08,,0,,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
single_edge,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,x5->h3,5,3,,3.930838647647761e-05,6.04897977609653e-05,2.1181411284487695e-05,,0,,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
single_edge,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,x5->h4,5,4,,3.930838647647761e-05,4.355038981884718e-05,4.242003342369571e-06,,0,,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
single_edge,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,x5->h5,5,5,,3.930838647647761e-05,3.9318561903201044e-05,1.0175426723435521e-08,,0,,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
single_edge,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,x5->h6,5,6,,3.930838647647761e-05,4.0726110455580056e-05,1.4177239791024476e-06,,0,,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
single_edge,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,x5->h7,5,7,,3.930838647647761e-05,6.535989814437926e-05,2.605151166790165e-05,,0,,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
feature_pair_path,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,"x2,x3",,,"(2, 3)",3.930838647647761e-05,0.24645963311195374,0.24642032472547726,-0.6420017191594525,,1,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
shared_hidden_pair_edges,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,"x2,x3->h0",,0,"(2, 3)",3.930838647647761e-05,3.942128023481928e-05,1.1289375834167004e-07,2.6193447411060333e-09,,1,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
shared_hidden_pair_edges,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,"x2,x3->h1",,1,"(2, 3)",3.930838647647761e-05,5.093255458632484e-05,1.1624168109847233e-05,-2.8266440494917333e-06,,1,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
shared_hidden_pair_edges,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,"x2,x3->h2",,2,"(2, 3)",3.930838647647761e-05,4.7541409003315493e-05,8.233022526837885e-06,-8.393981261178851e-07,,1,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
shared_hidden_pair_edges,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,"x2,x3->h3",,3,"(2, 3)",3.930838647647761e-05,0.26034054160118103,0.26030123321470455,0.11661757441106602,,1,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
shared_hidden_pair_edges,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,"x2,x3->h4",,4,"(2, 3)",3.930838647647761e-05,0.6618204712867737,0.6617811629002972,-0.08894595591482357,,1,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
shared_hidden_pair_edges,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,"x2,x3->h5",,5,"(2, 3)",3.930838647647761e-05,4.025062662549317e-05,9.422401490155607e-07,-5.238689482212067e-09,,1,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
shared_hidden_pair_edges,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,"x2,x3->h6",,6,"(2, 3)",3.930838647647761e-05,5.325651727616787e-05,1.3948130799690261e-05,5.70153133594431e-06,,1,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
shared_hidden_pair_edges,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,"x2,x3->h7",,7,"(2, 3)",3.930838647647761e-05,0.21811939775943756,0.21808008937296108,0.09717127593103214,,1,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
feature_pair_path,KAN,core_interaction,0,1024,2048,20,0.0,8,5,3,50,0.0,"x0,x1",,,"(0, 1)",3.930838647647761e-05,1.8351459503173828,1.8351066419309063,-0.3620699652856274,,0,sin(2*pi*x0) + x1^2 + x2*x3,"[0, 1, 2, 3]","[(2, 3)]"
