function,dimension,noise,row_type,target,variable,hidden,pair,is_true_active,is_true_interaction,baseline_mse_mean,baseline_mse_std,baseline_mse_min,baseline_mse_max,ablated_mse_mean,ablated_mse_std,ablated_mse_min,ablated_mse_max,delta_mse_mean,delta_mse_std,delta_mse_min,delta_mse_max,synergy_mean,synergy_std,synergy_min,synergy_max
core_interaction,20,0.0,shared_hidden_pair_edges,"x2,x3->h3",,3,"(2, 3)",,1,3.479417743316541e-05,1.3587816826976406e-05,1.9523802620824426e-05,4.55503432021942e-05,0.1996917246075706,0.17730593157199717,1.949617035279516e-05,0.338715136051178,0.19965693043013744,0.17729234429376034,-2.7632268029265106e-08,0.3386695857079758,0.08807088956321725,0.07782842260763644,-3.319655661471188e-09,0.1475950975982414
core_interaction,20,0.0,shared_hidden_pair_edges,"x2,x3->h4",,4,"(2, 3)",,1,3.479417743316541e-05,1.3587816826976406e-05,1.9523802620824426e-05,4.55503432021942e-05,0.3307086320522406,0.33090033704675226,2.020353167608846e-05,0.6618204712867737,0.3306738378748075,0.3308904552147889,6.797290552640334e-07,0.6617811629002972,-0.06249592948248998,0.054335429814776584,-0.09854196262676851,1.3009412214159966e-07
core_interaction,20,0.0,shared_hidden_pair_edges,"x2,x3->h5",,5,"(2, 3)",,1,3.479417743316541e-05,1.3587816826976406e-05,1.9523802620824426e-05,4.55503432021942e-05,4.059056179054702e-05,1.9532445955153382e-05,2.12303020816762e-05,6.02907566644717e-05,5.796384357381612e-06,7.755176693399749e-06,9.422401490155607e-07,1.4740413462277502e-05,1.5432827543312062e-06,2.396153371961013e-06,-5.238689482212067e-09,4.303270543459803e-06
core_interaction,20,0.0,shared_hidden_pair_edges,"x2,x3->h6",,6,"(2, 3)",,1,3.479417743316541e-05,1.3587816826976406e-05,1.9523802620824426e-05,4.55503432021942e-05,5.253924973658286e-05,5.929671081393422e-06,4.628357055480592e-05,5.807766137877479e-05,1.7745072303417448e-05,1.919407756475071e-05,7.332273526117206e-07,3.8553858757950366e-05,4.588564479490742e-07,5.002919856657905e-06,-4.263665687176399e-06,5.70153133594431e-06
core_interaction,20,0.0,shared_hidden_pair_edges,"x2,x3->h7",,7,"(2, 3)",,1,3.479417743316541e-05,1.3587816826976406e-05,1.9523802620824426e-05,4.55503432021942e-05,0.18980914121493697,0.17439259022635556,0.0029934425838291645,0.3483145833015442,0.18977434703750382,0.1744049247303625,0.0029478922406269703,0.34829505949892337,-0.0204010518452075,0.12902373283252197,-0.15843167572893435,0.09717127593103214
core_interaction,20,0.0,single_edge,x0->h0,0,0,,1,,3.479417743316541e-05,1.3587816826976406e-05,1.9523802620824426e-05,4.55503432021942e-05,0.009351496463447498,0.016121195040754845,3.944889976992272e-05,0.02796664834022522,0.009316702286014333,0.016134419009640653,1.4051329344511032e-07,0.027947124537604395,,,,
core_interaction,20,0.0,single_edge,x0->h1,0,1,,1,,3.479417743316541e-05,1.3587816826976406e-05,1.9523802620824426e-05,4.55503432021942e-05,0.004305958840025899,0.00739225554052465,1.9433460693107918e-05,0.012841773219406605,0.004271164662592734,0.007382922138312977,-9.034192771650851e-08,0.01279622287620441,,,,
core_interaction,20,0.0,single_edge,x0->h2,0,2,,1,,3.479417743316541e-05,1.3587816826976406e-05,1.9523802620824426e-05,4.55503432021942e-05,0.48192420180809376,0.8346416692670051,4.048633127240464e-05,1.4456853866577148,0.48188940763066057,0.8346548937936749,1.1779447959270328e-06,1.445665862855094,,,,
core_interaction,20,0.0,single_edge,x0->h3,0,3,,1,,3.479417743316541e-05,1.3587816826976406e-05,1.9523802620824426e-05,4.55503432021942e-05,0.40735260202321416,0.4530052764744561,1.9537026673788205e-05,0.8952261209487915,0.40731780784578103,0.4529969365383983,1.3224052963778377e-08,0.895186812562315,,,,
core_interaction,20,0.0,single_edge,x0->h4,0,4,,1,,3.479417743316541e-05,1.3587816826976406e-05,1.9523802620824426e-05,4.55503432021942e-05,3.735157103316548e-05,1.581873983179374e-05,2.0071489416295663e-05,5.1118171541020274e-05,2.5573936000000685e-06,2.655475019218086e-06,5.476867954712361e-07,5.567828338826075e-06,,,,
core_interaction,20,0.0,single_edge,x0->h5,0,5,,1,,3.479417743316541e-05,1.3587816826976406e-05,1.9523802620824426e-05,4.55503432021942e-05,0.3581739344820865,0.38223510468627553,4.025656744488515e-05,0.760643720626831,0.3581391403046534,0.3822306712820377,9.481809684075415e-07,0.7605981702836289,,,,
core_interaction,20,0.0,single_edge,x0->h6,0,6,,1,,3.479417743316541e-05,1.3587816826976406e-05,1.9523802620824426e-05,4.55503432021942e-05,0.0416853974602418,0.07211930022825355,4.656561941374093e-05,0.12496159225702286,0.04165060328280864,0.07211539185014026,2.4841610866133124e-06,0.12492228387054638,,,,
core_interaction,20,0.0,single_edge,x0->h7,0,7,,1,,3.479417743316541e-05,1.3587816826976406e-05,1.9523802620824426e-05,4.55503432021942e-05,0.06729298442830138,0.11644287330245559,1.9533534214133397e-05,0.20174962282180786,0.06725819025086821,0.11643895956628557,9.731593308970332e-09,0.20171031443533138,,,,
core_interaction,20,0.0,single_edge,x1->h0,1,0,,1,,3.479417743316541e-05,1.3587816826976406e-05,1.9523802620824426e-05,4.55503432021942e-05,0.12792951257506502,0.22150679659815986,3.929281228920445e-05,0.3837035298347473,0.12789471839763186,0.22152002110741548,-1.5574187273159623e-08,0.3836840060321265,,,,
core_interaction,20,0.0,single_edge,x1->h1,1,1,,1,,3.479417743316541e-05,1.3587816826976406e-05,1.9523802620824426e-05,4.55503432021942e-05,0.06999169217548722,0.12117845343675698,1.9449591491138563e-05,0.20991651713848114,0.06995689799805405,0.12116913792525638,-1.9858998712152243e-07,0.20987096679527895,,,,
core_interaction,20,0.0,single_edge,x1->h2,1,2,,1,,3.479417743316541e-05,1.3587816826976406e-05,1.9523802620824426e-05,4.55503432021942e-05,0.00011701385301421396,0.00012846187609374425,4.0069400711217895e-05,0.00026531374896876514,8.221967558104855e-05,0.00014165638599922964,1.0806616046465933e-07,0.0002457899463479407,,,,
core_interaction,20,0.0,single_edge,x1->h3,1,3,,1,,3.479417743316541e-05,1.3587816826976406e-05,1.9523802620824426e-05,4.55503432021942e-05,0.010323698552383576,0.009105994512897307,2.060806582449004e-05,0.017292901873588562,0.01028890437495041,0.00909366088880401,1.0842632036656141e-06,0.017253593487112084,,,,
core_interaction,20,0.0,single_edge,x1->h4,1,4,,1,,3.479417743316541e-05,1.3587816826976406e-05,1.9523802620824426e-05,4.55503432021942e-05,3.760059735213872e-05,1.720922582143801e-05,1.9485067241475917e-05,5.373141902964562e-05,2.8064199189733094e-06,4.6572635819163425e-06,-3.8735379348509014e-08,8.181075827451423e-06,,,,
core_interaction,20,0.0,single_edge,x1->h5,1,5,,1,,3.479417743316541e-05,1.3587816826976406e-05,1.9523802620824426e-05,4.55503432021942e-05,3.6864660311645515e-05,1.1184240692302023e-05,2.4629545805510134e-05,4.656184319173917e-05,2.0704828784801066e-06,2.6683255344408358e-06,9.420546120963991e-08,5.105743184685707e-06,,,,
core_interaction,20,0.0,single_edge,x1->h6,1,6,,1,,3.479417743316541e-05,1.3587816826976406e-05,1.9523802620824426e-05,4.55503432021942e-05,6.608212061109953e-05,4.0147636225250855e-05,4.001984416390769e-05,0.00011231568350922316,3.128794317793412e-05,5.326426156280429e-05,3.6049095797352493e-07,9.279188088839874e-05,,,,
core_interaction,20,0.0,single_edge,x1->h7,1,7,,1,,3.479417743316541e-05,1.3587816826976406e-05,1.9523802620824426e-05,4.55503432021942e-05,0.02192270705442449,0.03786555697042134,1.952807724592276e-05,0.06564605981111526,0.021887912876991322,0.03786163552474048,4.274625098332763e-09,0.06560675142463879,,,,
core_interaction,20,0.0,single_edge,x2->h0,2,0,,1,,3.479417743316541e-05,1.3587816826976406e-05,1.9523802620824426e-05,4.55503432021942e-05,0.015212881410358628,0.026276144919656307,3.9405298593919724e-05,0.04555395990610123,0.015178087232925463,0.02628936928868834,-2.7131682145409286e-07,0.0455344361034804,,,,
