Using device=cuda
[RUN] function=core_interaction_c025 screen=raw seed=0
checkpoint directory created: ./model
saving model version 0.0

description:   0%|                                                           | 0/50 [00:00<?, ?it/s]
| train_loss: 2.11e-01 | test_loss: 1.18e+00 | reg: 7.90e+01 | :   0%|       | 0/50 [00:00<?, ?it/s]
| train_loss: 2.11e-01 | test_loss: 1.18e+00 | reg: 7.90e+01 | :   2%| | 1/50 [00:00<00:37,  1.31it/
| train_loss: 5.55e-02 | test_loss: 1.18e+00 | reg: 7.24e+01 | :   2%| | 1/50 [00:00<00:37,  1.31it/
| train_loss: 5.55e-02 | test_loss: 1.18e+00 | reg: 7.24e+01 | :   4%| | 2/50 [00:00<00:18,  2.60it/
| train_loss: 4.70e-02 | test_loss: 1.13e+00 | reg: 6.09e+01 | :   4%| | 2/50 [00:01<00:18,  2.60it/
| train_loss: 2.69e-02 | test_loss: 1.87e-01 | reg: 1.10e+01 | :  38%|▍| 19/50 [00:02<00:03,  7.80it
| train_loss: 2.69e-02 | test_loss: 1.87e-01 | reg: 1.10e+01 | :  40%|▍| 20/50 [00:02<00:03,  7.85it
| train_loss: 2.68e-02 | test_loss: 1.87e-01 | reg: 1.09e+01 | :  40%|▍| 20/50 [00:02<00:03,  7.85it
| train_loss: 2.68e-02 | test_loss: 1.87e-01 | reg: 1.09e+01 | :  42%|▍| 21/50 [00:02<00:03,  7.64it
| train_loss: 2.67e-02 | test_loss: 1.86e-01 | reg: 1.08e+01 | :  42%|▍| 21/50 [00:02<00:03,  7.64it
| train_loss: 2.67e-02 | test_loss: 1.86e-01 | reg: 1.08e+01 | :  44%|▍| 22/50 [00:02<00:03,  7.84it
| train_loss: 2.61e-02 | test_loss: 1.86e-01 | reg: 1.08e+01 | :  44%|▍| 22/50 [00:02<00:03,  7.84it
| train_loss: 2.61e-02 | test_loss: 1.86e-01 | reg: 1.08e+01 | :  46%|▍| 23/50 [00:02<00:03,  7.65it
| train_loss: 2.59e-02 | test_loss: 1.85e-01 | reg: 1.07e+01 | :  46%|▍| 23/50 [00:03<00:03,  7.65it
| train_loss: 2.59e-02 | test_loss: 1.85e-01 | reg: 1.07e+01 | :  48%|▍| 24/50 [00:03<00:03,  7.79it
| train_loss: 2.58e-02 | test_loss: 1.85e-01 | reg: 1.07e+01 | :  48%|▍| 24/50 [00:03<00:03,  7.79it
| train_loss: 2.58e-02 | test_loss: 1.85e-01 | reg: 1.07e+01 | :  50%|▌| 25/50 [00:03<00:03,  7.71it
| train_loss: 2.58e-02 | test_loss: 1.85e-01 | reg: 1.06e+01 | :  50%|▌| 25/50 [00:03<00:03,  7.71it
| train_loss: 2.58e-02 | test_loss: 1.85e-01 | reg: 1.06e+01 | :  52%|▌| 26/50 [00:03<00:03,  7.26it
| train_loss: 2.59e-02 | test_loss: 1.85e-01 | reg: 1.06e+01 | :  52%|▌| 26/50 [00:03<00:03,  7.26it
| train_loss: 2.59e-02 | test_loss: 1.85e-01 | reg: 1.06e+01 | :  54%|▌| 27/50 [00:03<00:03,  7.44it
| train_loss: 2.59e-02 | test_loss: 1.85e-01 | reg: 1.05e+01 | :  54%|▌| 27/50 [00:03<00:03,  7.44it
| train_loss: 2.59e-02 | test_loss: 1.85e-01 | reg: 1.05e+01 | :  56%|▌| 28/50 [00:03<00:02,  7.47it
| train_loss: 2.57e-02 | test_loss: 1.85e-01 | reg: 1.05e+01 | :  56%|▌| 28/50 [00:03<00:02,  7.47it
| train_loss: 2.57e-02 | test_loss: 1.85e-01 | reg: 1.05e+01 | :  58%|▌| 29/50 [00:03<00:02,  7.36it
| train_loss: 2.51e-02 | test_loss: 1.85e-01 | reg: 1.05e+01 | :  58%|▌| 29/50 [00:03<00:02,  7.36it
| train_loss: 2.51e-02 | test_loss: 1.85e-01 | reg: 1.05e+01 | :  60%|▌| 30/50 [00:03<00:02,  7.63it
| train_loss: 2.47e-02 | test_loss: 1.85e-01 | reg: 1.05e+01 | :  60%|▌| 30/50 [00:04<00:02,  7.63it
| train_loss: 2.47e-02 | test_loss: 1.85e-01 | reg: 1.05e+01 | :  62%|▌| 31/50 [00:04<00:02,  7.79it
| train_loss: 2.47e-02 | test_loss: 1.85e-01 | reg: 1.04e+01 | :  62%|▌| 31/50 [00:04<00:02,  7.79it
| train_loss: 2.47e-02 | test_loss: 1.85e-01 | reg: 1.04e+01 | :  64%|▋| 32/50 [00:04<00:02,  7.78it
| train_loss: 2.47e-02 | test_loss: 1.85e-01 | reg: 1.04e+01 | :  64%|▋| 32/50 [00:04<00:02,  7.78it
| train_loss: 2.47e-02 | test_loss: 1.85e-01 | reg: 1.04e+01 | :  66%|▋| 33/50 [00:04<00:02,  7.86it
| train_loss: 2.46e-02 | test_loss: 1.85e-01 | reg: 1.04e+01 | :  66%|▋| 33/50 [00:04<00:02,  7.86it
| train_loss: 2.46e-02 | test_loss: 1.85e-01 | reg: 1.04e+01 | :  68%|▋| 34/50 [00:04<00:02,  7.97it
| train_loss: 2.45e-02 | test_loss: 1.85e-01 | reg: 1.04e+01 | :  68%|▋| 34/50 [00:04<00:02,  7.97it
| train_loss: 2.45e-02 | test_loss: 1.85e-01 | reg: 1.04e+01 | :  70%|▋| 35/50 [00:04<00:01,  8.03it
| train_loss: 2.43e-02 | test_loss: 1.85e-01 | reg: 1.03e+01 | :  70%|▋| 35/50 [00:04<00:01,  8.03it
| train_loss: 2.43e-02 | test_loss: 1.85e-01 | reg: 1.03e+01 | :  72%|▋| 36/50 [00:04<00:01,  7.94it
| train_loss: 2.44e-02 | test_loss: 1.84e-01 | reg: 1.03e+01 | :  72%|▋| 36/50 [00:04<00:01,  7.94it
| train_loss: 2.44e-02 | test_loss: 1.84e-01 | reg: 1.03e+01 | :  74%|▋| 37/50 [00:04<00:01,  6.71it
| train_loss: 2.45e-02 | test_loss: 1.84e-01 | reg: 1.03e+01 | :  74%|▋| 37/50 [00:04<00:01,  6.71it
| train_loss: 2.45e-02 | test_loss: 1.84e-01 | reg: 1.03e+01 | :  76%|▊| 38/50 [00:04<00:01,  7.00it
| train_loss: 2.45e-02 | test_loss: 1.84e-01 | reg: 1.02e+01 | :  76%|▊| 38/50 [00:05<00:01,  7.00it
| train_loss: 2.45e-02 | test_loss: 1.84e-01 | reg: 1.02e+01 | :  78%|▊| 39/50 [00:05<00:01,  7.28it
| train_loss: 2.47e-02 | test_loss: 1.84e-01 | reg: 1.02e+01 | :  78%|▊| 39/50 [00:05<00:01,  7.28it
| train_loss: 2.47e-02 | test_loss: 1.84e-01 | reg: 1.02e+01 | :  80%|▊| 40/50 [00:05<00:01,  7.38it
| train_loss: 2.49e-02 | test_loss: 1.83e-01 | reg: 1.02e+01 | :  80%|▊| 40/50 [00:05<00:01,  7.38it
| train_loss: 2.49e-02 | test_loss: 1.83e-01 | reg: 1.02e+01 | :  82%|▊| 41/50 [00:05<00:01,  7.52it
| train_loss: 2.48e-02 | test_loss: 1.84e-01 | reg: 1.01e+01 | :  82%|▊| 41/50 [00:05<00:01,  7.52it
| train_loss: 2.48e-02 | test_loss: 1.84e-01 | reg: 1.01e+01 | :  84%|▊| 42/50 [00:05<00:01,  7.66it
| train_loss: 2.50e-02 | test_loss: 1.84e-01 | reg: 1.01e+01 | :  84%|▊| 42/50 [00:05<00:01,  7.66it
| train_loss: 2.50e-02 | test_loss: 1.84e-01 | reg: 1.01e+01 | :  86%|▊| 43/50 [00:05<00:00,  7.80it
| train_loss: 2.52e-02 | test_loss: 1.84e-01 | reg: 1.01e+01 | :  86%|▊| 43/50 [00:05<00:00,  7.80it
