function,dimension,noise,screen_method,top_m,explain_method,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,screen_contains_all_true_vars_mean,screen_true_var_recall_mean,screen_contains_true_interactions_mean,variable_f1_mean,variable_f1_std,variable_auroc_mean,variable_auroc_std,variable_auprc_mean,variable_auprc_std,interaction_f1_mean,interaction_f1_std,setting_label
core_interaction,100,0.0,rf,20,grad,1.513939294757923e-05,1.1739579480242886e-05,5.418937901898365e-05,4.454794857667537e-05,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,core_d100
core_interaction,100,0.0,rf,20,perm,1.513939294757923e-05,1.1739579480242886e-05,5.418937901898365e-05,4.454794857667537e-05,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,core_d100
core_interaction,100,0.0,rf,30,grad,1.984520652816476e-05,1.3204752639893184e-05,0.2727646918986768,0.472263627800556,1.0,1.0,1.0,0.8333333333333334,0.2886751345948129,0.9826388888888888,0.030070326520293,0.8768939393939394,0.2132259516893504,0.6666666666666666,0.5773502691896258,core_d100
core_interaction,100,0.0,rf,30,perm,1.984520652816476e-05,1.3204752639893184e-05,0.2727646918986768,0.472263627800556,1.0,1.0,1.0,0.8333333333333334,0.2886751345948129,0.984375,0.0270632938682637,0.8819444444444443,0.2044782203379924,0.6666666666666666,0.5773502691896258,core_d100
core_interaction_c5,100,0.0,correlation,10,grad,0.0708177223180731,0.0544347118787314,2.413326397538185,2.05226467615727,0.0,0.5833333333333334,0.3333333333333333,0.5833333333333334,0.1443375672974064,0.7738715277777778,0.0796970026559942,0.5722222222222223,0.1678734090959062,0.3333333333333333,0.5773502691896258,core_c5_d100
core_interaction_c5,100,0.0,correlation,10,perm,0.0708177223180731,0.0544347118787314,2.413326397538185,2.05226467615727,0.0,0.5833333333333334,0.3333333333333333,0.5833333333333334,0.1443375672974064,0.7712673611111112,0.0819416397677984,0.5166666666666667,0.2107328482542134,0.3333333333333333,0.5773502691896258,core_c5_d100
core_interaction_c5,100,0.0,correlation,20,grad,0.0029918551445007,0.0021099829694173,3.640859285990397,3.034308062260243,0.0,0.5833333333333334,0.3333333333333333,0.4166666666666667,0.2886751345948129,0.7443576388888888,0.0941139972619025,0.4851851851851851,0.2390318263155966,0.0,0.0,core_c5_d100
core_interaction_c5,100,0.0,correlation,20,perm,0.0029918551445007,0.0021099829694173,3.640859285990397,3.034308062260243,0.0,0.5833333333333334,0.3333333333333333,0.4166666666666667,0.2886751345948129,0.7408854166666666,0.0970117622226738,0.4321428571428571,0.2886165099156982,0.0,0.0,core_c5_d100
core_interaction_c5,100,0.0,correlation,30,grad,8.097947875285172e-05,0.0001249554464724,2.789187530676524,2.4378662313437927,0.0,0.6666666666666666,0.3333333333333333,0.5,0.25,0.7734375,0.1061257826785364,0.5411111111111111,0.224352979162879,0.3333333333333333,0.5773502691896258,core_c5_d100
core_interaction_c5,100,0.0,correlation,30,perm,8.097947875285172e-05,0.0001249554464724,2.789187530676524,2.4378662313437927,0.0,0.6666666666666666,0.3333333333333333,0.5,0.25,0.7734375,0.0873561099881224,0.5320923520923521,0.1982415544188836,0.3333333333333333,0.5773502691896258,core_c5_d100
core_interaction_c5,100,0.0,mutual_info,10,grad,0.0085950583840409,0.0009970405873592,0.0680873369177182,0.0033633920394209,0.0,0.75,1.0,0.75,0.0,0.8658854166666666,0.0,0.7600000000000001,0.0,0.0,0.0,core_c5_d100
core_interaction_c5,100,0.0,mutual_info,10,perm,0.0085950583840409,0.0009970405873592,0.0680873369177182,0.0033633920394209,0.0,0.75,1.0,0.75,0.0,0.8658854166666666,0.0,0.7600000000000001,0.0,0.0,0.0,core_c5_d100
core_interaction_c5,100,0.0,mutual_info,20,grad,0.0019741461146622,0.0003180100093923,0.1153429970145225,0.0124787243925651,0.0,0.75,1.0,0.75,0.0,0.8528645833333334,0.0,0.7600000000000001,0.0,1.0,0.0,core_c5_d100
core_interaction_c5,100,0.0,mutual_info,20,perm,0.0019741461146622,0.0003180100093923,0.1153429970145225,0.0124787243925651,0.0,0.75,1.0,0.75,0.0,0.8528645833333334,0.0,0.7600000000000001,0.0,1.0,0.0,core_c5_d100
core_interaction_c5,100,0.0,mutual_info,30,grad,0.0010754539689514,0.001352958393653,0.0811200061192115,0.0686667239932469,0.3333333333333333,0.8333333333333334,1.0,0.8333333333333334,0.1443375672974064,0.8932291666666666,0.092466254049901,0.84,0.1385640646055101,1.0,0.0,core_c5_d100
core_interaction_c5,100,0.0,mutual_info,30,perm,0.0010754539689514,0.001352958393653,0.0811200061192115,0.0686667239932469,0.3333333333333333,0.8333333333333334,1.0,0.8333333333333334,0.1443375672974064,0.8932291666666666,0.092466254049901,0.84,0.1385640646055101,1.0,0.0,core_c5_d100
core_interaction_c5,100,0.0,rf,10,grad,0.0002046150111709,0.0002561254341557,0.0004128557920921,0.0005113885132083,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,core_c5_d100
core_interaction_c5,100,0.0,rf,10,perm,0.0002046150111709,0.0002561254341557,0.0004128557920921,0.0005113885132083,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,core_c5_d100
core_interaction_c5,100,0.0,rf,20,grad,0.0001356932225462,0.0001784390038489,0.0004569759330479,0.0006216366730338,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,core_c5_d100
core_interaction_c5,100,0.0,rf,20,perm,0.0001356932225462,0.0001784390038489,0.0004569759330479,0.0006216366730338,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,core_c5_d100
core_interaction_c5,100,0.0,rf,30,grad,0.0002264163866432,0.0002014261875807,1.2477107141166923,2.159202459129392,1.0,1.0,1.0,0.8333333333333334,0.2886751345948128,0.9782986111111112,0.0375879081503662,0.8823809523809524,0.2037221664140537,0.6666666666666666,0.5773502691896258,core_c5_d100
core_interaction_c5,100,0.0,rf,30,perm,0.0002264163866432,0.0002014261875807,1.2477107141166923,2.159202459129392,1.0,1.0,1.0,0.8333333333333334,0.2886751345948128,0.9835069444444444,0.0285668101942783,0.8916666666666666,0.1876388374866283,0.6666666666666666,0.5773502691896258,core_c5_d100
correlated_proxy,100,0.05,correlation,10,grad,0.0007273445759589,0.0001612285422081,1.6000112692515056,0.5220296173006578,0.0,0.25,0.0,0.25,0.0,0.58984375,0.0,0.28,0.0,0.0,0.0,proxy_d100
