function,dimension,noise,screen_method,top_m,row_type,target,original_variable,local_variable,hidden,pair,pair_in_screened_set,is_true_active,is_true_interaction,train_mse_mean,train_mse_std,train_mse_min,train_mse_max,test_mse_mean,test_mse_std,test_mse_min,test_mse_max,screen_contains_all_true_vars_mean,screen_contains_all_true_vars_std,screen_contains_all_true_vars_min,screen_contains_all_true_vars_max,screen_true_var_recall_mean,screen_true_var_recall_std,screen_true_var_recall_min,screen_true_var_recall_max,screen_contains_true_interactions_mean,screen_contains_true_interactions_std,screen_contains_true_interactions_min,screen_contains_true_interactions_max,baseline_mse_mean,baseline_mse_std,baseline_mse_min,baseline_mse_max,ablated_mse_mean,ablated_mse_std,ablated_mse_min,ablated_mse_max,delta_mse_mean,delta_mse_std,delta_mse_min,delta_mse_max,synergy_mean,synergy_std,synergy_min,synergy_max,setting_label
correlated_proxy,100,0.05,rf,20,feature_path,x2,2.0,2.0,,,,1.0,,4.75674237332413e-07,7.653445098265876e-07,4.3078807188123855e-09,1.3587464309239294e-06,0.3129494873185952,0.3456562444299751,0.0381466709077358,0.7010315656661987,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,0.3129494873185952,0.3456562444299751,0.0381466709077358,0.7010315656661987,0.4103370904922485,0.2347407200770491,0.221889853477478,0.673288106918335,0.0973876031736532,0.1109473000922522,-0.0277434587478637,0.1837431825697422,,,,,proxy_d100_rf
correlated_proxy,100,0.05,rf,20,feature_path,x3,3.0,3.0,,,,1.0,,4.75674237332413e-07,7.653445098265876e-07,4.3078807188123855e-09,1.3587464309239294e-06,0.3129494873185952,0.3456562444299751,0.0381466709077358,0.7010315656661987,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,0.3129494873185952,0.3456562444299751,0.0381466709077358,0.7010315656661987,0.4297240575154622,0.2429026865981635,0.2384212613105774,0.7030103206634521,0.1167745701968669,0.1027856005139481,0.0019787549972534,0.2002745904028415,,,,,proxy_d100_rf
correlated_proxy,100,0.05,rf,20,feature_path,x4,4.0,4.0,,,,0.0,,4.75674237332413e-07,7.653445098265876e-07,4.3078807188123855e-09,1.3587464309239294e-06,0.3129494873185952,0.3456562444299751,0.0381466709077358,0.7010315656661987,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,0.3129494873185952,0.3456562444299751,0.0381466709077358,0.7010315656661987,0.2951890875895818,0.3024312978757005,0.0419463068246841,0.6300549507141113,-0.0177603997290134,0.0463622389728,-0.0709766149520874,0.0138957798480987,,,,,proxy_d100_rf
correlated_proxy,100,0.05,rf,20,feature_path,x5,5.0,5.0,,,,0.0,,4.75674237332413e-07,7.653445098265876e-07,4.3078807188123855e-09,1.3587464309239294e-06,0.3129494873185952,0.3456562444299751,0.0381466709077358,0.7010315656661987,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,0.3129494873185952,0.3456562444299751,0.0381466709077358,0.7010315656661987,0.3101327319939931,0.3146901814379238,0.0422481447458267,0.6566974520683289,-0.0028167553246021,0.0385269559396315,-0.0443341135978698,0.0317823737859725,,,,,proxy_d100_rf
correlated_proxy,100,0.05,rf,20,shared_hidden_pair_edges,"x0,x1->h0",,,0.0,"(0, 1)",1.0,,0.0,4.75674237332413e-07,7.653445098265876e-07,4.3078807188123855e-09,1.3587464309239294e-06,0.3129494873185952,0.3456562444299751,0.0381466709077358,0.7010315656661987,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,0.3129494873185952,0.3456562444299751,0.0381466709077358,0.7010315656661987,0.3288651071488857,0.336487600990041,0.0384937413036823,0.6976290941238403,0.0159156198302904,0.0302708283052162,-0.0034024715423583,0.0508022606372833,0.0019308626651763,0.0063498199826412,-0.0032100677490234,0.0090288370847702,proxy_d100_rf
correlated_proxy,100,0.05,rf,20,shared_hidden_pair_edges,"x0,x1->h1",,,1.0,"(0, 1)",1.0,,0.0,4.75674237332413e-07,7.653445098265876e-07,4.3078807188123855e-09,1.3587464309239294e-06,0.3129494873185952,0.3456562444299751,0.0381466709077358,0.7010315656661987,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,0.3129494873185952,0.3456562444299751,0.0381466709077358,0.7010315656661987,0.3587716184556484,0.3239427013305263,0.0401347167789936,0.6877714395523071,0.0458221311370531,0.0894536575830715,-0.0132601261138916,0.1487384736537933,0.0059199382861455,0.0102821945394687,-0.0003169775009155,0.0177876353263854,proxy_d100_rf
correlated_proxy,100,0.05,rf,20,shared_hidden_pair_edges,"x0,x1->h2",,,2.0,"(0, 1)",1.0,,0.0,4.75674237332413e-07,7.653445098265876e-07,4.3078807188123855e-09,1.3587464309239294e-06,0.3129494873185952,0.3456562444299751,0.0381466709077358,0.7010315656661987,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,0.3129494873185952,0.3456562444299751,0.0381466709077358,0.7010315656661987,0.4268750896056493,0.3665856268300558,0.0443920046091079,0.77516770362854,0.113925602287054,0.1321468195580115,0.0062453337013721,0.2613953351974487,0.0041378773748874,0.0035814197883435,0.0003085546195507,0.0074048638343811,proxy_d100_rf
correlated_proxy,100,0.05,rf,20,shared_hidden_pair_edges,"x0,x1->h3",,,3.0,"(0, 1)",1.0,,0.0,4.75674237332413e-07,7.653445098265876e-07,4.3078807188123855e-09,1.3587464309239294e-06,0.3129494873185952,0.3456562444299751,0.0381466709077358,0.7010315656661987,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,0.3129494873185952,0.3456562444299751,0.0381466709077358,0.7010315656661987,0.6275179982185364,0.3025750151829678,0.2956156134605407,0.8879797458648682,0.3145685108999411,0.4661362599473591,-0.0020729303359985,0.8498330749571323,-0.0229506405691305,0.0540355913963447,-0.0840266086161136,0.0186390280723571,proxy_d100_rf
correlated_proxy,100,0.05,rf,20,shared_hidden_pair_edges,"x0,x1->h4",,,4.0,"(0, 1)",1.0,,0.0,4.75674237332413e-07,7.653445098265876e-07,4.3078807188123855e-09,1.3587464309239294e-06,0.3129494873185952,0.3456562444299751,0.0381466709077358,0.7010315656661987,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,0.3129494873185952,0.3456562444299751,0.0381466709077358,0.7010315656661987,0.3095014877617359,0.3422149172897753,0.0359480790793895,0.6932345628738403,-0.0034479995568593,0.0038782948006422,-0.0077970027923583,-0.0003484040498733,0.0006730481982231,0.00162015899794,-0.0008748769760131,0.0023568794131278,proxy_d100_rf
correlated_proxy,100,0.05,rf,20,shared_hidden_pair_edges,"x0,x1->h5",,,5.0,"(0, 1)",1.0,,0.0,4.75674237332413e-07,7.653445098265876e-07,4.3078807188123855e-09,1.3587464309239294e-06,0.3129494873185952,0.3456562444299751,0.0381466709077358,0.7010315656661987,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,0.3129494873185952,0.3456562444299751,0.0381466709077358,0.7010315656661987,0.3345009063680966,0.3289529582492456,0.0394684299826622,0.6892052888870239,0.0215514190495014,0.0468884757575618,-0.0118262767791748,0.0751587748527526,0.0024805404245853,0.0077659081853091,-0.004893809556961,0.0105862617492675,proxy_d100_rf
