function,samples,dimension,seed,trees,top_m,selected_features,true_variables,true_interactions,top12,endpoint_scores,max_noise_score,effective_dim,screen_contains_all_true_vars,screen_true_var_recall,screen_contains_all_interaction_endpoints,screen_interaction_endpoint_recall,screen_contains_true_interactions,endpoint_best_rank,endpoint_worst_rank,endpoint_mean_rank
core_interaction_c025,512,100,100,2000,4,"[0, 1, 5, 67]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 67, 5, 58, 24, 72, 6, 14, 10, 70, 96]","{2: 0.0013742324582063086, 3: 0.0011411283934272642}",0.0021925629367672487,4,0,0.5,0,0.0,0,14.0,28.0,21.0
core_interaction_c025,512,100,100,2000,5,"[0, 1, 5, 58, 67]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 67, 5, 58, 24, 72, 6, 14, 10, 70, 96]","{2: 0.0013742324582063086, 3: 0.0011411283934272642}",0.0021925629367672487,5,0,0.5,0,0.0,0,14.0,28.0,21.0
core_interaction_c025,512,100,100,2000,6,"[0, 1, 5, 24, 58, 67]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 67, 5, 58, 24, 72, 6, 14, 10, 70, 96]","{2: 0.0013742324582063086, 3: 0.0011411283934272642}",0.0021925629367672487,6,0,0.5,0,0.0,0,14.0,28.0,21.0
core_interaction_c025,512,100,101,2000,4,"[0, 1, 17, 65]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 65, 17, 90, 67, 20, 34, 10, 64, 81, 33]","{2: 0.0007165058761882604, 3: 0.000913460567413776}",0.0015877010876320758,4,0,0.5,0,0.0,0,30.0,62.0,46.0
core_interaction_c025,512,100,101,2000,5,"[0, 1, 17, 65, 90]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 65, 17, 90, 67, 20, 34, 10, 64, 81, 33]","{2: 0.0007165058761882604, 3: 0.000913460567413776}",0.0015877010876320758,5,0,0.5,0,0.0,0,30.0,62.0,46.0
core_interaction_c025,512,100,101,2000,6,"[0, 1, 17, 65, 67, 90]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 65, 17, 90, 67, 20, 34, 10, 64, 81, 33]","{2: 0.0007165058761882604, 3: 0.000913460567413776}",0.0015877010876320758,6,0,0.5,0,0.0,0,30.0,62.0,46.0
core_interaction_c025,512,100,102,2000,4,"[0, 1, 19, 98]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 19, 98, 25, 41, 36, 85, 56, 34, 77, 46]","{2: 0.0010613093771154795, 3: 0.0008706172748266704}",0.0028600932148382468,4,0,0.5,0,0.0,0,15.0,34.0,24.5
core_interaction_c025,512,100,102,2000,5,"[0, 1, 19, 25, 98]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 19, 98, 25, 41, 36, 85, 56, 34, 77, 46]","{2: 0.0010613093771154795, 3: 0.0008706172748266704}",0.0028600932148382468,5,0,0.5,0,0.0,0,15.0,34.0,24.5
core_interaction_c025,512,100,102,2000,6,"[0, 1, 19, 25, 41, 98]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 19, 98, 25, 41, 36, 85, 56, 34, 77, 46]","{2: 0.0010613093771154795, 3: 0.0008706172748266704}",0.0028600932148382468,6,0,0.5,0,0.0,0,15.0,34.0,24.5
core_interaction_c025,512,100,103,2000,4,"[0, 1, 50, 72]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 50, 72, 62, 10, 2, 60, 48, 74, 75, 45]","{2: 0.0017207472263524475, 3: 0.0008370690372879678}",0.002308899964323126,4,0,0.5,0,0.0,0,7.0,41.0,24.0
core_interaction_c025,512,100,103,2000,5,"[0, 1, 50, 62, 72]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 50, 72, 62, 10, 2, 60, 48, 74, 75, 45]","{2: 0.0017207472263524475, 3: 0.0008370690372879678}",0.002308899964323126,5,0,0.5,0,0.0,0,7.0,41.0,24.0
core_interaction_c025,512,100,103,2000,6,"[0, 1, 10, 50, 62, 72]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 50, 72, 62, 10, 2, 60, 48, 74, 75, 45]","{2: 0.0017207472263524475, 3: 0.0008370690372879678}",0.002308899964323126,6,0,0.5,0,0.0,0,7.0,41.0,24.0
core_interaction_c025,512,100,104,2000,4,"[0, 1, 20, 37]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 37, 20, 14, 89, 21, 55, 84, 74, 51, 43]","{2: 0.000617610643641917, 3: 0.0012066203216125173}",0.001837585723028284,4,0,0.5,0,0.0,0,19.0,98.0,58.5
core_interaction_c025,512,100,104,2000,5,"[0, 1, 14, 20, 37]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 37, 20, 14, 89, 21, 55, 84, 74, 51, 43]","{2: 0.000617610643641917, 3: 0.0012066203216125173}",0.001837585723028284,5,0,0.5,0,0.0,0,19.0,98.0,58.5
core_interaction_c025,512,100,104,2000,6,"[0, 1, 14, 20, 37, 89]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 37, 20, 14, 89, 21, 55, 84, 74, 51, 43]","{2: 0.000617610643641917, 3: 0.0012066203216125173}",0.001837585723028284,6,0,0.5,0,0.0,0,19.0,98.0,58.5
core_interaction_c025,512,100,105,2000,4,"[0, 1, 81, 83]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 81, 83, 26, 27, 73, 70, 17, 60, 85, 58]","{2: 0.0011658142094923757, 3: 0.0007912747856423442}",0.0038824266622115343,4,0,0.5,0,0.0,0,17.0,64.0,40.5
core_interaction_c025,512,100,105,2000,5,"[0, 1, 26, 81, 83]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 81, 83, 26, 27, 73, 70, 17, 60, 85, 58]","{2: 0.0011658142094923757, 3: 0.0007912747856423442}",0.0038824266622115343,5,0,0.5,0,0.0,0,17.0,64.0,40.5
core_interaction_c025,512,100,105,2000,6,"[0, 1, 26, 27, 81, 83]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 81, 83, 26, 27, 73, 70, 17, 60, 85, 58]","{2: 0.0011658142094923757, 3: 0.0007912747856423442}",0.0038824266622115343,6,0,0.5,0,0.0,0,17.0,64.0,40.5
core_interaction_c025,512,100,106,2000,4,"[0, 1, 33, 55]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 33, 55, 99, 32, 21, 67, 30, 86, 69, 75]","{2: 0.0007933746770395799, 3: 0.0011778427279563492}",0.001895612182712322,4,0,0.5,0,0.0,0,13.0,63.0,38.0
core_interaction_c025,512,100,106,2000,5,"[0, 1, 33, 55, 99]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 33, 55, 99, 32, 21, 67, 30, 86, 69, 75]","{2: 0.0007933746770395799, 3: 0.0011778427279563492}",0.001895612182712322,5,0,0.5,0,0.0,0,13.0,63.0,38.0
core_interaction_c025,512,100,106,2000,6,"[0, 1, 32, 33, 55, 99]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 33, 55, 99, 32, 21, 67, 30, 86, 69, 75]","{2: 0.0007933746770395799, 3: 0.0011778427279563492}",0.001895612182712322,6,0,0.5,0,0.0,0,13.0,63.0,38.0
core_interaction_c025,512,100,107,2000,4,"[0, 1, 13, 18]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 18, 13, 54, 35, 93, 80, 16, 84, 5, 19]","{2: 0.0010977591182883839, 3: 0.0010137638423869605}",0.001956999709778201,4,0,0.5,0,0.0,0,14.0,19.0,16.5
core_interaction_c025,512,100,107,2000,5,"[0, 1, 13, 18, 54]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 18, 13, 54, 35, 93, 80, 16, 84, 5, 19]","{2: 0.0010977591182883839, 3: 0.0010137638423869605}",0.001956999709778201,5,0,0.5,0,0.0,0,14.0,19.0,16.5
core_interaction_c025,512,100,107,2000,6,"[0, 1, 13, 18, 35, 54]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 18, 13, 54, 35, 93, 80, 16, 84, 5, 19]","{2: 0.0010977591182883839, 3: 0.0010137638423869605}",0.001956999709778201,6,0,0.5,0,0.0,0,14.0,19.0,16.5
core_interaction_c025,512,100,108,2000,4,"[0, 1, 28, 57]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 28, 57, 99, 48, 46, 61, 10, 75, 3, 34]","{2: 0.0010456096098967892, 3: 0.001222810736451571}",0.002434849125744686,4,0,0.5,0,0.0,0,11.0,23.0,17.0
core_interaction_c025,512,100,108,2000,5,"[0, 1, 28, 57, 99]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 28, 57, 99, 48, 46, 61, 10, 75, 3, 34]","{2: 0.0010456096098967892, 3: 0.001222810736451571}",0.002434849125744686,5,0,0.5,0,0.0,0,11.0,23.0,17.0
core_interaction_c025,512,100,108,2000,6,"[0, 1, 28, 48, 57, 99]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 28, 57, 99, 48, 46, 61, 10, 75, 3, 34]","{2: 0.0010456096098967892, 3: 0.001222810736451571}",0.002434849125744686,6,0,0.5,0,0.0,0,11.0,23.0,17.0
core_interaction_c025,512,100,109,2000,4,"[0, 1, 83, 95]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 83, 95, 81, 77, 48, 63, 40, 71, 93, 53]","{2: 0.0011025442586654912, 3: 0.0008052532158722284}",0.003130054285175446,4,0,0.5,0,0.0,0,16.0,51.0,33.5
core_interaction_c025,512,100,109,2000,5,"[0, 1, 81, 83, 95]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 83, 95, 81, 77, 48, 63, 40, 71, 93, 53]","{2: 0.0011025442586654912, 3: 0.0008052532158722284}",0.003130054285175446,5,0,0.5,0,0.0,0,16.0,51.0,33.5
core_interaction_c025,512,100,109,2000,6,"[0, 1, 77, 81, 83, 95]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 83, 95, 81, 77, 48, 63, 40, 71, 93, 53]","{2: 0.0011025442586654912, 3: 0.0008052532158722284}",0.003130054285175446,6,0,0.5,0,0.0,0,16.0,51.0,33.5
core_interaction_c025,1024,100,100,500,4,"[0, 1, 14, 24]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 14, 24, 55, 70, 57, 58, 61, 42, 27, 2]","{2: 0.0007907632227886033, 3: 0.0006297603654260471}",0.0011201688845188789,4,0,0.5,0,0.0,0,12.0,41.0,26.5
core_interaction_c025,1024,100,100,500,5,"[0, 1, 14, 24, 55]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 14, 24, 55, 70, 57, 58, 61, 42, 27, 2]","{2: 0.0007907632227886033, 3: 0.0006297603654260471}",0.0011201688845188789,5,0,0.5,0,0.0,0,12.0,41.0,26.5
core_interaction_c025,1024,100,100,500,6,"[0, 1, 14, 24, 55, 70]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 14, 24, 55, 70, 57, 58, 61, 42, 27, 2]","{2: 0.0007907632227886033, 3: 0.0006297603654260471}",0.0011201688845188789,6,0,0.5,0,0.0,0,12.0,41.0,26.5
core_interaction_c025,1024,100,101,500,4,"[0, 1, 29, 90]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 90, 29, 97, 30, 72, 60, 75, 66, 15, 26]","{2: 0.0006052938718085107, 3: 0.0006698890044634515}",0.0010766213127520543,4,0,0.5,0,0.0,0,15.0,24.0,19.5
core_interaction_c025,1024,100,101,500,5,"[0, 1, 29, 90, 97]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 90, 29, 97, 30, 72, 60, 75, 66, 15, 26]","{2: 0.0006052938718085107, 3: 0.0006698890044634515}",0.0010766213127520543,5,0,0.5,0,0.0,0,15.0,24.0,19.5
core_interaction_c025,1024,100,101,500,6,"[0, 1, 29, 30, 90, 97]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 90, 29, 97, 30, 72, 60, 75, 66, 15, 26]","{2: 0.0006052938718085107, 3: 0.0006698890044634515}",0.0010766213127520543,6,0,0.5,0,0.0,0,15.0,24.0,19.5
core_interaction_c025,1024,100,102,500,4,"[0, 1, 49, 58]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 58, 49, 57, 28, 84, 71, 3, 20, 78, 55]","{2: 0.0004955177188647178, 3: 0.0008516645450083903}",0.001323619240579678,4,0,0.5,0,0.0,0,9.0,67.0,38.0
core_interaction_c025,1024,100,102,500,5,"[0, 1, 49, 57, 58]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 58, 49, 57, 28, 84, 71, 3, 20, 78, 55]","{2: 0.0004955177188647178, 3: 0.0008516645450083903}",0.001323619240579678,5,0,0.5,0,0.0,0,9.0,67.0,38.0
core_interaction_c025,1024,100,102,500,6,"[0, 1, 28, 49, 57, 58]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 58, 49, 57, 28, 84, 71, 3, 20, 78, 55]","{2: 0.0004955177188647178, 3: 0.0008516645450083903}",0.001323619240579678,6,0,0.5,0,0.0,0,9.0,67.0,38.0
core_interaction_c025,1024,100,103,500,4,"[0, 1, 39, 62]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 39, 62, 74, 18, 33, 80, 2, 84, 26, 17]","{2: 0.0008099478153311071, 3: 0.0006575017077105187}",0.0011893833726019944,4,0,0.5,0,0.0,0,9.0,18.0,13.5
core_interaction_c025,1024,100,103,500,5,"[0, 1, 39, 62, 74]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 39, 62, 74, 18, 33, 80, 2, 84, 26, 17]","{2: 0.0008099478153311071, 3: 0.0006575017077105187}",0.0011893833726019944,5,0,0.5,0,0.0,0,9.0,18.0,13.5
core_interaction_c025,1024,100,103,500,6,"[0, 1, 18, 39, 62, 74]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 39, 62, 74, 18, 33, 80, 2, 84, 26, 17]","{2: 0.0008099478153311071, 3: 0.0006575017077105187}",0.0011893833726019944,6,0,0.5,0,0.0,0,9.0,18.0,13.5
core_interaction_c025,1024,100,104,500,4,"[0, 1, 23, 70]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 70, 23, 30, 59, 97, 95, 14, 22, 31, 37]","{2: 0.00041858196963333587, 3: 0.00047234773326334633}",0.0011269490377556455,4,0,0.5,0,0.0,0,87.0,96.0,91.5
core_interaction_c025,1024,100,104,500,5,"[0, 1, 23, 30, 70]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 70, 23, 30, 59, 97, 95, 14, 22, 31, 37]","{2: 0.00041858196963333587, 3: 0.00047234773326334633}",0.0011269490377556455,5,0,0.5,0,0.0,0,87.0,96.0,91.5
core_interaction_c025,1024,100,104,500,6,"[0, 1, 23, 30, 59, 70]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 70, 23, 30, 59, 97, 95, 14, 22, 31, 37]","{2: 0.00041858196963333587, 3: 0.00047234773326334633}",0.0011269490377556455,6,0,0.5,0,0.0,0,87.0,96.0,91.5
core_interaction_c025,1024,100,105,500,4,"[0, 1, 2, 83]","[0, 1, 2, 3]","[(2, 3)]","[0, 1, 83, 2, 53, 63, 16, 89, 75, 5, 33, 36]","{2: 0.0011095987841703223, 3: 0.0006429320448961642}",0.0011206826820872263,4,0,0.75,0,0.5,0,4.0,29.0,16.5
