function,seed,samples,test_samples,dimension,noise,width_hidden,grid,k,lamb,steps,pair_mode,train_mse,test_mse,candidate_pairs,true_pair,top_pair,top_pair_score,true_pair_score,max_false_pair_score,false_pair_score_p95,false_pair_score_p99,true_minus_max_false,true_pair_rank,true_pair_beats_candidates,endpoint_rank_worst_feature,endpoint_rank_worst_hybrid,runtime_sec
core_interaction_c025,33,896,2048,100,0.0,16,5,3,0.001,75,all,0.00022278519463725388,0.0005769020062871277,4950,"(2, 3)","(2, 3)",0.03741379640996456,0.03741379640996456,0.0065393391996622086,1.640431582927688e-05,0.00022245246917009206,0.030874457210302353,1,1,4,4,56.6246771812439
core_interaction_c025,34,896,2048,100,0.0,16,5,3,0.001,75,all,0.0006770507316105068,0.026454508304595947,4950,"(2, 3)","(0, 1)",0.01699215266853571,0.00028821080923080444,0.01699215266853571,0.00044576376676559417,0.0052026005089282805,-0.016703941859304905,480,0,80,73,62.97739934921265
core_interaction_c025,35,896,2048,100,0.0,16,5,3,0.001,75,all,0.0001935378968482837,0.000489734869915992,4950,"(2, 3)","(2, 3)",0.047087304294109344,0.047087304294109344,0.00565396249294281,1.1854432523250304e-05,0.00028434481471776793,0.041433341801166534,1,1,4,4,60.801056146621704
core_interaction_c025,36,896,2048,100,0.0,16,5,3,0.001,75,all,0.000618542602751404,0.027818121016025543,4950,"(2, 3)","(0, 1)",0.009834184311330318,0.00039678066968917847,0.009834184311330318,0.0019771596416831004,0.0032734855264425137,-0.00943740364164114,2719,0,10,4,58.97157549858093
core_interaction_c025,37,896,2048,100,0.0,16,5,3,0.001,75,all,0.0012695975601673126,0.03152729570865631,4950,"(2, 3)","(0, 87)",0.016200499143451452,0.00021954532712697983,0.016200499143451452,0.0004730510525405406,0.004531575720757233,-0.015980953816324472,1233,0,34,55,58.79983568191528
core_interaction_c025,38,896,2048,100,0.0,16,5,3,0.001,75,all,0.00015189521946012974,0.0003997888998128474,4950,"(2, 3)","(2, 3)",0.06352581782266498,0.06352581782266498,0.0022159842774271965,1.186551526188846e-05,0.0002593233436346051,0.06130983354523778,1,1,4,4,81.70674991607666
core_interaction_c025,39,896,2048,100,0.0,16,5,3,0.001,75,all,0.0007291948422789574,0.025142066180706024,4950,"(2, 3)","(0, 1)",0.012590959668159485,0.00043406710028648376,0.012590959668159485,0.0006249945610761642,0.003462473526597017,-0.012156892567873001,385,0,60,80,62.70670127868652
core_interaction_c025,40,896,2048,100,0.0,16,5,3,0.001,75,all,0.00014510515029542148,0.0002766334218904376,4950,"(2, 3)","(2, 3)",0.07539421645924449,0.07539421645924449,0.005213651806116104,8.024461567401878e-06,0.00019437996670603735,0.07018056465312839,1,1,4,4,81.0522689819336
core_interaction_c025,41,896,2048,100,0.0,16,5,3,0.001,75,all,0.0001451191201340407,0.00021032126096542925,4950,"(2, 3)","(2, 3)",0.04047050327062607,0.04047050327062607,0.0018046237528324127,4.3712556362151815e-06,5.453437566757167e-05,0.038665879517793655,1,1,4,4,82.04017400741577
core_interaction_c025,42,896,2048,100,0.0,16,5,3,0.001,75,all,0.0002801314112730324,0.0007027022074908018,4950,"(2, 3)","(2, 3)",0.12222358211874962,0.12222358211874962,0.006857432425022125,2.7211755514144824e-05,0.0004952797293662932,0.1153661496937275,1,1,4,4,81.4604799747467
core_interaction_c025,43,896,2048,100,0.0,16,5,3,0.001,75,all,0.00019667034212034196,0.00033903319854289293,4950,"(2, 3)","(2, 3)",0.0994838927872479,0.0994838927872479,0.0024646534584462643,5.991850048303596e-06,0.00011112172156572204,0.09701923932880163,1,1,4,4,60.694698095321655
core_interaction_c025,44,896,2048,100,0.0,16,5,3,0.001,75,all,0.00017808680422604084,0.00040169968269765377,4950,"(2, 3)","(2, 3)",0.07265838421881199,0.07265838421881199,0.0026086363941431046,8.202716708183164e-06,0.0002387359738349911,0.07004974782466888,1,1,4,4,59.435970306396484
core_interaction_c025,45,896,2048,100,0.0,16,5,3,0.001,75,all,0.00032739932066760957,0.0008987440378405154,4950,"(2, 3)","(2, 3)",0.08084742724895477,0.08084742724895477,0.0053486935794353485,4.909038543701171e-05,0.00046668112277984417,0.07549873366951942,1,1,4,4,79.09446024894714
core_interaction_c025,46,896,2048,100,0.0,16,5,3,0.001,75,all,0.0002147937484551221,0.00044752302346751094,4950,"(2, 3)","(2, 3)",0.055995617527514696,0.055995617527514696,0.003410816192626953,9.827129542827528e-06,0.00019704245030879918,0.05258480133488774,1,1,4,4,83.43280029296875
core_interaction_c025,47,896,2048,100,0.0,16,5,3,0.001,75,all,0.0006313700578175485,0.0317939892411232,4950,"(2, 3)","(0, 1)",0.03257887437939644,5.332566797733307e-05,0.03257887437939644,0.0005682304501533502,0.00616910576820373,-0.032525548711419106,3752,0,19,21,81.03420233726501
core_interaction_c025,48,896,2048,100,0.0,16,5,3,0.001,75,all,0.0002601082087494433,0.0005961821880191565,4950,"(2, 3)","(2, 3)",0.07004459388554096,0.07004459388554096,0.006604001857340336,5.226861685514427e-05,0.00036970876157283746,0.06344059202820063,1,1,4,4,81.14266633987427
core_interaction_c025,49,896,2048,100,0.0,16,5,3,0.001,75,all,0.00017383458907715976,0.00044057928607799113,4950,"(2, 3)","(2, 3)",0.08695258386433125,0.08695258386433125,0.004038795828819275,9.681284427642776e-06,0.0005131060630083039,0.08291378803551197,1,1,4,4,80.67635703086853
core_interaction_c025,50,896,2048,100,0.0,16,5,3,0.001,75,all,0.0001738952414598316,0.00027989986119791865,4950,"(2, 3)","(2, 3)",0.08243499137461185,0.08243499137461185,0.002389119938015938,1.5806406736373828e-06,6.631216034293108e-05,0.08004587143659592,1,1,4,4,63.41705918312073
core_interaction_c025,51,896,2048,100,0.0,16,5,3,0.001,75,all,0.00023708691878709942,0.0004500115755945444,4950,"(2, 3)","(2, 3)",0.08062881417572498,0.08062881417572498,0.005360886454582214,1.2494996190070957e-05,0.0001308017969131469,0.07526792772114277,1,1,4,4,59.204439878463745
core_interaction_c025,52,896,2048,100,0.0,16,5,3,0.001,75,all,0.00016978426720015705,0.00033345248084515333,4950,"(2, 3)","(2, 3)",0.0848842728883028,0.0848842728883028,0.00563228502869606,8.571520447731e-06,0.00021469913423061127,0.07925198785960674,1,1,4,4,60.99414944648743
core_interaction_c025,53,896,2048,100,0.0,16,5,3,0.001,75,all,0.00017445810954086483,0.00040352827636525035,4950,"(2, 3)","(2, 3)",0.09249011985957623,0.09249011985957623,0.004054896533489227,2.13308259844777e-05,0.00019533593207597357,0.088435223326087,1,1,4,4,56.98534822463989
core_interaction_c025,54,896,2048,100,0.0,16,5,3,0.001,75,all,0.0002992957306560129,0.0005948019097559154,4950,"(2, 3)","(2, 3)",0.13878019526600838,0.13878019526600838,0.005042031407356262,2.724863588809942e-05,0.0003069961071014387,0.13373816385865211,1,1,4,4,59.05988359451294
core_interaction_c025,55,896,2048,100,0.0,16,5,3,0.001,75,all,0.00016219021927099675,0.0003092449624091387,4950,"(2, 3)","(2, 3)",0.11138500645756721,0.11138500645756721,0.006433505564928055,2.0056217908859227e-05,0.00016754224896430928,0.10495150089263916,1,1,4,4,55.92354106903076
core_interaction_c025,56,896,2048,100,0.0,16,5,3,0.001,75,all,0.00063798000337556,0.025700686499476433,4950,"(2, 3)","(0, 1)",0.019702511839568615,0.0010022157803177834,0.019702511839568615,0.0017515312880277628,0.003323508501052855,-0.01870029605925083,655,0,5,4,57.953972578048706
core_interaction_c025,57,896,2048,100,0.0,16,5,3,0.001,75,all,0.00013384700287133455,0.0002270133700221777,4950,"(2, 3)","(2, 3)",0.05257167899981141,0.05257167899981141,0.004979184363037348,1.1010933667421146e-05,0.00011544452980160703,0.04759249463677406,1,1,4,4,56.83849811553955
core_interaction_c025,58,896,2048,100,0.0,16,5,3,0.001,75,all,0.0002100848505506292,0.00042421126272529364,4950,"(2, 3)","(2, 3)",0.08005658630281687,0.08005658630281687,0.0023121703416109085,6.5580010414123505e-06,0.0001769113913178436,0.07774441596120596,1,1,4,4,81.42617583274841
core_interaction_c025,59,896,2048,100,0.0,16,5,3,0.001,75,all,0.00023300024622585624,0.000529848737642169,4950,"(2, 3)","(2, 3)",0.06921590026468039,0.06921590026468039,0.0068268366158008575,1.7972663044929352e-05,0.00037580959498882146,0.06238906364887953,1,1,4,4,61.047593116760254
