source_file,function,explain_method,variable,is_true_active,selection_frequency,mean_importance
core_d100_n2048_noise01.csv,core_interaction,perm,5,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,perm,6,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,perm,7,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,perm,8,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,perm,9,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,perm,10,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,perm,11,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,perm,12,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,perm,13,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,perm,14,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,perm,15,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,perm,16,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,perm,17,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,perm,18,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,perm,19,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,perm,20,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,perm,21,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,perm,22,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,perm,23,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,perm,24,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,perm,25,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,perm,26,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,perm,27,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,perm,28,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,perm,29,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,perm,30,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,perm,31,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,perm,32,0,0.2,
core_d100_n2048_noise01.csv,core_interaction,perm,33,0,0.2,
core_d100_n2048_noise01.csv,core_interaction,perm,34,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,perm,35,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,perm,36,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,perm,37,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,perm,38,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,perm,39,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,perm,40,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,perm,41,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,perm,42,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,perm,43,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,perm,44,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,perm,45,0,0.0,
core_d100_n2048_noise01.csv,core_interaction,perm,46,0,0.0,
