source_file,function,explain_method,aggregation,threshold,num_runs,single_seed_mean_f1,single_seed_std_f1,single_seed_mean_auroc,single_seed_mean_auprc,stable_precision,stable_recall,stable_f1,stable_auroc,stable_auprc,stable_selected,stable_num_selected
core_d100_noise00_lamb0.05.csv,core_interaction,grad,selection_frequency_threshold,0.2,5,0.45,0.11180339887498948,,,0.15384615384615385,0.5,0.23529411764705882,,,"[0, 1, 17, 20, 27, 35, 45, 62, 70, 87, 91, 95, 97]",13.0
core_d100_noise00_lamb0.05.csv,core_interaction,grad,selection_frequency_threshold,0.4,5,0.45,0.11180339887498948,,,1.0,0.5,0.6666666666666666,,,"[0, 1]",2.0
core_d100_noise00_lamb0.05.csv,core_interaction,grad,selection_frequency_threshold,0.6,5,0.45,0.11180339887498948,,,1.0,0.5,0.6666666666666666,,,"[0, 1]",2.0
core_d100_noise00_lamb0.05.csv,core_interaction,grad,selection_frequency_threshold,0.8,5,0.45,0.11180339887498948,,,1.0,0.5,0.6666666666666666,,,"[0, 1]",2.0
core_d100_noise00_lamb0.05.csv,core_interaction,perm,selection_frequency_topk,,5,0.45,0.11180339887498951,,,0.5,0.5,0.5,0.7239583333333334,0.52,"[0, 1, 6, 37]",
core_d100_noise00_lamb0.05.csv,core_interaction,perm,selection_frequency_threshold,0.2,5,0.45,0.11180339887498951,,,0.16666666666666666,0.5,0.25,,,"[0, 1, 6, 18, 21, 23, 30, 37, 61, 66, 71, 79]",12.0
core_d100_noise00_lamb0.05.csv,core_interaction,perm,selection_frequency_threshold,0.4,5,0.45,0.11180339887498951,,,0.6666666666666666,0.5,0.5714285714285715,,,"[0, 1, 37]",3.0
core_d100_noise00_lamb0.05.csv,core_interaction,perm,selection_frequency_threshold,0.6,5,0.45,0.11180339887498951,,,1.0,0.5,0.6666666666666666,,,"[0, 1]",2.0
core_d100_noise00_lamb0.05.csv,core_interaction,perm,selection_frequency_threshold,0.8,5,0.45,0.11180339887498951,,,1.0,0.5,0.6666666666666666,,,"[0, 1]",2.0
core_d100_noise00_lamb001.csv,core_interaction,grad,selection_frequency_topk,,5,0.45,0.11180339887498948,,,0.5,0.5,0.5,0.7213541666666666,0.52,"[0, 1, 17, 18]",
core_d100_noise00_lamb001.csv,core_interaction,grad,selection_frequency_threshold,0.2,5,0.45,0.11180339887498948,,,0.15384615384615385,0.5,0.23529411764705882,,,"[0, 1, 17, 18, 20, 27, 32, 35, 45, 87, 91, 95, 97]",13.0
core_d100_noise00_lamb001.csv,core_interaction,grad,selection_frequency_threshold,0.4,5,0.45,0.11180339887498948,,,1.0,0.5,0.6666666666666666,,,"[0, 1]",2.0
core_d100_noise00_lamb001.csv,core_interaction,grad,selection_frequency_threshold,0.6,5,0.45,0.11180339887498948,,,1.0,0.5,0.6666666666666666,,,"[0, 1]",2.0
core_d100_noise00_lamb001.csv,core_interaction,grad,selection_frequency_threshold,0.8,5,0.45,0.11180339887498948,,,1.0,0.5,0.6666666666666666,,,"[0, 1]",2.0
core_d100_noise00_lamb001.csv,core_interaction,perm,selection_frequency_topk,,5,0.5,0.0,,,0.5,0.5,0.5,0.7317708333333334,0.52,"[0, 1, 18, 71]",
core_d100_noise00_lamb001.csv,core_interaction,perm,selection_frequency_threshold,0.2,5,0.5,0.0,,,0.2222222222222222,0.5,0.30769230769230765,,,"[0, 1, 18, 20, 27, 32, 40, 71, 79]",9.0
core_d100_noise00_lamb001.csv,core_interaction,perm,selection_frequency_threshold,0.4,5,0.5,0.0,,,0.4,0.5,0.4444444444444445,,,"[0, 1, 18, 71, 79]",5.0
core_d100_noise00_lamb001.csv,core_interaction,perm,selection_frequency_threshold,0.6,5,0.5,0.0,,,1.0,0.5,0.6666666666666666,,,"[0, 1]",2.0
core_d100_noise00_lamb001.csv,core_interaction,perm,selection_frequency_threshold,0.8,5,0.5,0.0,,,1.0,0.5,0.6666666666666666,,,"[0, 1]",2.0
core_d100_noise01_seeds.csv,core_interaction,grad,selection_frequency_topk,,5,0.5,0.0,,,0.5,0.5,0.5,0.7239583333333334,0.52,"[0, 1, 18, 21]",
