function,dimension,noise,samples,screen_mode,top_m,explain_method,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,screen_contains_all_true_vars_mean,screen_true_var_recall_mean,screen_contains_true_interactions_mean,variable_f1_mean,variable_f1_std,variable_auroc_mean,variable_auroc_std,variable_auprc_mean,variable_auprc_std,interaction_f1_mean,interaction_f1_std,num_runs,num_failed
core_interaction,100,0.0,2048,raw,100,grad,1.2799676785135716e-07,1.1152876680625508e-07,0.8303881684939066,0.11589288392290312,1.0,1.0,1.0,0.5833333333333334,0.14433756729740646,0.9305555555555557,0.05923167399038896,0.6638880194826486,0.1028393492252616,0.0,0.0,3,0
core_interaction,100,0.0,2048,rf,20,grad,2.872685854526935e-05,2.801076059580366e-05,4.577392974169925e-05,4.195269193933532e-05,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3,0
core_interaction,100,0.0,4096,exclude_interaction,20,grad,0.45862510800361633,0.011854514045110547,2.210255225499471,0.17781204617215088,0.0,0.0,0.0,0.0,0.0,0.3958333333333333,0.0,0.04,0.0,0.0,0.0,3,0
core_interaction,100,0.0,4096,oracle_support,20,grad,3.7525255720538553e-06,2.741935838571857e-06,5.413721131238465e-06,3.887599519954239e-06,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3,0
core_interaction,100,0.0,4096,random,20,grad,0.4517914354801178,0.005243142209505912,2.0607733726501465,0.11158443625391032,0.0,0.08333333333333333,0.0,0.0,0.0,0.43706597222222215,0.07141702548569588,0.04307692307692307,0.005329387100211912,0.0,0.0,3,0
core_interaction,100,0.0,4096,raw,100,grad,5.9457296932426594e-05,2.75030249492451e-05,0.00013336755364430676,6.107487219760868e-05,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3,0
core_interaction,100,0.0,4096,rf,20,grad,6.8397096886959235e-06,5.37983939181603e-06,9.790116109797964e-06,7.123146202976215e-06,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3,0
core_interaction,100,0.0,8192,exclude_interaction,20,grad,0.6887020270029703,0.0070223833170213685,1.5338094234466553,0.018871518001381354,0.0,0.0,0.0,0.0,0.0,0.3958333333333333,0.0,0.04,0.0,0.0,0.0,3,0
core_interaction,100,0.0,8192,oracle_support,20,grad,7.182733194592099e-06,4.905318703758352e-06,8.887552818729697e-06,6.565972089215136e-06,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3,0
core_interaction,100,0.0,8192,random,20,grad,0.6893633802731832,0.0009032137730093057,1.5130133231480916,0.054739809656157316,0.0,0.08333333333333333,0.0,0.0,0.0,0.4405381944444445,0.07743109078975452,0.0459259259259259,0.0102640047855933,0.0,0.0,3,0
core_interaction,100,0.0,8192,raw,100,grad,2.6293769527304296e-05,9.3840548783751e-06,4.467332109925337e-05,2.298379785165902e-05,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3,0
core_interaction,100,0.0,8192,rf,20,grad,1.523722941480325e-05,2.275476177370342e-05,1.7776792712235572e-05,2.6263079196768097e-05,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3,0
