function,dimension,noise,screen_method,top_m,row_type,target,original_variable,local_variable,hidden,pair,pair_in_screened_set,is_true_active,is_true_interaction,train_mse_mean,train_mse_std,train_mse_min,train_mse_max,test_mse_mean,test_mse_std,test_mse_min,test_mse_max,screen_contains_all_true_vars_mean,screen_contains_all_true_vars_std,screen_contains_all_true_vars_min,screen_contains_all_true_vars_max,screen_true_var_recall_mean,screen_true_var_recall_std,screen_true_var_recall_min,screen_true_var_recall_max,screen_contains_true_interactions_mean,screen_contains_true_interactions_std,screen_contains_true_interactions_min,screen_contains_true_interactions_max,baseline_mse_mean,baseline_mse_std,baseline_mse_min,baseline_mse_max,ablated_mse_mean,ablated_mse_std,ablated_mse_min,ablated_mse_max,delta_mse_mean,delta_mse_std,delta_mse_min,delta_mse_max,synergy_mean,synergy_std,synergy_min,synergy_max
core_interaction,100,0.0,rf,10,shared_hidden_pair_edges,"x0,x1->h2",,,2,"(0, 1)",1,,0,1.5102043183408872e-05,1.1580878329062579e-05,1.8600023850012803e-06,2.3336448066402227e-05,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,0.15896206349134445,0.23290797126492507,0.01126602292060852,0.4274521470069885,0.15892895351892852,0.23293192840095148,0.011216540580790024,0.4274465726166454,-0.03507609920325194,0.06089226944541685,-0.10538831217581901,0.0001940616057254374
core_interaction,100,0.0,rf,10,shared_hidden_pair_edges,"x0,x1->h3",,,3,"(0, 1)",1,,0,1.5102043183408872e-05,1.1580878329062579e-05,1.8600023850012803e-06,2.3336448066402227e-05,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,0.025719796409248374,0.03829686642998612,6.696891796309501e-05,0.06974074989557266,0.025686686436832435,0.03832085256389853,1.7486578144598752e-05,0.06973517550522956,0.00026688577812213526,0.00037116529484983537,2.270942786708474e-06,0.0006911656564625446
core_interaction,100,0.0,rf,10,shared_hidden_pair_edges,"x0,x1->h4",,,4,"(0, 1)",1,,0,1.5102043183408872e-05,1.1580878329062579e-05,1.8600023850012803e-06,2.3336448066402227e-05,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,1.274567037820816,0.9216104806563941,0.3192858397960663,2.1583409309387207,1.2745339278484,0.921590222336241,0.3192802654057232,2.1582966577516345,0.13173024390592522,0.18376753168790783,-0.00012226787202962441,0.34164154087920906
core_interaction,100,0.0,rf,10,shared_hidden_pair_edges,"x0,x1->h5",,,5,"(0, 1)",1,,0,1.5102043183408872e-05,1.1580878329062579e-05,1.8600023850012803e-06,2.3336448066402227e-05,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,0.028049388764581334,0.04849745490606459,4.7644607548136264e-05,0.08404942601919174,0.028016278792165394,0.04852130139691337,1.6133271856233478e-06,0.08404385162884864,-1.1822669572817782e-05,2.0539687640435743e-05,-3.553978604031727e-05,8.646748028695583e-08
core_interaction,100,0.0,rf,10,shared_hidden_pair_edges,"x0,x1->h6",,,6,"(0, 1)",1,,0,1.5102043183408872e-05,1.1580878329062579e-05,1.8600023850012803e-06,2.3336448066402227e-05,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,0.009876531568200638,0.00903403966150721,0.0004045973182655871,0.018397431820631027,0.009843421595784699,0.009011298958340002,0.0003990229279224877,0.01834794948081253,4.821021351138673e-05,0.0011115083671091287,-0.001017536960716825,0.0012004286727460567
core_interaction,100,0.0,rf,10,shared_hidden_pair_edges,"x0,x1->h7",,,7,"(0, 1)",1,,0,1.5102043183408872e-05,1.1580878329062579e-05,1.8600023850012803e-06,2.3336448066402227e-05,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,0.004721721032183268,0.007916159256396346,8.939239705796354e-06,0.013861020095646381,0.00468861105976733,0.007901655891222317,3.3648493626969866e-06,0.013811537755827885,-0.00012945997211015006,0.00022011157587215828,-0.0003836176692857407,-9.652994776843116e-07
core_interaction,100,0.0,rf,10,shared_hidden_pair_edges,"x2,x3->h0",,,0,"(2, 3)",1,,1,1.5102043183408872e-05,1.1580878329062579e-05,1.8600023850012803e-06,2.3336448066402227e-05,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,0.028130755646998296,0.04863205267893452,4.9633563321549445e-05,0.08428621292114258,0.028097645674582356,0.04865589908051874,5.360376235330477e-06,0.08428063853079948,-0.010082064421112591,0.01746414141648091,-0.030247917905398936,1.456093741580844e-06
core_interaction,100,0.0,rf,10,shared_hidden_pair_edges,"x2,x3->h1",,,1,"(2, 3)",1,,1,1.5102043183408872e-05,1.1580878329062579e-05,1.8600023850012803e-06,2.3336448066402227e-05,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,0.03820749848091509,0.058488278252557924,0.0002415183262201026,0.10556214302778244,0.038174388508499156,0.05848025079484578,0.00019203598640160635,0.10551786984069622,-0.008741998021832842,0.007584294812966608,-0.013227088883468241,1.4724086213391274e-05
core_interaction,100,0.0,rf,10,shared_hidden_pair_edges,"x2,x3->h2",,,2,"(2, 3)",1,,1,1.5102043183408872e-05,1.1580878329062579e-05,1.8600023850012803e-06,2.3336448066402227e-05,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,0.06168782926276132,0.0983563399661092,4.499492570175789e-05,0.17511729896068573,0.06165471929034538,0.09834315042269613,7.217386155389249e-07,0.17506781662086723,-0.001126636582739593,0.0059321252800564675,-0.007541221326391678,0.004161505919000774
core_interaction,100,0.0,rf,10,shared_hidden_pair_edges,"x2,x3->h3",,,3,"(2, 3)",1,,1,1.5102043183408872e-05,1.1580878329062579e-05,1.8600023850012803e-06,2.3336448066402227e-05,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,3.3109972415938195e-05,2.3988331082311257e-05,5.574390343099367e-06,4.948233981849626e-05,0.03649917544074318,0.039440956655108717,1.1661682947305962e-05,0.07834558188915253,0.03646606546832724,0.03942029464767014,6.0872926042065956e-06,0.07829609954933403,-0.024585843905242655,0.038802970124091195,-0.06931817228178261,1.713755864329869e-06
