function,dimension,noise,screen_method,top_m,row_type,target,original_variable,local_variable,hidden,pair,pair_in_screened_set,is_true_active,is_true_interaction,train_mse_mean,train_mse_std,train_mse_min,train_mse_max,test_mse_mean,test_mse_std,test_mse_min,test_mse_max,screen_contains_all_true_vars_mean,screen_contains_all_true_vars_std,screen_contains_all_true_vars_min,screen_contains_all_true_vars_max,screen_true_var_recall_mean,screen_true_var_recall_std,screen_true_var_recall_min,screen_true_var_recall_max,screen_contains_true_interactions_mean,screen_contains_true_interactions_std,screen_contains_true_interactions_min,screen_contains_true_interactions_max,baseline_mse_mean,baseline_mse_std,baseline_mse_min,baseline_mse_max,ablated_mse_mean,ablated_mse_std,ablated_mse_min,ablated_mse_max,delta_mse_mean,delta_mse_std,delta_mse_min,delta_mse_max,synergy_mean,synergy_std,synergy_min,synergy_max
core_interaction_c5,100,0.0,rf,10,shared_hidden_pair_edges,"x0,x1->h4",,,4,"(0, 1)",1,,0,0.00021444503727252595,0.00024894407733580103,2.2040130716050044e-05,0.0004956026677973568,0.0004547994382543645,0.0004968482610541817,5.696775406249799e-05,0.0010117036290466785,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,0.0004547994382543645,0.0004968482610541817,5.696775406249799e-05,0.0010117036290466785,0.01941529083220909,0.021902257029303176,0.0014799892669543624,0.043824851512908936,0.018960491393954726,0.022164187112810832,0.00046828563790768385,0.04352912458125502,-0.002235567069874378,0.002697896360984318,-0.00522366922814399,2.1424959413707256e-05
core_interaction_c5,100,0.0,rf,10,shared_hidden_pair_edges,"x0,x1->h5",,,5,"(0, 1)",1,,0,0.00021444503727252595,0.00024894407733580103,2.2040130716050044e-05,0.0004956026677973568,0.0004547994382543645,0.0004968482610541817,5.696775406249799e-05,0.0010117036290466785,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,0.0004547994382543645,0.0004968482610541817,5.696775406249799e-05,0.0010117036290466785,0.0008001554330500463,0.00026375623441706066,0.0005916770896874368,0.0010966702830046415,0.0003453559947956819,0.00028828509985100935,8.496665395796299e-05,0.0006551511723955628,-3.221713389696864e-05,0.00014532076217430218,-0.00019159467410645448,9.293836774304509e-05
core_interaction_c5,100,0.0,rf,10,shared_hidden_pair_edges,"x0,x1->h6",,,6,"(0, 1)",1,,0,0.00021444503727252595,0.00024894407733580103,2.2040130716050044e-05,0.0004956026677973568,0.0004547994382543645,0.0004968482610541817,5.696775406249799e-05,0.0010117036290466785,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,0.0004547994382543645,0.0004968482610541817,5.696775406249799e-05,0.0010117036290466785,0.00048154607308485237,0.0005139126292216707,6.013000529492274e-05,0.0010540725197643042,2.6746634830487892e-05,2.0780682211959326e-05,3.162251232424751e-06,4.236889071762562e-05,-2.0131398438631248e-05,3.418696695902203e-05,-5.9602316468954086e-05,1.3667886378243566e-07
core_interaction_c5,100,0.0,rf,10,shared_hidden_pair_edges,"x0,x1->h7",,,7,"(0, 1)",1,,0,0.00021444503727252595,0.00024894407733580103,2.2040130716050044e-05,0.0004956026677973568,0.0004547994382543645,0.0004968482610541817,5.696775406249799e-05,0.0010117036290466785,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,0.0004547994382543645,0.0004968482610541817,5.696775406249799e-05,0.0010117036290466785,0.001095311430011255,0.0015551081117091625,8.255297143477947e-05,0.0028858641162514687,0.0006405119917568906,0.001068372621394672,2.1790270693600178e-05,0.0018741604872047901,-1.140557166460591e-05,1.103355865436758e-05,-2.054520882666111e-05,8.512288331985474e-07
core_interaction_c5,100,0.0,rf,10,shared_hidden_pair_edges,"x2,x3->h0",,,0,"(2, 3)",1,,1,0.00021444503727252595,0.00024894407733580103,2.2040130716050044e-05,0.0004956026677973568,0.0004547994382543645,0.0004968482610541817,5.696775406249799e-05,0.0010117036290466785,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,0.0004547994382543645,0.0004968482610541817,5.696775406249799e-05,0.0010117036290466785,0.1506983261400213,0.2585884178669143,0.0010206904262304306,0.4492901861667633,0.1502435267017669,0.25893372503275,8.98679718375206e-06,0.4492332184127008,-0.039565584805435115,0.06847933975436901,-0.11863870857268921,-8.012866601347923e-07
core_interaction_c5,100,0.0,rf,10,shared_hidden_pair_edges,"x2,x3->h1",,,1,"(2, 3)",1,,1,0.00021444503727252595,0.00024894407733580103,2.2040130716050044e-05,0.0004956026677973568,0.0004547994382543645,0.0004968482610541817,5.696775406249799e-05,0.0010117036290466785,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,0.0004547994382543645,0.0004968482610541817,5.696775406249799e-05,0.0010117036290466785,0.22522808704525232,0.2258063620425476,0.007275360636413097,0.45814383029937744,0.22477328760699797,0.22614428251169713,0.006263657007366419,0.4578481033677235,-0.15324423150620228,0.14427354989076344,-0.28627090094596497,0.00011831801384687424
core_interaction_c5,100,0.0,rf,10,shared_hidden_pair_edges,"x2,x3->h2",,,2,"(2, 3)",1,,1,0.00021444503727252595,0.00024894407733580103,2.2040130716050044e-05,0.0004956026677973568,0.0004547994382543645,0.0004968482610541817,5.696775406249799e-05,0.0010117036290466785,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,0.0004547994382543645,0.0004968482610541817,5.696775406249799e-05,0.0010117036290466785,0.011746900961346304,0.01746003806844169,8.500422700308263e-05,0.031820498406887054,0.011292101523091938,0.01696888843350229,2.8036472940584645e-05,0.030808794777840376,0.004302976147300797,0.007603837664809427,-0.00017520168330520391,0.013082538265734911
core_interaction_c5,100,0.0,rf,10,shared_hidden_pair_edges,"x2,x3->h3",,,3,"(2, 3)",1,,1,0.00021444503727252595,0.00024894407733580103,2.2040130716050044e-05,0.0004956026677973568,0.0004547994382543645,0.0004968482610541817,5.696775406249799e-05,0.0010117036290466785,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,0.0004547994382543645,0.0004968482610541817,5.696775406249799e-05,0.0010117036290466785,0.003597019628311197,0.0037551370838529883,0.0010100272484123707,0.007904094643890858,0.0031422201900568325,0.0032628942972310606,0.0009530594943498727,0.006892391014844179,0.0006735741929636182,0.0009364812049632556,-5.199294537305832e-05,0.0017307361122220755
core_interaction_c5,100,0.0,rf,10,shared_hidden_pair_edges,"x2,x3->h4",,,4,"(2, 3)",1,,1,0.00021444503727252595,0.00024894407733580103,2.2040130716050044e-05,0.0004956026677973568,0.0004547994382543645,0.0004968482610541817,5.696775406249799e-05,0.0010117036290466785,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,0.0004547994382543645,0.0004968482610541817,5.696775406249799e-05,0.0010117036290466785,0.1568953706494843,0.2679440046249192,0.0010384194320067763,0.4662875533103943,0.15644057121122992,0.26746122448309767,0.0009814516779442783,0.4652758496813476,-0.04155376750350115,0.07205409956611744,-0.1247546630911529,8.533702930435538e-05
core_interaction_c5,100,0.0,rf,10,shared_hidden_pair_edges,"x2,x3->h5",,,5,"(2, 3)",1,,1,0.00021444503727252595,0.00024894407733580103,2.2040130716050044e-05,0.0004956026677973568,0.0004547994382543645,0.0004968482610541817,5.696775406249799e-05,0.0010117036290466785,1.0,0.0,1,1,1.0,0.0,1.0,1.0,1.0,0.0,1,1,0.0004547994382543645,0.0004968482610541817,5.696775406249799e-05,0.0010117036290466785,0.14003743306966498,0.24138308040783382,0.00014704017667099833,0.4187619388103485,0.13958263363141063,0.24152026879707497,9.007242260850035e-05,0.4184662118786946,-0.07853761744505998,0.13605222102836062,-0.23563718947116286,2.6263296604156494e-05
