row_type,model,function,seed,samples,test_samples,dimension,noise,kan_width,kan_grid,kan_k,kan_steps,kan_lamb,intervention_method,variable,pair,baseline_mse,ablated_mse,delta_mse,synergy,is_true_active,true_variables,true_interactions,formula,is_true_interaction
pair,KAN,core_interaction,1,1024,2048,20,0.0,8,5,3,50,0.0,zero,,"(2, 3)",5.533423973247409e-06,0.15363715589046478,0.15363162246649154,-0.15364448216860183,,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,1.0
pair,KAN,core_interaction,1,1024,2048,20,0.0,8,5,3,50,0.0,zero,,"(0, 1)",5.533423973247409e-06,0.9716943502426147,0.9716888168186415,-0.02547575024073012,,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,0.0
pair,KAN,core_interaction,1,1024,2048,20,0.0,8,5,3,50,0.0,permute,,"(2, 3)",5.533423973247409e-06,0.31360727548599243,0.3136017420620192,-0.31496564534609206,,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,1.0
pair,KAN,core_interaction,1,1024,2048,20,0.0,8,5,3,50,0.0,permute,,"(0, 1)",5.533423973247409e-06,1.681765079498291,1.6817595460743178,-0.0008142390579450876,,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,0.0
single_variable,KAN,core_interaction,2,1024,2048,20,0.0,8,5,3,50,0.0,zero,0,,5.4983040172373876e-05,0.6745564341545105,0.6745014511143381,,1,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,
single_variable,KAN,core_interaction,2,1024,2048,20,0.0,8,5,3,50,0.0,zero,1,,5.4983040172373876e-05,0.26936107873916626,0.2693060956989939,,1,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,
single_variable,KAN,core_interaction,2,1024,2048,20,0.0,8,5,3,50,0.0,zero,2,,5.4983040172373876e-05,0.14327862858772278,0.1432236455475504,,1,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,
single_variable,KAN,core_interaction,2,1024,2048,20,0.0,8,5,3,50,0.0,zero,3,,5.4983040172373876e-05,0.1431804597377777,0.14312547669760534,,1,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,
single_variable,KAN,core_interaction,2,1024,2048,20,0.0,8,5,3,50,0.0,zero,4,,5.4983040172373876e-05,5.510552364285104e-05,1.224834704771638e-07,,0,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,
single_variable,KAN,core_interaction,2,1024,2048,20,0.0,8,5,3,50,0.0,zero,5,,5.4983040172373876e-05,5.3843708883505315e-05,-1.1393312888685614e-06,,0,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,
single_variable,KAN,core_interaction,2,1024,2048,20,0.0,8,5,3,50,0.0,permute,0,,5.4983040172373876e-05,1.3614921569824219,1.3614371739422495,,1,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,
single_variable,KAN,core_interaction,2,1024,2048,20,0.0,8,5,3,50,0.0,permute,1,,5.4983040172373876e-05,0.2406856119632721,0.24063062892309972,,1,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,
single_variable,KAN,core_interaction,2,1024,2048,20,0.0,8,5,3,50,0.0,permute,2,,5.4983040172373876e-05,0.29061785340309143,0.29056287036291906,,1,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,
single_variable,KAN,core_interaction,2,1024,2048,20,0.0,8,5,3,50,0.0,permute,3,,5.4983040172373876e-05,0.29332107305526733,0.29326609001509496,,1,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,
single_variable,KAN,core_interaction,2,1024,2048,20,0.0,8,5,3,50,0.0,permute,4,,5.4983040172373876e-05,5.432368925539777e-05,-6.593509169761091e-07,,0,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,
single_variable,KAN,core_interaction,2,1024,2048,20,0.0,8,5,3,50,0.0,permute,5,,5.4983040172373876e-05,5.460202373797074e-05,-3.8101643440313637e-07,,0,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,
pair,KAN,core_interaction,2,1024,2048,20,0.0,8,5,3,50,0.0,zero,,"(2, 3)",5.4983040172373876e-05,0.14324039220809937,0.143185409167927,-0.14316371307722875,,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,1.0
pair,KAN,core_interaction,2,1024,2048,20,0.0,8,5,3,50,0.0,zero,,"(0, 1)",5.4983040172373876e-05,0.9349794387817383,0.9349244557415659,-0.008883091071766103,,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,0.0
pair,KAN,core_interaction,2,1024,2048,20,0.0,8,5,3,50,0.0,permute,,"(2, 3)",5.4983040172373876e-05,0.2804577946662903,0.2804028116261179,-0.3034261487518961,,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,1.0
pair,KAN,core_interaction,2,1024,2048,20,0.0,8,5,3,50,0.0,permute,,"(0, 1)",5.4983040172373876e-05,1.561477541923523,1.5614225588833506,-0.04064524398199865,,"[0, 1, 2, 3]","[(2, 3)]",sin(2*pi*x0) + x1^2 + x2*x3,0.0
