function,dimension,noise,row_type,intervention_method,variable,pair,baseline_mse_mean,baseline_mse_std,baseline_mse_min,baseline_mse_max,ablated_mse_mean,ablated_mse_std,ablated_mse_min,ablated_mse_max,delta_mse_mean,delta_mse_std,delta_mse_min,delta_mse_max,synergy_mean,synergy_std,synergy_min,synergy_max
correlated_proxy,100,0.05,single_variable,permute,3,,1.9535421133041382,0.1124713185136926,1.8545145988464355,2.075822353363037,1.932914932568868,0.1236186697940308,1.8353729248046875,2.071939706802368,-0.020627180735270183,0.017534545116916152,-0.038857221603393555,-0.0038826465606689453,,,,
correlated_proxy,100,0.05,single_variable,permute,4,,1.9535421133041382,0.1124713185136926,1.8545145988464355,2.075822353363037,1.9943817456563313,0.15644800487431243,1.8404176235198975,2.153200626373291,0.0408396323521932,0.04843339919352867,-0.014096975326538086,0.0773782730102539,,,,
correlated_proxy,100,0.05,single_variable,permute,5,,1.9535421133041382,0.1124713185136926,1.8545145988464355,2.075822353363037,1.9528849124908447,0.14119806157329734,1.8192737102508545,2.10060977935791,-0.000657200813293457,0.031040158903574554,-0.035240888595581055,0.024787425994873047,,,,
correlated_proxy,100,0.05,single_variable,permute,33,,1.9535421133041382,0.1124713185136926,1.8545145988464355,2.075822353363037,1.9605446259180705,0.12388240995910133,1.8540502786636353,2.0965025424957275,0.007002512613932292,0.01186185075579636,-0.00046432018280029297,0.02068018913269043,,,,
correlated_proxy,100,0.05,single_variable,permute,73,,1.9535421133041382,0.1124713185136926,1.8545145988464355,2.075822353363037,1.9568791389465332,0.10163724391855367,1.8678288459777832,2.067605972290039,0.0033370256423950195,0.01085150946271893,-0.008216381072998047,0.013314247131347656,,,,
correlated_proxy,100,0.05,single_variable,permute,95,,1.9535421133041382,0.1124713185136926,1.8545145988464355,2.075822353363037,1.988547722498576,0.11036431234173721,1.9151501655578613,2.1154677867889404,0.03500560919443766,0.028237230550467736,0.004735827445983887,0.06063556671142578,,,,
correlated_proxy,100,0.05,single_variable,zero,0,,1.9535421133041382,0.1124713185136926,1.8545145988464355,2.075822353363037,2.037023146947225,0.09273247588953477,1.9466955661773682,2.131986618041992,0.08348103364308675,0.024171070192660304,0.05616426467895508,0.10209786891937256,,,,
correlated_proxy,100,0.05,single_variable,zero,1,,1.9535421133041382,0.1124713185136926,1.8545145988464355,2.075822353363037,1.9511163234710693,0.11484456424478835,1.8427679538726807,2.0715079307556152,-0.0024257898330688477,0.010394659533323362,-0.011746644973754883,0.008783698081970215,,,,
correlated_proxy,100,0.05,single_variable,zero,2,,1.9535421133041382,0.1124713185136926,1.8545145988464355,2.075822353363037,1.9431540966033936,0.11811527080869733,1.8347172737121582,2.0690126419067383,-0.010388016700744629,0.008226176262727414,-0.019797325134277344,-0.004557013511657715,,,,
correlated_proxy,100,0.05,single_variable,zero,3,,1.9535421133041382,0.1124713185136926,1.8545145988464355,2.075822353363037,1.9247851769129436,0.14802982972321052,1.8376116752624512,2.0957038402557373,-0.02875693639119466,0.05552273706966035,-0.0892493724822998,0.019881486892700195,,,,
