model,function,screen_mode,dimension,samples,noise,grid,k,width_hidden,lamb,steps,opt,update_grid,interaction_method,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,effective_dim_mean,screen_contains_all_true_vars_mean,screen_true_var_recall_mean,screen_contains_all_interaction_endpoints_mean,screen_interaction_endpoint_recall_mean,screen_contains_true_interactions_mean,explain_contains_all_interaction_endpoints_mean,explain_interaction_endpoint_recall_mean,selected_interaction_endpoint_recall_mean,selected_interaction_contains_all_endpoints_mean,variable_f1_mean,variable_f1_std,variable_auroc_mean,variable_auroc_std,variable_auprc_mean,variable_auprc_std,interaction_f1_mean,interaction_f1_std,true_interaction_best_rank_mean,true_interaction_best_rank_std,true_interaction_worst_rank_mean,true_interaction_worst_rank_std,true_interaction_rank_mean_mean,true_interaction_rank_mean_std,true_interaction_score_mean_mean,true_interaction_score_mean_std,max_nontrue_interaction_score_mean,max_nontrue_interaction_score_std,true_interaction_mean_score_margin_mean,true_interaction_mean_score_margin_std,true_interaction_beats_all_false_mean,source_file
KAN_tuned_fixed,core_interaction_c025,exclude_interaction,500,2048,0.0,5,3,8,0.001,100,LBFGS,0,fd,0.6676000356674194,0.0785173187006556,1.4117164611816406,0.1294543989347255,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4939516129032258,0.0,0.008,0.0,0.0,0.0,1013.0,0.0,1013.0,0.0,1013.0,0.0,0.0,0.0,85.27792263031006,24.68155289647396,-85.27792263031006,24.68155289647396,0.0,c025_n2048_d500_top6_screen_summary.csv
KAN_tuned_fixed,core_interaction_c025,oracle_support,500,2048,0.0,5,3,8,0.001,100,LBFGS,0,fd,0.0028988162721361,0.0049022304028364,0.0032271667696477,0.005480143169435,6.0,1.0,1.0,1.0,1.0,1.0,0.75,0.875,0.375,0.375,0.9375,0.1157275124715689,0.9998109879032258,0.000375012000576,0.9833333333333334,0.032120803721981,0.375,0.5175491695067657,3.875,4.421942042651783,3.875,4.421942042651783,3.875,4.421942042651783,0.2098211953998543,0.1290175016708935,0.2933710059151053,0.232290209770448,-0.083549810515251,0.2269886902456694,0.375,c025_n2048_d500_top6_screen_summary.csv
KAN_tuned_fixed,core_interaction_c025,random,500,2048,0.0,5,3,8,0.001,100,LBFGS,0,fd,0.6679104790091515,0.071293963057092,1.4195345044136047,0.0965800258964801,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4939516129032258,0.0,0.008,0.0,0.0,0.0,1013.0,0.0,1013.0,0.0,1013.0,0.0,0.0,0.0,79.97631454467773,23.15030591406489,-79.97631454467773,23.15030591406489,0.0,c025_n2048_d500_top6_screen_summary.csv
KAN_tuned_fixed,core_interaction_c025,rf,500,2048,0.0,5,3,8,0.001,100,LBFGS,0,fd,0.0114263267023488,0.0003403027192666,0.01224980072584,0.0002823492728406,6.0,0.0,0.53125,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.53125,0.0883883476483184,0.763703377016129,0.0444614772948698,0.5271875,0.0655841539550522,0.0,0.0,1004.0,0.0,1004.0,0.0,1004.0,0.0,0.0,0.0,0.4814032986760139,0.2501993226651452,-0.4814032986760139,0.2501993226651452,0.0,c025_n2048_d500_top6_screen_summary.csv
KAN_tuned_fixed,core_interaction_c025,exclude_interaction,100,512,0.0,5,3,8,0.001,100,LBFGS,0,fd,0.1188614122569561,0.0422178982892924,2.7869703710079192,0.841833419396627,4.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0790569415042094,0.492578125,0.042410755077779,0.064,0.0758946638440411,0.0,0.0,203.7,0.9486832980505132,203.7,0.9486832980505132,203.7,0.9486832980505132,0.0,0.0,143.9936195373535,61.13259626171566,-143.9936195373535,61.13259626171566,0.0,c025_n512_d100_top4_screen_summary.csv
KAN_tuned_fixed,core_interaction_c025,oracle_support,100,512,0.0,5,3,8,0.001,100,LBFGS,0,fd,0.0002172672568121,7.191924107084463e-05,0.0002571758595877,8.974748714308919e-05,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.6,1.0,0.0,1.0,0.0,1.0,0.0,0.6,0.5163977794943222,1.4,0.5163977794943222,1.4,0.5163977794943222,1.4,0.5163977794943222,0.2706714734435081,0.0132927472934236,0.2804873488843441,0.2502239284243424,-0.0098158754408359,0.2514450498887609,0.6,c025_n512_d100_top4_screen_summary.csv
KAN_tuned_fixed,core_interaction_c025,random,100,512,0.0,5,3,8,0.001,100,LBFGS,0,fd,0.1159367425367236,0.0370402008646285,2.75453160405159,0.6950890713144113,4.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0790569415042094,0.492578125,0.042410755077779,0.064,0.0758946638440411,0.0,0.0,203.7,0.9486832980505132,203.7,0.9486832980505132,203.7,0.9486832980505132,0.0,0.0,142.8164810180664,46.28072634324887,-142.8164810180664,46.28072634324887,0.0,c025_n512_d100_top4_screen_summary.csv
KAN_tuned_fixed,core_interaction_c025,rf,100,512,0.0,5,3,8,0.001,100,LBFGS,0,fd,0.0102546478621661,0.0009321109635987,0.0129936740733683,0.0006147347181938,4.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.7447916666666666,0.0,0.52,0.0,0.0,0.0,199.0,0.0,199.0,0.0,199.0,0.0,0.0,0.0,0.9825863391160964,0.3556412260348212,-0.9825863391160964,0.3556412260348212,0.0,c025_n512_d100_top4_screen_summary.csv
KAN_tuned_fixed,core_interaction_c05,exclude_interaction,1000,1024,0.0,5,3,8,0.001,100,LBFGS,0,fd,0.2471702136099338,0.0414193622322723,2.3870630264282227,0.2589236940115122,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4969879518072289,0.0,0.004,0.0,0.0,0.0,2013.0,0.0,2013.0,0.0,2013.0,0.0,0.0,0.0,122.40821933746338,35.34404905129059,-122.40821933746338,35.34404905129059,0.0,c05_n1024_d1000_top6_screen_summary.csv
KAN_tuned_fixed,core_interaction_c05,oracle_support,1000,1024,0.0,5,3,8,0.001,100,LBFGS,0,fd,0.0003992126366938,0.0005338423299016,0.0004766435104102,0.0006475086883688,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5818073898553848,0.0164111024933268,0.2099822387099266,0.1676093717329978,0.3718251511454582,0.1628718661758192,1.0,c05_n1024_d1000_top6_screen_summary.csv
