model,function,screen_mode,dimension,samples,noise,grid,k,width_hidden,lamb,steps,opt,update_grid,interaction_method,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,effective_dim_mean,screen_contains_all_true_vars_mean,screen_true_var_recall_mean,screen_contains_all_interaction_endpoints_mean,screen_interaction_endpoint_recall_mean,screen_contains_true_interactions_mean,screen_endpoint_recall_mean,screen_contains_all_endpoints_mean,explain_contains_all_interaction_endpoints_mean,explain_interaction_endpoint_recall_mean,selected_interaction_endpoint_recall_mean,selected_interaction_contains_all_endpoints_mean,variable_f1_mean,variable_f1_std,variable_auroc_mean,variable_auroc_std,variable_auprc_mean,variable_auprc_std,interaction_f1_mean,interaction_f1_std,true_interaction_score_mean_mean,true_interaction_score_mean_std,max_nontrue_interaction_score_mean,max_nontrue_interaction_score_std,true_interaction_mean_score_margin_mean,true_interaction_mean_score_margin_std,true_interaction_beats_all_false_mean,true_interaction_rank_lower_bound_mean,true_interaction_rank_lower_bound_std,num_rows,failure_stage_interaction_ranking_misses_pair_count,failure_stage_screen_misses_endpoint_count,failure_stage_variable_ranking_misses_endpoint_count,num_failed,failure_stage_recovered_count
KAN_tuned_fixed,core_interaction_c01,exclude_interaction,100,512,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.11992036253213878,0.04012971977884773,2.636528807878494,0.8374837894663916,4.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.10540925533894598,0.5059895833333333,0.056547673437038724,0.08800000000000001,0.10119288512538815,0.0,0.0,0.0,0.0,130.09191970825196,37.82979917163406,-130.09191970825196,37.82979917163406,0.0,2.0,0.0,10,0.0,10,0.0,0,
KAN_tuned_fixed,core_interaction_c01,oracle_support,100,512,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.0016413279576226601,0.0006148166283740286,0.0019506634038406801,0.0007091866200176141,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.016142512601800232,0.0314499400969891,0.4475631289184093,0.27457361342763836,-0.4314206163166091,0.27939245464382373,0.0,2.0,0.0,10,10.0,0,0.0,0,
KAN_tuned_fixed,core_interaction_c01,random,100,512,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.12432246804237364,0.032382513895202504,2.6520377933979034,0.8765417326123949,4.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.10540925533894598,0.5059895833333333,0.056547673437038724,0.08800000000000001,0.10119288512538815,0.0,0.0,0.0,0.0,137.14640693664552,61.9044525515395,-137.14640693664552,61.9044525515395,0.0,2.0,0.0,10,0.0,10,0.0,0,
KAN_tuned_fixed,core_interaction_c01,raw,100,512,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.00049202190712091,8.094650064510952e-05,0.0047133145621046,0.0014841517367644521,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.6802083333333333,0.09700341200486928,0.5356644446911243,0.022229610727057644,0.0,0.0,0.00164220909355203,0.0003295742327337301,0.4526371508836746,0.23985767498939198,-0.45099494179012256,0.24005669702214158,0.0,2.0,0.0,10,0.0,0,10.0,0,
KAN_tuned_fixed,core_interaction_c01,rf,100,512,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.00216285580536344,0.000768851039000216,0.00254059350118037,0.0007363078210822762,4.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.7447916666666666,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.4478388551622629,0.3210733812984452,-0.4478388551622629,0.3210733812984452,0.0,2.0,0.0,10,0.0,10,0.0,0,
KAN_tuned_fixed,core_interaction_c01,exclude_interaction,50,512,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.13540015220642088,0.05766173019533509,2.3063523918390274,1.0908846783397204,4.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.10540925533894598,0.4853260869565218,0.06072489709743624,0.126,0.0969765149118303,0.0,0.0,0.0,0.0,120.23147773742676,51.959801227040764,-120.23147773742676,51.959801227040764,0.0,2.0,0.0,10,0.0,10,0.0,0,
KAN_tuned_fixed,core_interaction_c01,oracle_support,50,512,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.00190920592285689,0.0004917745292457805,0.00232029660837719,0.0006306736068555635,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.007205104338936461,0.01835951947264852,0.415752325206995,0.28665515630245164,-0.4085472208680585,0.2947684172703867,0.0,2.0,0.0,10,10.0,0,0.0,0,
KAN_tuned_fixed,core_interaction_c01,random,50,512,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.12687451094388957,0.06818819283678217,2.3536473751068114,1.1266863226323653,4.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.10540925533894598,0.4853260869565218,0.06072489709743624,0.126,0.0969765149118303,0.0,0.0,0.0,0.0,124.76662712097168,58.77440935288486,-124.76662712097168,58.77440935288486,0.0,2.0,0.0,10,0.0,10,0.0,0,
KAN_tuned_fixed,core_interaction_c01,raw,50,512,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.00098923186305906,0.00031060269385535787,0.00315152276889415,0.0012799139692435638,50.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.15,0.0,0.0,0.575,0.16873713942763824,0.7847826086956522,0.1189929210915561,0.6501940217311315,0.14308035906508157,0.0,0.0,0.00869082428980613,0.023370872045015284,0.3367160014808178,0.14501522878332143,-0.32802517719101165,0.1597092759327318,0.0,2.0,0.0,10,1.0,0,9.0,0,
KAN_tuned_fixed,core_interaction_c01,rf,50,512,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.00209347208729009,0.0003778944340626096,0.00250726209487761,0.0006071349419543995,4.0,0.0,0.525,0.0,0.05,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.525,0.07905694150420949,0.7524456521739131,0.04210641449680718,0.5630000000000001,0.07273238618387272,0.0,0.0,0.0,0.0,0.37128607779741285,0.1978496395180185,-0.37128607779741285,0.1978496395180185,0.0,2.0,0.0,10,0.0,10,0.0,0,
