model,function,screen_mode,dimension,samples,noise,grid,k,width_hidden,lamb,steps,opt,update_grid,interaction_method,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,effective_dim_mean,screen_contains_all_true_vars_mean,screen_true_var_recall_mean,screen_contains_all_interaction_endpoints_mean,screen_interaction_endpoint_recall_mean,screen_contains_true_interactions_mean,screen_endpoint_recall_mean,screen_contains_all_endpoints_mean,explain_contains_all_interaction_endpoints_mean,explain_interaction_endpoint_recall_mean,selected_interaction_endpoint_recall_mean,selected_interaction_contains_all_endpoints_mean,variable_f1_mean,variable_f1_std,variable_auroc_mean,variable_auroc_std,variable_auprc_mean,variable_auprc_std,interaction_f1_mean,interaction_f1_std,true_interaction_score_mean_mean,true_interaction_score_mean_std,max_nontrue_interaction_score_mean,max_nontrue_interaction_score_std,true_interaction_mean_score_margin_mean,true_interaction_mean_score_margin_std,true_interaction_beats_all_false_mean,true_interaction_rank_lower_bound_mean,true_interaction_rank_lower_bound_std,num_rows,failure_stage_interaction_ranking_misses_pair_count,failure_stage_screen_misses_endpoint_count,failure_stage_variable_ranking_misses_endpoint_count,num_failed,interaction_strength,test_mse,variable_f1,explain_interaction_endpoint_recall,interaction_f1,true_interaction_mean_score_margin,true_interaction_beats_all_false,failure_stage_recovered_count
KAN_tuned_fixed,core_interaction_c025,oracle_support,100,128,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.0002807013894198,7.035794304483002e-05,0.0010172611975576,0.0005976851910016,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.55,0.5,1.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5270462766947299,0.2565093114972114,0.0325674765302643,0.3896221421658992,0.302597313625767,-0.1331128306686878,0.3236898546026377,0.5,1.5,0.5270462766947299,10,5.0,0,0.0,0,0.25,0.0010172611975576,1.0,1.0,0.5,-0.1331128306686878,0.5,5.0
KAN_tuned_fixed,core_interaction_c025,random,100,128,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.000196133468853,0.0003214459355886,2.570471131801605,0.848372554604239,4.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1054092553389459,0.50546875,0.0554632479665588,0.0713333333333333,0.0768548415304245,0.0,0.0,0.0,0.0,43.32161960601807,17.19726634432026,-43.32161960601807,17.19726634432026,0.0,2.0,0.0,10,0.0,10,0.0,0,0.25,2.570471131801605,0.05,0.0,0.0,-43.32161960601807,0.0,0.0
KAN_tuned_fixed,core_interaction_c025,raw,100,128,0.0,5,3,8,0.001,50,LBFGS,0,fd,2.481815918145003e-05,2.431495916927796e-05,1.436101885139942,0.9618633817902442,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.1290994448735805,0.7203125,0.1300936995389178,0.4523249217444623,0.16369322028981,0.0,0.0,0.0188271458726375,0.0181978999685107,2.4950050950050358,1.796046078765963,-2.476177949132398,1.7916754033570574,0.0,2.0,0.0,10,0.0,0,10.0,0,0.25,1.436101885139942,0.4,0.0,0.0,-2.476177949132398,0.0,0.0
KAN_tuned_fixed,core_interaction_c025,rf,100,128,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.0019258013548096,0.0012602742159248,0.1350665923207998,0.2050060773964727,4.0,0.0,0.475,0.0,0.05,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.475,0.1419115530493866,0.7313802083333333,0.0740931309805254,0.496,0.1362350909274112,0.0,0.0,0.0,0.0,6.541408181190491,6.188881243476779,-6.541408181190491,6.188881243476779,0.0,2.0,0.0,10,0.0,10,0.0,0,0.25,0.1350665923207998,0.475,0.05,0.0,-6.541408181190491,0.0,0.0
KAN_tuned_fixed,core_interaction_c025,exclude_interaction,50,128,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.0001545495702884,0.0001169776123072,2.4120134711265564,1.005604187441734,4.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1054092553389459,0.4853260869565218,0.0607248970974362,0.126,0.0969765149118303,0.0,0.0,0.0,0.0,48.53326148986817,18.716997970211363,-48.53326148986817,18.716997970211363,0.0,2.0,0.0,10,0.0,10,0.0,0,0.25,2.4120134711265564,0.05,0.0,0.0,-48.53326148986817,0.0,0.0
KAN_tuned_fixed,core_interaction_c025,oracle_support,50,128,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.0003023605328052,7.929586188951723e-05,0.0010401792300398,0.0004605820578214,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.2,1.0,0.0,1.0,0.0,1.0,0.0,0.2,0.4216370213557839,0.2495747342705726,0.0332921357554871,0.5479828044772148,0.2531002297558253,-0.2984080702066422,0.2712341501353544,0.2,1.8,0.4216370213557839,10,8.0,0,0.0,0,0.25,0.0010401792300398,1.0,1.0,0.2,-0.2984080702066422,0.2,2.0
KAN_tuned_fixed,core_interaction_c025,random,50,128,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.0001377133612549,0.0001395336401089,2.2942385494709017,0.9694716919465686,4.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1054092553389459,0.4853260869565218,0.0607248970974362,0.126,0.0969765149118303,0.0,0.0,0.0,0.0,53.06895580291748,42.03755682843092,-53.06895580291748,42.03755682843092,0.0,2.0,0.0,10,0.0,10,0.0,0,0.25,2.2942385494709017,0.05,0.0,0.0,-53.06895580291748,0.0,0.0
KAN_tuned_fixed,core_interaction_c025,raw,50,128,0.0,5,3,8,0.001,50,LBFGS,0,fd,7.820546725269442e-05,8.754285558273636e-05,0.2925567977130412,0.3883617415998076,50.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.05,0.0,0.0,0.5,0.1178511301977579,0.7396739130434783,0.1367111616289088,0.5833744605009865,0.0992757304284218,0.0,0.0,0.0307730016764252,0.0498692114800091,1.944363796710968,1.0049356767471471,-1.9135907950345428,0.9806770882469332,0.0,2.0,0.0,10,0.0,0,10.0,0,0.25,0.2925567977130412,0.5,0.05,0.0,-1.9135907950345428,0.0,0.0
KAN_tuned_fixed,core_interaction_c025,rf,50,128,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.0024026759725529,0.0013588843825755,0.0773889522999524,0.1530697792081674,4.0,0.0,0.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.475,0.0790569415042094,0.7252717391304349,0.0438250436599422,0.517,0.0727323861838727,0.0,0.0,0.0,0.0,4.351997137069702,4.719618952474769,-4.351997137069702,4.719618952474769,0.0,2.0,0.0,10,0.0,10,0.0,0,0.25,0.0773889522999524,0.475,0.0,0.0,-4.351997137069702,0.0,0.0
KAN_tuned_fixed,core_interaction_c025,exclude_interaction,100,256,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.0029994040436576,0.002612919579597,3.487938648462296,1.1081454126795809,4.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1054092553389459,0.5057291666666667,0.0560020308084288,0.0755,0.0804311299601508,0.0,0.0,0.0,0.0,90.25394134521484,31.60175317042965,-90.25394134521484,31.60175317042965,0.0,2.0,0.0,10,0.0,10,0.0,0,0.25,3.487938648462296,0.05,0.0,0.0,-90.25394134521484,0.0,0.0
