model,function,screen_mode,dimension,samples,noise,grid,k,width_hidden,lamb,steps,opt,update_grid,interaction_method,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,effective_dim_mean,screen_contains_all_true_vars_mean,screen_true_var_recall_mean,screen_contains_all_interaction_endpoints_mean,screen_interaction_endpoint_recall_mean,screen_contains_true_interactions_mean,variable_f1_mean,variable_f1_std,variable_auroc_mean,variable_auroc_std,variable_auprc_mean,variable_auprc_std,interaction_f1_mean,interaction_f1_std,true_interaction_score_mean_mean,true_interaction_score_mean_std,max_nontrue_interaction_score_mean,max_nontrue_interaction_score_std,function_tag,c,n,d,test_mse,variable_f1,interaction_f1
KAN_tuned_fixed,core_interaction_c025,exclude_interaction,50,128,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.0001545495702885,0.0001169776123072,2.4120134711265564,1.005604187441734,4.0,0.0,0.05,0.0,0.0,0.0,0.05,0.1054092553389459,0.4853260869565218,0.0607248970974362,0.126,0.0969765149118303,0.0,0.0,0.0,0.0,48.53326148986817,18.716997970211363,core_interaction_c025,0.25,128,50,2.4120134711265564,0.05,0.0
KAN_tuned_fixed,core_interaction_c025,oracle_support,50,128,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.0003023605328053,7.929586188952978e-05,0.0010401792300399,0.0004605820578214,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.2,0.4216370213557839,0.2495747342705726,0.0332921357554871,0.5479828044772148,0.2531002297558253,core_interaction_c025,0.25,128,50,0.0010401792300399,1.0,0.2
KAN_tuned_fixed,core_interaction_c025,random,50,128,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.000137713361255,0.0001395336401089,2.2942385494709017,0.9694716919465683,4.0,0.0,0.05,0.0,0.0,0.0,0.05,0.1054092553389459,0.4853260869565218,0.0607248970974362,0.126,0.0969765149118303,0.0,0.0,0.0,0.0,53.06895580291748,42.03755682843092,core_interaction_c025,0.25,128,50,2.2942385494709017,0.05,0.0
KAN_tuned_fixed,core_interaction_c025,raw,50,128,0.0,5,3,8,0.001,50,LBFGS,0,fd,7.820546725270105e-05,8.754285558275693e-05,0.2925567977130413,0.3883617415998076,50.0,1.0,1.0,1.0,1.0,1.0,0.5,0.1178511301977579,0.7396739130434782,0.1367111616289088,0.5833744605009865,0.0992757304284218,0.0,0.0,0.0307730016764253,0.0498692114800091,1.944363796710968,1.0049356767471471,core_interaction_c025,0.25,128,50,0.2925567977130413,0.5,0.0
KAN_tuned_fixed,core_interaction_c025,rf,50,128,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.0024026759725529,0.0013588843825755,0.0773889522999525,0.1530697792081674,4.0,0.0,0.475,0.0,0.0,0.0,0.475,0.0790569415042094,0.7252717391304349,0.0438250436599422,0.517,0.0727323861838727,0.0,0.0,0.0,0.0,4.351997137069702,4.719618952474769,core_interaction_c025,0.25,128,50,0.0773889522999525,0.475,0.0
KAN_tuned_fixed,core_interaction_c1,exclude_interaction,100,1024,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.4469713777303695,0.1192862224563005,1.607996654510498,0.4355176589605844,4.0,0.0,0.05,0.0,0.0,0.0,0.05,0.1054092553389459,0.5057291666666667,0.0560020308084288,0.0755,0.0804311299601508,0.0,0.0,0.0,0.0,116.64422607421876,29.090401608680786,core_interaction_c1,1.0,1024,100,1.607996654510498,0.05,0.0
KAN_tuned_fixed,core_interaction_c1,oracle_support,100,1024,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.0002483401942299,6.443297784448896e-05,0.0002879327323171,9.319520630835608e-05,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.149751102924347,0.0305551293986584,0.2132069081068039,0.110311542903459,core_interaction_c1,1.0,1024,100,0.0002879327323171,1.0,1.0
KAN_tuned_fixed,core_interaction_c1,random,100,1024,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.4849653273820877,0.1413292838346571,1.5270348131656646,0.4217332115065875,4.0,0.0,0.05,0.0,0.0,0.0,0.05,0.1054092553389459,0.5059895833333333,0.0565476734370387,0.088,0.1011928851253881,0.0,0.0,0.0,0.0,104.78367805480956,39.14394256065752,core_interaction_c1,1.0,1024,100,1.5270348131656646,0.05,0.0
KAN_tuned_fixed,core_interaction_c1,raw,100,1024,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.0003385885953321,0.0002667682228733,0.0636939416523091,0.1368648091910222,100.0,1.0,1.0,1.0,1.0,1.0,0.925,0.1687371394276382,0.98515625,0.0460323239745892,0.950952380952381,0.1384287161257509,0.8,0.4216370213557839,0.9146260887384414,0.3688711500738921,0.3926704719662666,0.2904542852722072,core_interaction_c1,1.0,1024,100,0.0636939416523091,0.925,0.8
KAN_tuned_fixed,core_interaction_c1,rf,100,1024,0.0,5,3,8,0.001,50,LBFGS,0,fd,0.0002841093810275,9.75530728683184e-05,0.000333972518274,0.0001189592831871,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.1466290473937988,0.0365922529577514,0.2614653259515762,0.1413899000691976,core_interaction_c1,1.0,1024,100,0.000333972518274,1.0,1.0
