nohup: 忽略输入
/home/perzival/anaconda3/envs/prism/lib/python3.10/site-packages/torch/cuda/__init__.py:180: UserWarning: CUDA initialization: CUDA unknown error - this may be due to an incorrectly set up environment, e.g. changing env variable CUDA_VISIBLE_DEVICES after program start. Setting the available devices to be zero. (Triggered internally at /pytorch/c10/cuda/CUDAFunctions.cpp:119.)
  return torch._C._cuda_getDeviceCount() > 0
Using device=cpu
[TUNE] function=core_interaction_c5 screen=rf seed=4 trial=8/47 params={'hidden': 64, 'depth': 2, 'activation': 'gelu', 'lr': 0.007399284867721285, 'weight_decay': 0.0001, 'dropout': 0.0}
[TUNE] function=core_interaction_c5 screen=rf seed=4 trial=9/47 params={'hidden': 256, 'depth': 3, 'activation': 'silu', 'lr': 0.00011867665333965294, 'weight_decay': 0.0001, 'dropout': 0.0}
[TUNE] function=core_interaction_c5 screen=rf seed=4 trial=10/47 params={'hidden': 256, 'depth': 2, 'activation': 'softplus', 'lr': 0.0017372561982551438, 'weight_decay': 0.01, 'dropout': 0.0}
[TUNE] function=core_interaction_c5 screen=rf seed=4 trial=11/47 params={'hidden': 512, 'depth': 2, 'activation': 'softplus', 'lr': 0.00013333884093522815, 'weight_decay': 0.0, 'dropout': 0.0}
[TUNE] function=core_interaction_c5 screen=rf seed=4 trial=12/47 params={'hidden': 128, 'depth': 2, 'activation': 'tanh', 'lr': 0.00018302651967174306, 'weight_decay': 0.001, 'dropout': 0.0}
[TUNE] function=core_interaction_c5 screen=rf seed=4 trial=13/47 params={'hidden': 64, 'depth': 4, 'activation': 'tanh', 'lr': 1.0028057714624552e-05, 'weight_decay': 0.001, 'dropout': 0.0}
[TUNE] function=core_interaction_c5 screen=rf seed=4 trial=14/47 params={'hidden': 64, 'depth': 4, 'activation': 'softplus', 'lr': 0.0003967339957316049, 'weight_decay': 0.001, 'dropout': 0.0}
[TUNE] function=core_interaction_c5 screen=rf seed=4 trial=15/47 params={'hidden': 64, 'depth': 2, 'activation': 'silu', 'lr': 0.00019471125378413777, 'weight_decay': 0.001, 'dropout': 0.0}
[TUNE] function=core_interaction_c5 screen=rf seed=4 trial=16/47 params={'hidden': 512, 'depth': 3, 'activation': 'gelu', 'lr': 1.0291167405492094e-05, 'weight_decay': 0.01, 'dropout': 0.0}
[TUNE] function=core_interaction_c5 screen=rf seed=4 trial=17/47 params={'hidden': 512, 'depth': 3, 'activation': 'tanh', 'lr': 0.0006502986173035738, 'weight_decay': 0.0, 'dropout': 0.0}
[TUNE] function=core_interaction_c5 screen=rf seed=4 trial=18/47 params={'hidden': 64, 'depth': 3, 'activation': 'tanh', 'lr': 0.0002546344505300795, 'weight_decay': 0.0001, 'dropout': 0.0}
[TUNE] function=core_interaction_c5 screen=rf seed=4 trial=19/47 params={'hidden': 256, 'depth': 2, 'activation': 'gelu', 'lr': 0.0016892209084201763, 'weight_decay': 0.001, 'dropout': 0.0}
[TUNE] function=core_interaction_c5 screen=rf seed=4 trial=20/47 params={'hidden': 128, 'depth': 3, 'activation': 'silu', 'lr': 0.00021695550569439067, 'weight_decay': 0.0, 'dropout': 0.0}
[TUNE] function=core_interaction_c5 screen=rf seed=4 trial=21/47 params={'hidden': 128, 'depth': 3, 'activation': 'gelu', 'lr': 7.485564954353444e-05, 'weight_decay': 1e-05, 'dropout': 0.0}
[TUNE] function=core_interaction_c5 screen=rf seed=4 trial=22/47 params={'hidden': 512, 'depth': 3, 'activation': 'gelu', 'lr': 0.008403696956846014, 'weight_decay': 0.01, 'dropout': 0.0}
[TUNE] function=core_interaction_c5 screen=rf seed=4 trial=23/47 params={'hidden': 64, 'depth': 2, 'activation': 'gelu', 'lr': 0.00022945747209788313, 'weight_decay': 0.01, 'dropout': 0.0}
[TUNE] function=core_interaction_c5 screen=rf seed=4 trial=24/47 params={'hidden': 256, 'depth': 2, 'activation': 'gelu', 'lr': 0.00028134390180753314, 'weight_decay': 0.001, 'dropout': 0.0}
[TUNE] function=core_interaction_c5 screen=rf seed=4 trial=25/47 params={'hidden': 128, 'depth': 4, 'activation': 'softplus', 'lr': 4.042688174926485e-05, 'weight_decay': 0.0, 'dropout': 0.0}
[TUNE] function=core_interaction_c5 screen=rf seed=4 trial=26/47 params={'hidden': 64, 'depth': 3, 'activation': 'tanh', 'lr': 0.005277400572095736, 'weight_decay': 1e-06, 'dropout': 0.0}
[TUNE] function=core_interaction_c5 screen=rf seed=4 trial=27/47 params={'hidden': 512, 'depth': 3, 'activation': 'gelu', 'lr': 8.026001032218288e-05, 'weight_decay': 0.01, 'dropout': 0.0}
[TUNE] function=core_interaction_c5 screen=rf seed=4 trial=28/47 params={'hidden': 64, 'depth': 2, 'activation': 'tanh', 'lr': 0.0010017904410486072, 'weight_decay': 0.0001, 'dropout': 0.0}
[TUNE] function=core_interaction_c5 screen=rf seed=4 trial=29/47 params={'hidden': 64, 'depth': 3, 'activation': 'softplus', 'lr': 0.0002568852406415542, 'weight_decay': 0.0, 'dropout': 0.0}
[TUNE] function=core_interaction_c5 screen=rf seed=4 trial=30/47 params={'hidden': 128, 'depth': 2, 'activation': 'softplus', 'lr': 0.0007974504876117123, 'weight_decay': 1e-06, 'dropout': 0.0}
[TUNE] function=core_interaction_c5 screen=rf seed=4 trial=31/47 params={'hidden': 128, 'depth': 4, 'activation': 'tanh', 'lr': 4.390788643108206e-05, 'weight_decay': 1e-05, 'dropout': 0.0}
[TUNE] function=core_interaction_c5 screen=rf seed=4 trial=32/47 params={'hidden': 512, 'depth': 2, 'activation': 'silu', 'lr': 4.157616426238186e-05, 'weight_decay': 1e-05, 'dropout': 0.0}
[TUNE] function=core_interaction_c5 screen=rf seed=4 trial=33/47 params={'hidden': 512, 'depth': 4, 'activation': 'silu', 'lr': 2.542365754105851e-05, 'weight_decay': 1e-05, 'dropout': 0.0}
[TUNE] function=core_interaction_c5 screen=rf seed=4 trial=34/47 params={'hidden': 64, 'depth': 3, 'activation': 'gelu', 'lr': 0.0030979093061972458, 'weight_decay': 1e-06, 'dropout': 0.0}
