wave,method,function,samples,dimension,top_m,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,screen_contains_all_true_vars_mean,screen_true_var_recall_mean,screen_contains_all_interaction_endpoints_mean,screen_interaction_endpoint_recall_mean,screen_contains_true_interactions_mean,explain_contains_all_interaction_endpoints_mean,explain_interaction_endpoint_recall_mean,variable_f1_mean,variable_f1_std,variable_auroc_mean,variable_auprc_mean,interaction_f1_mean,interaction_f1_std,true_interaction_best_rank_mean,true_interaction_rank_mean_mean,true_interaction_rank_mean_std,true_interaction_mean_score_margin_mean,true_interaction_mean_score_margin_std,true_interaction_beats_all_false_mean,runtime_sec_mean,runtime_sec_std,num_runs
broad,edge_stability_var,core_interaction_c025,1024,100,6,0.0002499589463695884,0.00011266880156596349,0.00030532545254876214,0.0001463299521434994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.3333333333333333,0.5773502691896258,1.6666666666666667,1.6666666666666667,0.5773502691896257,-0.10334922311206658,0.41830028956725607,0.3333333333333333,6.164939006169637,0.18511845421432582,3
broad,edge_stability_var,core_interaction_c05,512,100,4,0.00022148468997329473,1.591547189123812e-05,0.00028285552010250586,2.2198436502326177e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.4057064006725947,0.0311491015772049,1.0,5.927592515945435,0.09921308571386424,3
broad,edge_stability_var,core_interaction_c05,512,100,6,0.00021863432387666157,5.456161300850692e-05,0.0003337997186463326,9.680072682903253e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.3144547939300537,0.19316168489867278,1.0,5.49364956219991,0.8136951369765589,3
broad,edge_stability_var,core_interaction_c1,512,100,4,0.0004823439521715045,0.00020573455992988916,0.0006453630436832706,0.00022235160092518705,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8554762204488119,0.15874663337350428,1.0,5.863064209620158,0.5480415238806652,3
broad,feature_edge_hybrid,core_interaction_c025,512,100,4,0.010638364280263582,0.0007202565251860195,0.013406658234695593,0.0005660855042806974,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.7447916666666666,0.52,0.0,0.0,199.0,199.0,0.0,-0.4148013691107432,0.09143480044353221,0.0,5.969417015711467,0.23814724920572505,3
broad,feature_edge_hybrid,core_interaction_c025,1024,100,4,0.000307179424756517,5.346201331900965e-05,0.00032850105587082606,5.242331281806061e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.3333333333333333,0.5773502691896258,1.6666666666666667,1.6666666666666667,0.5773502691896257,-0.03512348731358846,0.08856079167243976,0.3333333333333333,6.1679615179697675,0.09731796377376203,3
broad,feature_edge_hybrid,core_interaction_c025,1024,100,6,0.00024423217594934005,0.0001038728703134831,0.0003008717952373748,0.00013052917430335817,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.3333333333333333,0.5773502691896258,1.6666666666666667,1.6666666666666667,0.5773502691896257,-0.11958763934671879,0.39181545338772394,0.3333333333333333,5.841655015945435,0.33772038257607556,3
broad,feature_edge_hybrid,core_interaction_c05,512,100,4,0.00025164842372760177,5.9476099513500384e-05,0.0003154623652032266,5.8352279360424645e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.4331166197856267,0.05180950041694644,1.0,5.747687339782715,0.07954937788592098,3
broad,feature_edge_hybrid,core_interaction_c05,512,100,6,0.00024050213202523688,4.7148493376551755e-05,0.00036317903626089293,0.00010186062076218367,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.6666666666666666,0.5773502691896258,1.3333333333333333,1.3333333333333333,0.5773502691896258,0.23048802465200424,0.28054009309455,0.6666666666666666,5.854815165201823,0.07637416446754013,3
broad,feature_edge_hybrid,core_interaction_c1,512,100,4,0.00047718653998648125,0.00021381032248915172,0.0006391691858880222,0.00022883669349151622,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8659438937902451,0.16256616255449374,1.0,4.995817263921102,1.0926445039093042,3
broad,feature_stability_var,core_interaction_c025,512,100,4,0.010265913481513659,0.0009300117398189864,0.013444275595247746,0.0003531098180323774,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.7447916666666666,0.52,0.0,0.0,199.0,199.0,0.0,-0.4908177653948466,0.2705292677391041,0.0,6.289827187856038,0.3516294035088271,3
broad,feature_stability_var,core_interaction_c025,1024,100,4,0.0002461748372297734,2.2563674163038563e-05,0.00026898964036566514,1.5560312942391693e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.04918974141279856,0.06740347075791393,1.0,6.18274188041687,0.07709720373920766,3
broad,feature_stability_var,core_interaction_c025,1024,100,6,0.00022228799449900785,8.37787331616149e-05,0.000270738237304613,0.00010287830771846413,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.09674249092737834,0.042660933382376254,1.0,6.136863708496094,0.08141049238709848,3
broad,feature_stability_var,core_interaction_c05,512,100,4,0.00024352007797763994,6.602685839008167e-05,0.0003111633122898638,6.545375664680782e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.3657406618197759,0.16467370351762337,1.0,5.779088656107585,0.038030445435790185,3
broad,feature_stability_var,core_interaction_c05,512,100,6,0.0002297662867931649,0.0001311368740144933,0.00031192390209374327,0.00018476867684094037,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.42177406201759976,0.1738313848352231,1.0,5.882312377293904,0.15435269644512822,3
broad,feature_stability_var,core_interaction_c1,512,100,4,0.0004815272113773972,0.00020849454905951862,0.0006418051780201495,0.00022630196658448174,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8569251994291941,0.1568944932925856,1.0,5.059110641479492,0.6431787007359708,3
